Code département,Libellé département,Code commune,Libellé commune,Code BV,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,Numéro de panneau 1,Nuance candidat 1,Nom candidat 1,Prénom candidat 1,Sexe candidat 1,Voix 1,% Voix/inscrits 1,% Voix/exprimés 1,Elu 1,Numéro de panneau 2,Nuance candidat 2,Nom candidat 2,Prénom candidat 2,Sexe candidat 2,Voix 2,% Voix/inscrits 2,% Voix/exprimés 2,Elu 2,Numéro de panneau 3,Nuance candidat 3,Nom candidat 3,Prénom candidat 3,Sexe candidat 3,Voix 3,% Voix/inscrits 3,% Voix/exprimés 3,Elu 3,Numéro de panneau 4,Nuance candidat 4,Nom candidat 4,Prénom candidat 4,Sexe candidat 4,Voix 4,% Voix/inscrits 4,% Voix/exprimés 4,Elu 4
35,Ille-et-Vilaine,35200,Moutiers,0001,636,461,"72,48%",175,"27,52%",432,"67,92%","93,71%",20,"3,14%","4,34%",9,"1,42%","1,95%",3,RN,GILOIS,Françoise,FEMININ,178,"27,99%","41,20%",,4,ENS,LE NABOUR,Christine,FEMININ,254,"39,94%","58,80%",élu,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35204,Nouvoitou,0001,919,667,"72,58%",252,"27,42%",619,"67,36%","92,80%",40,"4,35%","6,00%",8,"0,87%","1,20%",3,RN,GILOIS,Françoise,FEMININ,157,"17,08%","25,36%",,4,ENS,LE NABOUR,Christine,FEMININ,462,"50,27%","74,64%",élu,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35204,Nouvoitou,0002,974,715,"73,41%",259,"26,59%",671,"68,89%","93,85%",33,"3,39%","4,62%",11,"1,13%","1,54%",3,RN,GILOIS,Françoise,FEMININ,192,"19,71%","28,61%",,4,ENS,LE NABOUR,Christine,FEMININ,479,"49,18%","71,39%",élu,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35204,Nouvoitou,0003,949,668,"70,39%",281,"29,61%",629,"66,28%","94,16%",29,"3,06%","4,34%",10,"1,05%","1,50%",3,RN,GILOIS,Françoise,FEMININ,173,"18,23%","27,50%",,4,ENS,LE NABOUR,Christine,FEMININ,456,"48,05%","72,50%",élu,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35206,Noyal-Châtillon-sur-Seiche,0001,882,713,"80,84%",169,"19,16%",696,"78,91%","97,62%",14,"1,59%","1,96%",3,"0,34%","0,42%",1,UG,MESMEUR,Marie,FEMININ,256,"29,02%","36,78%",élu,5,ENS,BOUCHER,Nicolas,MASCULIN,290,"32,88%","41,67%",,7,RN,REY DU BOISSIEU,Jeanne,FEMININ,150,"17,01%","21,55%",,,,,,,,,,
35,Ille-et-Vilaine,35206,Noyal-Châtillon-sur-Seiche,0002,864,677,"78,36%",187,"21,64%",653,"75,58%","96,45%",19,"2,20%","2,81%",5,"0,58%","0,74%",1,UG,MESMEUR,Marie,FEMININ,235,"27,20%","35,99%",élu,5,ENS,BOUCHER,Nicolas,MASCULIN,275,"31,83%","42,11%",,7,RN,REY DU BOISSIEU,Jeanne,FEMININ,143,"16,55%","21,90%",,,,,,,,,,
35,Ille-et-Vilaine,35206,Noyal-Châtillon-sur-Seiche,0003,924,701,"75,87%",223,"24,13%",682,"73,81%","97,29%",9,"0,97%","1,28%",10,"1,08%","1,43%",1,UG,MESMEUR,Marie,FEMININ,247,"26,73%","36,22%",élu,5,ENS,BOUCHER,Nicolas,MASCULIN,275,"29,76%","40,32%",,7,RN,REY DU BOISSIEU,Jeanne,FEMININ,160,"17,32%","23,46%",,,,,,,,,,
35,Ille-et-Vilaine,35206,Noyal-Châtillon-sur-Seiche,0004,732,556,"75,96%",176,"24,04%",540,"73,77%","97,12%",11,"1,50%","1,98%",5,"0,68%","0,90%",1,UG,MESMEUR,Marie,FEMININ,261,"35,66%","48,33%",élu,5,ENS,BOUCHER,Nicolas,MASCULIN,180,"24,59%","33,33%",,7,RN,REY DU BOISSIEU,Jeanne,FEMININ,99,"13,52%","18,33%",,,,,,,,,,
35,Ille-et-Vilaine,35206,Noyal-Châtillon-sur-Seiche,0005,873,708,"81,10%",165,"18,90%",686,"78,58%","96,89%",19,"2,18%","2,68%",3,"0,34%","0,42%",1,UG,MESMEUR,Marie,FEMININ,259,"29,67%","37,76%",élu,5,ENS,BOUCHER,Nicolas,MASCULIN,255,"29,21%","37,17%",,7,RN,REY DU BOISSIEU,Jeanne,FEMININ,172,"19,70%","25,07%",,,,,,,,,,
35,Ille-et-Vilaine,35206,Noyal-Châtillon-sur-Seiche,0006,847,617,"72,85%",230,"27,15%",604,"71,31%","97,89%",9,"1,06%","1,46%",4,"0,47%","0,65%",1,UG,MESMEUR,Marie,FEMININ,211,"24,91%","34,93%",élu,5,ENS,BOUCHER,Nicolas,MASCULIN,242,"28,57%","40,07%",,7,RN,REY DU BOISSIEU,Jeanne,FEMININ,151,"17,83%","25,00%",,,,,,,,,,
