Reference,Destination_actuelle_de_l_edifice,Adresse_forme_index,Etablissement_affectataire_de_l_edifice,Autre_appellation_de_l_edifice,Nature_de_la_protection,Auteur_de_l_edifice,Cadastre,Commune_forme_index,Copyright,Type_de_couverture,Datation_de_l_edifice,Denomination_de_l_edifice,Lieu_de_conservation_d_un_element_architectural_deplace,Description_de_l_edifice,Dimensions_normalisees_des_edicules_uniquement,Date_de_Label,Date_de_la_derniere_mise_a_jour,Date_de_creation_de_la_notice,Domaine,Typologie_du_dossier,Date_et_typologie_de_la_protection,Departement_format_numerique,Departement_en_lettres,Partie_d_elevation_exterieure,Source_de_l_energie_utilisee_par_l_edifice,Emplacement__forme_et_structure_de_l_escalier,Description_de_l_elevation_interieure,etat_de_conservation,Cadre_de_l_etude,Genre_du_destinataire,Historique,Nom_du_cours_d_eau_traversant_ou_bordant_l_edifice,Identifiant_Agregee,COG_Insee_lors_de_la_protection,Justification_attribution,Justification_de_la_datation,Liens_externes,Lieudit,Lien_vers_la_base_Archiv_MH,Materiaux_du_gros_oeuvre,Nom_du_redacteur,Observations,Precision_affectataire,Partie_constituante_non_etudiee,Partie_constituante,Precision_sur_la_denomination,Personnes_liees_a_l_edifice,Typologie_de_plan,Precision_de_la_localisation,Precision_de_la_protection,Description_de_l_iconographie,Typologie_de_la_protection,Precision_sur_le_statut_de_l_edifice,Reference_a_un_ensemble,Lien_vers_la_base_Joconde,Lien_vers_la_base_Palissy,References_des_parties_constituantes_etudiees,Region,Elements_remarquables_dans_l_edifice,Remploi,Renvoi_vers_une_notice_de_la_base_Merimee_ou_Palissy,Indexation_iconographique_normalisee,Siecle_de_campagne_secondaire_de_construction,Siecle_de_la_campagne_principale_de_construction,Format_abrege_du_siecle_de_construction,Typologie_de_la_zone_de_protection,Statut_juridique_de_l_edifice,Technique_du_decor_porte_de_l_edifice,Titre_editorial_de_la_notice,Materiaux_de_la_couverture,Couverts_ou_decouverts_du_jardin_de_l_edifice,Vocable___pour_les_edifices_cultuels,Typologie_du_couvrement,Adresse_forme_editoriale,Commune_forme_editoriale,coordonnees_au_format_WGS84,Producteur
PA00090687,,"Corbin (rue de) 10, 12",ministère chargé de la défense,,arrêté,,"B 1011, 1012;1997 BE 475",Rennes,"© Monuments historiques, 1992. Cette notice reprend intégralement les termes de l’arrêté de protection au titre des Monuments historiques. Elle répond à l’obligation réglementaire du ministère de la Culture d’établir la liste générale des immeubles protégés (art. R. 621-80 du Code du patrimoine). Elle est donc opposable et fait foi juridiquement. Aucune copie numérique ou papier ne sera fournie par courrier ni courriel. Le dossier de protection complet et l’arrêté sont consultables uniquement sur place, dans la salle de lecture de la Médiathèque du patrimoine et de la photographie (MPP), à Charenton-le-Pont (Val-de-Marne).",,,hôtel,,,,,2026-03-04,1993-08-24,architecture domestique,Dossier de protection,1967/01/18 : inscrit MH,35,Ille-et-Vilaine,,,,,,Recensement immeubles MH,,"Construction du 18e siècle, élevée d'un étage sur rez-de-chaussée et constituée de bâtiments qui se développent autour d'une cour ouverte sur la rue Corbin par un portail auquel correspond l'entrée surmontée d'un fronton triangulaire percé d'un oculus. L'hôtel se compose de deux constructions en retour d'équerre. Le bâtiment principal comprend un pavillon central légèrement en saillie, accosté à l'ouest de deux et à l'est de trois ouvertures.",,IMORG9,35238,,,,,https://archives-map.culture.gouv.fr/archive/recherche/simple/n:19?RECH_S=PA00090687&RECH_DocumentsNumerises=0&Archives.RECH_Valid=&type=simple,,,,,,,,,,,"Façades et toitures ; escalier principal avec sa rampe en fer forgé (cad. B 1011, 1012) : inscription par arrêté du 18 janvier 1967",,inscrit MH partiellement,,,,,,Bretagne,,,,,,18e siècle,18e s.,,propriété de l'État,ferronnerie;sculpture,Ancien hôtel de Boisgeffroi,,,,,"10, 12 rue de Corbin",Rennes,"48.1111184888807,-1.67552341112416",
PA00090755,,Nantaise (rue) 10 ; Carrefour-Jouault (rue),ministère chargé de la défense,,arrêté,,1997 AC 796,Rennes,"© Monuments historiques, 1992. Cette notice reprend intégralement les termes de l’arrêté de protection au titre des Monuments historiques. Elle répond à l’obligation réglementaire du ministère de la Culture d’établir la liste générale des immeubles protégés (art. R. 621-80 du Code du patrimoine). Elle est donc opposable et fait foi juridiquement. Aucune copie numérique ou papier ne sera fournie par courrier ni courriel. Le dossier de protection complet et l’arrêté sont consultables uniquement sur place, dans la salle de lecture de la Médiathèque du patrimoine et de la photographie (MPP), à Charenton-le-Pont (Val-de-Marne).",,1444,édifice fortifié,,,,,2026-03-04,1993-08-24,architecture militaire,Dossier de protection,1944/03/13 : inscrit MH,35,Ille-et-Vilaine,,,,,,Recensement immeubles MH,,"Cette tour faisait partie de l'enceinte fortifiée de la ville. Sa construction remonte à 1444. Son nom lui vient de ce qu'elle servait de demeure, en 1473, à Jehan du Chesne, grand portier de Rennes. Le menuisier Piron, qui l'habita vers 1735, lui donna également son nom. La douve qui la cernait a été comblée, mais la tour présente un fruit apparent à sa base. Le couronnement de mâchicoulis est encore visible. Au 16e siècle, elle servait de prison. La basse fosse était munie d'une trappe par laquelle étaient descendus les prisonniers à l'aide d'une ""balance"".",,IO3FQ2,35238,,,,,https://archives-map.culture.gouv.fr/archive/recherche/simple/n:19?RECH_S=PA00090755&RECH_DocumentsNumerises=0&Archives.RECH_Valid=&type=simple,,,,,,,,,,,Tour du Chesne (cad. AC 796) : inscription par arrêté du 13 mars 1944,,inscrit MH,,,,,,Bretagne,,,PA00090753;PA00090688;PA35000085,,,2e quart 15e siècle,15e s.,,propriété de la commune,,Tour du Chesne,,,,,10 rue Nantaise ; rue Carrefour-Jouault,Rennes,,
PA00090692,Club de la Presse de Rennes,Martenot (rue) 9,société privée,,arrêté,Richelot Louis-Guy (architecte),1997 BH 126,Rennes,"© Monuments historiques, 1992. Cette notice reprend intégralement les termes de l’arrêté de protection au titre des Monuments historiques. Elle répond à l’obligation réglementaire du ministère de la Culture d’établir la liste générale des immeubles protégés (art. R. 621-80 du Code du patrimoine). Elle est donc opposable et fait foi juridiquement. Aucune copie numérique ou papier ne sera fournie par courrier ni courriel. Le dossier de protection complet et l’arrêté sont consultables uniquement sur place, dans la salle de lecture de la Médiathèque du patrimoine et de la photographie (MPP), à Charenton-le-Pont (Val-de-Marne).",,1830,hôtel,,,,,2026-04-16,1993-08-24,architecture de l'administration ou de la vie publique,Dossier de protection,1973/12/19 : inscrit MH,35,Ille-et-Vilaine,,,,,,Recensement immeubles MH,,"Hôtel néo-classique construit vers 1830, comportant un rez-de-chaussée, un étage noble et un attique surmonté d'un fronton. Cette construction rectangulaire est ouverte sur une cour avec une façade qui, au premier étage, est couronnée d'une balustrade prolongeant celle de la colonnade ionique. A l'intérieur, certaines pièces conservent des boiseries. Le plafond du vestibule d'entrée est orné d'une fresque.",,IE0AJO,35238,,,,,https://archives-map.culture.gouv.fr/archive/recherche/simple/n:19?RECH_S=PA00090692&RECH_DocumentsNumerises=0&Archives.RECH_Valid=&type=simple,,,,,,,,,,,"Façades et toitures ; escalier intérieur avec sa cage ; quatre pièces avec décor de gypserie (vestibule d'entrée au rez-de-chaussée, pièce centrale et pièce de droite au premier étage, pièce centrale au deuxième étage) (cad. BH 126) : inscription par arrêté du 19 décembre 1973",,inscrit MH partiellement,,,,,,Bretagne,,,,,,1ère moitié 19e siècle,19e s.,,propriété publique,menuiserie;peinture,Ancien hôtel de Courcy,,,,,9 rue Martenot,Rennes,"48.1128807325699,-1.6733100490462",
PA00090697,,Lices (place des) 26 ; Saint-Louis (rue) 21,,,arrêté,,1997 AC 267,Rennes,"© Monuments historiques, 1992. Cette notice reprend intégralement les termes de l’arrêté de protection au titre des Monuments historiques. Elle répond à l’obligation réglementaire du ministère de la Culture d’établir la liste générale des immeubles protégés (art. R. 621-80 du Code du patrimoine). Elle est donc opposable et fait foi juridiquement. Aucune copie numérique ou papier ne sera fournie par courrier ni courriel. Le dossier de protection complet et l’arrêté sont consultables uniquement sur place, dans la salle de lecture de la Médiathèque du patrimoine et de la photographie (MPP), à Charenton-le-Pont (Val-de-Marne).",,1657;1659,hôtel,,,,,2026-03-04,1993-08-24,architecture domestique,Dossier de protection,1962/10/22 : classé MH,35,Ille-et-Vilaine,,,,,,Recensement immeubles MH,,"Cet hôtel fut construit sur des terrains afféagés en 1657 par la ville, ayant échappé à l'incendie de 1720. L'édifice en pans de bois se compose de deux étages sur rez-de-chaussée, avec une porte d'entrée flanquée de deux pilastres doriques cannelés et surmontée d'un oeil de boeuf dans un fronton triangulaire. Le toit est surmonté d'une lanterne à deux étages couverte en carène sur la cage d'un escalier à balustres.",,IQE0LV,35238,,,,,https://archives-map.culture.gouv.fr/archive/recherche/simple/n:19?RECH_S=PA00090697&RECH_DocumentsNumerises=0&Archives.RECH_Valid=&type=simple,,,,,,,,,,,Façades et toitures y compris les souches de cheminées ; escalier intérieur (cad. AC 267) : classement par arrêté du 22 octobre 1962,,classé MH partiellement,,,,,,Bretagne,,,,,,3e quart 17e siècle,17e s.,,propriété privée,,"Maison, dite Hôtel de la Louvre ou de la Noue",,,,,26 place des Lices ; 21 rue Saint-Louis,Rennes,"48.113318219541206,-1.68346177720199",
PA00090722,,Psalette (rue de la) 14,,,arrêté,,1997 AC 593,Rennes,"© Monuments historiques, 1992. Cette notice reprend intégralement les termes de l’arrêté de protection au titre des Monuments historiques. Elle répond à l’obligation réglementaire du ministère de la Culture d’établir la liste générale des immeubles protégés (art. R. 621-80 du Code du patrimoine). Elle est donc opposable et fait foi juridiquement. Aucune copie numérique ou papier ne sera fournie par courrier ni courriel. Le dossier de protection complet et l’arrêté sont consultables uniquement sur place, dans la salle de lecture de la Médiathèque du patrimoine et de la photographie (MPP), à Charenton-le-Pont (Val-de-Marne).",,,tribunal,,,,,2026-04-16,1993-08-24,architecture de l'administration ou de la vie publique,Dossier de protection,1942/07/04 : inscrit MH,35,Ille-et-Vilaine,,,,,,Recensement immeubles MH,,,,I2L89S,35238,,,,,https://archives-map.culture.gouv.fr/archive/recherche/simple/n:19?RECH_S=PA00090722&RECH_DocumentsNumerises=0&Archives.RECH_Valid=&type=simple,,,,,,,prévôté,,,,Maison de la Prévôté (cad. AC 593) : inscription par arrêté du 4 juillet 1942,,inscrit MH,,,,,,Bretagne,,,,,,17e siècle,17e s.,,propriété privée,,Maison de la Prévôté,,,,,14 rue de la Psalette,Rennes,"48.1115893242689,-1.68263825804448",
PA00090643,,Eglise (place de l'),,,arrêté,,1997 B 156,Nouvoitou,"© Monuments historiques, 1992. Cette notice reprend intégralement les termes de l’arrêté de protection au titre des Monuments historiques. Elle répond à l’obligation réglementaire du ministère de la Culture d’établir la liste générale des immeubles protégés (art. R. 621-80 du Code du patrimoine). Elle est donc opposable et fait foi juridiquement. Aucune copie numérique ou papier ne sera fournie par courrier ni courriel. Le dossier de protection complet et l’arrêté sont consultables uniquement sur place, dans la salle de lecture de la Médiathèque du patrimoine et de la photographie (MPP), à Charenton-le-Pont (Val-de-Marne).",,,croix de cimetière,,,,,2026-03-04,1993-08-24,architecture religieuse,Dossier de protection,1907/03/10 : classé MH,35,Ille-et-Vilaine,,,,,,Recensement immeubles MH,,Le socle est décoré sur les faces sud et nord d'une tête de mort. Le fût cannelé est circulaire. La croix comporte un Christ sur les deux faces. Les bras de la croix sont reliés par quatre consoles.,,IRHN5G,35204,,,,,https://archives-map.culture.gouv.fr/archive/recherche/simple/n:19?RECH_S=PA00090643&RECH_DocumentsNumerises=0&Archives.RECH_Valid=&type=simple,,,,,,,,,,,Croix du cimetière en granit du 17e siècle (cad. B 156) : classement par arrêté du 10 mars 1907,,classé MH,,,,,,Bretagne,,,,,,17e siècle,17e s.,,propriété de la commune,sculpture,Croix du cimetière en granit,,,,,place de l'Eglise,Nouvoitou,"48.0418086297956,-1.54685076215505",
PA00090720,,"Psalette (rue de la) 4, 6",,,arrêté,,"1997 AC 587, 588",Rennes,"© Monuments historiques, 1992. Cette notice reprend intégralement les termes de l’arrêté de protection au titre des Monuments historiques. Elle répond à l’obligation réglementaire du ministère de la Culture d’établir la liste générale des immeubles protégés (art. R. 621-80 du Code du patrimoine). Elle est donc opposable et fait foi juridiquement. Aucune copie numérique ou papier ne sera fournie par courrier ni courriel. Le dossier de protection complet et l’arrêté sont consultables uniquement sur place, dans la salle de lecture de la Médiathèque du patrimoine et de la photographie (MPP), à Charenton-le-Pont (Val-de-Marne).",,,immeuble,,,,,2026-03-04,1993-08-24,architecture domestique,Dossier de protection,1942/07/04 : inscrit MH,35,Ille-et-Vilaine,,,,,,Recensement immeubles MH,,,,I4F9G0,35238,,,,,https://archives-map.culture.gouv.fr/archive/recherche/simple/n:19?RECH_S=PA00090720&RECH_DocumentsNumerises=0&Archives.RECH_Valid=&type=simple,,,,,,,,,,,"Immeuble présentant une porte en tiers-point (cad. AC 587, 588) : inscription par arrêté du 4 juillet 1942",,inscrit MH,,,,,,Bretagne,,,,,,17e siècle,17e s.,,propriété privée,,Immeuble,,,,,"4, 6 rue de la Psalette",Rennes,"48.1112928772943,-1.6828863388793402",
PA00090719,,Parlement-de-Bretagne (place du) ; Edith-Cavell (rue) 8,,,arrêté,,"B 861, 862;1997 BE 430",Rennes,"© Monuments historiques, 1992. Cette notice reprend intégralement les termes de l’arrêté de protection au titre des Monuments historiques. Elle répond à l’obligation réglementaire du ministère de la Culture d’établir la liste générale des immeubles protégés (art. R. 621-80 du Code du patrimoine). Elle est donc opposable et fait foi juridiquement. Aucune copie numérique ou papier ne sera fournie par courrier ni courriel. Le dossier de protection complet et l’arrêté sont consultables uniquement sur place, dans la salle de lecture de la Médiathèque du patrimoine et de la photographie (MPP), à Charenton-le-Pont (Val-de-Marne).",,,immeuble,,,,,2026-03-04,1993-08-24,architecture domestique,dossier de protection,1959/11/24 : classé MH,35,Ille-et-Vilaine,,,,,,recensement immeubles MH,,"La place du Palais a été construite après l'incendie de 1720. Les maisons présentent de grandes arcades de granit en plein-cintre ; elles comprennent le rez-de-chaussée, l'entresol et deux étages, surmontés d'un étage de combles à la Mansart ; elles sont séparées par des pilastres ioniques.",,IN6KNW,35238,,,,,https://archives-map.culture.gouv.fr/archive/recherche/simple/n:19?RECH_S=PA00090719&RECH_DocumentsNumerises=0&Archives.RECH_Valid=&type=simple,,,Classement 22 06 1943 (façade et toiture) (arrêté) annulé.,,,,,,,,"Façade sur la place et retour sur la rue ; façade sur la cour ; toitures correspondantes et souches de cheminées (cad. B 861, 862) : classement par arrêté du 24 novembre 1959",,classé MH partiellement,,,,,,Bretagne,,,,,,1ère moitié 18e siècle,18e s.,,propriété privée,,Immeuble,,,,,place du Parlement-de-Bretagne ; 8 rue Edith-Cavell,Rennes,"48.111571699019805,-1.6776919828717",
PA00090649,,Saint-Melaine (place),,,arrêté,,AB 199;1997 BE 322,Pacé,"© Monuments historiques, 1992. Cette notice reprend intégralement les termes de l’arrêté de protection au titre des Monuments historiques. Elle répond à l’obligation réglementaire du ministère de la Culture d’établir la liste générale des immeubles protégés (art. R. 621-80 du Code du patrimoine). Elle est donc opposable et fait foi juridiquement. Aucune copie numérique ou papier ne sera fournie par courrier ni courriel. Le dossier de protection complet et l’arrêté sont consultables uniquement sur place, dans la salle de lecture de la Médiathèque du patrimoine et de la photographie (MPP), à Charenton-le-Pont (Val-de-Marne).",,,église,,,,,2026-06-04,1993-08-24,architecture religieuse,Dossier de protection,1968/09/20 : inscrit MH,35,Ille-et-Vilaine,,,,,,Recensement immeubles MH,,"La paroisse appartenait, dès 1152, à l'abbaye de Saint-Mélaine de Rennes. L'abbaye y avait établi un prieuré sans doute abandonné au début du 13e siècle. En 1597, la paroisse est saccagée par les Ligueurs. En 1793, s'y tient un combat de chouannerie entre paysans et gardes nationaux. L'église ne comprenait primitivement une nef à laquelle fut ajoutée, plus tard, deux chapelles formant transept. Le pignon ouest est percé d'une porte du 15e siècle flanquée de quatre colonnettes dont les chapiteaux à feuillages sont séparés par des têtes humaines. La face sud présente un appareil irrégulier en feuilles de fougères pouvant remonter au 11e siècle. Le choeur date de 1656, et est sommé d'un petit campanile carré.",,I4KFUN,35210,,,,,https://archives-map.culture.gouv.fr/archive/recherche/simple/n:19?RECH_S=PA00090649&RECH_DocumentsNumerises=0&Archives.RECH_Valid=&type=simple,,,,,,,,,,,Eglise (cad. AB 199) : inscription par arrêté du 20 septembre 1968,,inscrit MH,,,,https://www.pop.culture.gouv.fr/notice/palissy/PM35002890;https://www.pop.culture.gouv.fr/notice/palissy/PM35002896;https://www.pop.culture.gouv.fr/notice/palissy/PM35002898;https://www.pop.culture.gouv.fr/notice/palissy/PM35002897;https://www.pop.culture.gouv.fr/notice/palissy/PM35002888;https://www.pop.culture.gouv.fr/notice/palissy/PM35002891;https://www.pop.culture.gouv.fr/notice/palissy/PM35002894;https://www.pop.culture.gouv.fr/notice/palissy/PM35002892;https://www.pop.culture.gouv.fr/notice/palissy/PM35002895;https://www.pop.culture.gouv.fr/notice/palissy/PM35002893;https://www.pop.culture.gouv.fr/notice/palissy/PM35002889,,Bretagne,,,IA00130847,,,14e siècle;15e siècle,14e s.;15e s.,,propriété de la commune,sculpture,Église Sainte-Mélaine,,,,,place Saint-Melaine,Pacé,"48.1477232887145,-1.7731271388718401",
PA00090678,,Papu (rue),,,arrêté,,AH 206;1997 AH 258,Rennes,"© Monuments historiques, 1992. Cette notice reprend intégralement les termes de l’arrêté de protection au titre des Monuments historiques. Elle répond à l’obligation réglementaire du ministère de la Culture d’établir la liste générale des immeubles protégés (art. R. 621-80 du Code du patrimoine). Elle est donc opposable et fait foi juridiquement. Aucune copie numérique ou papier ne sera fournie par courrier ni courriel. Le dossier de protection complet et l’arrêté sont consultables uniquement sur place, dans la salle de lecture de la Médiathèque du patrimoine et de la photographie (MPP), à Charenton-le-Pont (Val-de-Marne).",,,couvent,,,,,2026-03-04,1993-08-24,architecture religieuse,Dossier de protection,1986/07/08 : inscrit MH,35,Ille-et-Vilaine,,,,,,Recensement immeubles MH,de calvairiennes,"Le couvent occuperait l'emplacement d'un monastère détruit par les Normands au 10e siècle. Il dépendait à cette époque du domaine épiscopal et fut donné en 1032 par l'évêque de Rennes à son demi-frère, qui le céda en 1037 à l'abbaye de Saint-Julien de Tours avec tout le territoire appelé l'Ile ; son prieur finit par être seigneur de tout le bourg Saint-Cyr. Le prieuré tomba en commende vers le 15e siècle, et fut abandonné par les moines ; ses logements furent cédés en 1633 aux religieuses Calvairiennes, qui avaient établi un hospice provisoire dans la rue Saint-Michel. Les Calvairiennes reconstruisirent alors le couvent. Elles adoptèrent au 18e siècle les doctrines jansénistes, et le roi transféra en 1746 dans d'autres monastères un certain nombre d'entre elles. En 1792, les bâtiments furent affectés à divers services militaires. Les constructions du 17e siècle entouraient une cour carrée. Deux corps de bâtiment seuls ont été conservés ; ils sont surmontés de toits élevés que percent des fenêtres à frontons triangulaires ; un petit pavillon carré s'élève en avant de leur angle saillant. Trois côtés du cloître existent encore ; ils se composent d'arcades en plein-cintre soutenues par des piliers carrés. Après la Deuxième Guerre mondiale et les bombardements, la chapelle fut reconstruite sur le côté nord du cloître.",,IBGV6V,35238,,,,,https://archives-map.culture.gouv.fr/archive/recherche/simple/n:19?RECH_S=PA00090678&RECH_DocumentsNumerises=0&Archives.RECH_Valid=&type=simple,,,,,,,,,,,Façades et toitures des deux corps de bâtiment du 17s (cad. AH 206) : inscription par arrêté du 8 juillet 1986,,inscrit MH partiellement,,,,,,Bretagne,,,,,,17e siècle,17e s.,,propriété de la commune,,Couvent des Calvairiennes de Saint-Cyr,,,,,rue Papu,Rennes,"48.11071324073361,-1.69740516049262",
PA00090749,,Saint-Yves (rue) 6,,,arrêté,,1997 AC 555,Rennes,"© Monuments historiques, 1992. Cette notice reprend intégralement les termes de l’arrêté de protection au titre des Monuments historiques. Elle répond à l’obligation réglementaire du ministère de la Culture d’établir la liste générale des immeubles protégés (art. R. 621-80 du Code du patrimoine). Elle est donc opposable et fait foi juridiquement. Aucune copie numérique ou papier ne sera fournie par courrier ni courriel. Le dossier de protection complet et l’arrêté sont consultables uniquement sur place, dans la salle de lecture de la Médiathèque du patrimoine et de la photographie (MPP), à Charenton-le-Pont (Val-de-Marne).",,,maison,,,,,2026-03-04,1993-08-24,architecture domestique,Dossier de protection,1933/05/08 : inscrit MH,35,Ille-et-Vilaine,,,,,,Recensement immeubles MH,,Maison en pans de bois.,,ISMUOJ,35238,,,,,https://archives-map.culture.gouv.fr/archive/recherche/simple/n:19?RECH_S=PA00090749&RECH_DocumentsNumerises=0&Archives.RECH_Valid=&type=simple,,,,,,,,,,,Façade et toiture (cad. AC 555) : inscription par arrêté du 8 mai 1933,,inscrit MH partiellement,,,,,,Bretagne,,,,,,16e siècle,16e s.,,propriété privée,,Maison,,,,,6 rue Saint-Yves,Rennes,"48.110690687881906,-1.68221711892298",
PA00090704,,Carmélites (passage des) 2,,,arrêté,,"B 262, 272",Rennes,"© Monuments historiques, 1992. Cette notice reprend intégralement les termes de l’arrêté de protection au titre des Monuments historiques. Elle répond à l’obligation réglementaire du ministère de la Culture d’établir la liste générale des immeubles protégés (art. R. 621-80 du Code du patrimoine). Elle est donc opposable et fait foi juridiquement. Aucune copie numérique ou papier ne sera fournie par courrier ni courriel. Le dossier de protection complet et l’arrêté sont consultables uniquement sur place, dans la salle de lecture de la Médiathèque du patrimoine et de la photographie (MPP), à Charenton-le-Pont (Val-de-Marne).",,1666,immeuble,,,,,2026-03-04,1993-08-24,architecture domestique,Dossier de protection,1969/04/30 : inscrit MH,35,Ille-et-Vilaine,,,,,,Recensement immeubles MH,,"L'immeuble présente un pan coupé architecturé datant de 1666. Le portail d'entrée s'ouvre sous l'angle à pans coupés et se compose d'une baie en plein cintre, ornée d'une clé de voûte saillante et accostée de chaque côté de quatre pilastres doriques. Au-dessus s'étend une frise en pierre blanche, ornée de modillons, de triglyphes et de gouttes. Trois niches cintrées sont creusées entre les pilastres.",,,35238,,,,,https://archives-map.culture.gouv.fr/archive/recherche/simple/n:19?RECH_S=PA00090704&RECH_DocumentsNumerises=0&Archives.RECH_Valid=&type=simple,,,,,,,,,,,"Pan coupé de la façade et toiture correspondante (cad. B 262, 272) : inscription par arrêté du 30 avril 1969",,inscrit MH partiellement,,,,,,Bretagne,,,,,,3e quart 17e siècle,17e s.,,propriété privée,sculpture,Immeuble,,,,,2 passage des Carmélites,Rennes,,
PA00090681,,Jouaust (carrefour),,,arrêté,,AC 87;1997 AC 882,Rennes,"© Monuments historiques, 1992. Cette notice reprend intégralement les termes de l’arrêté de protection au titre des Monuments historiques. Elle répond à l’obligation réglementaire du ministère de la Culture d’établir la liste générale des immeubles protégés (art. R. 621-80 du Code du patrimoine). Elle est donc opposable et fait foi juridiquement. Aucune copie numérique ou papier ne sera fournie par courrier ni courriel. Le dossier de protection complet et l’arrêté sont consultables uniquement sur place, dans la salle de lecture de la Médiathèque du patrimoine et de la photographie (MPP), à Charenton-le-Pont (Val-de-Marne).",,1700,église,,,,,2026-03-27,1993-08-24,architecture religieuse,Dossier de protection,1978/02/01 : inscrit MH,35,Ille-et-Vilaine,,,,,,Recensement immeubles MH,,"L'église actuelle, ancienne chapelle du couvent des Augustins, a été édifiée à la place d'une ancienne chapelle, et bénie en 1700. C'est un édifice de plan rectangulaire, avec un chevet à pans coupés. La façade principale superpose deux ordres architecturaux, dorique et ionique. A gauche de la façade s'élève une tour carrée terminée par un dôme surmonté d'un campanile arrondi.",,IP1GGM,35238,,,,,https://archives-map.culture.gouv.fr/archive/recherche/simple/n:19?RECH_S=PA00090681&RECH_DocumentsNumerises=0&Archives.RECH_Valid=&type=simple,,,,,,,,,,,Eglise Saint-Etienne (cad. AC 87) : inscription par arrêté du 1er février 1978,,inscrit MH,,,,https://www.pop.culture.gouv.fr/notice/palissy/PM35001036;https://www.pop.culture.gouv.fr/notice/palissy/PM35001417;https://www.pop.culture.gouv.fr/notice/palissy/PM35001423;https://www.pop.culture.gouv.fr/notice/palissy/PM35003065;https://www.pop.culture.gouv.fr/notice/palissy/PM35001416;https://www.pop.culture.gouv.fr/notice/palissy/PM35001425;https://www.pop.culture.gouv.fr/notice/palissy/PM35001415;https://www.pop.culture.gouv.fr/notice/palissy/PM35001422;https://www.pop.culture.gouv.fr/notice/palissy/PM35002749;https://www.pop.culture.gouv.fr/notice/palissy/PM35001410;https://www.pop.culture.gouv.fr/notice/palissy/PM35001420;https://www.pop.culture.gouv.fr/notice/palissy/PM35002751;https://www.pop.culture.gouv.fr/notice/palissy/PM35001419;https://www.pop.culture.gouv.fr/notice/palissy/PM35003066;https://www.pop.culture.gouv.fr/notice/palissy/PM35001412;https://www.pop.culture.gouv.fr/notice/palissy/PM35001414;https://www.pop.culture.gouv.fr/notice/palissy/PM35001418;https://www.pop.culture.gouv.fr/notice/palissy/PM35001421;https://www.pop.culture.gouv.fr/notice/palissy/PM35002750;https://www.pop.culture.gouv.fr/notice/palissy/PM35003067;https://www.pop.culture.gouv.fr/notice/palissy/PM35001424;https://www.pop.culture.gouv.fr/notice/palissy/PM35003068;https://www.pop.culture.gouv.fr/notice/palissy/PM35001413;https://www.pop.culture.gouv.fr/notice/palissy/PM35002748;https://www.pop.culture.gouv.fr/notice/palissy/PM35001411;https://www.pop.culture.gouv.fr/notice/palissy/PM35000948;https://www.pop.culture.gouv.fr/notice/palissy/PM35000949;https://www.pop.culture.gouv.fr/notice/palissy/PM35000447,,Bretagne,,,IA00131072,,,1er quart 18e siècle,18e s.,,propriété de la commune,sculpture,église Saint-Étienne,,,,,carrefour Jouaust,Rennes,"48.1128692635144,-1.68641766496788",
PA00090741,,Sainte-Anne (place) 18,,,arrêté,,"A 792, 793;1997 AC 884, 885",Rennes,"© Monuments historiques, 1992. Cette notice reprend intégralement les termes de l’arrêté de protection au titre des Monuments historiques. Elle répond à l’obligation réglementaire du ministère de la Culture d’établir la liste générale des immeubles protégés (art. R. 621-80 du Code du patrimoine). Elle est donc opposable et fait foi juridiquement. Aucune copie numérique ou papier ne sera fournie par courrier ni courriel. Le dossier de protection complet et l’arrêté sont consultables uniquement sur place, dans la salle de lecture de la Médiathèque du patrimoine et de la photographie (MPP), à Charenton-le-Pont (Val-de-Marne).",,,maison,,,,,2026-03-04,1993-08-24,architecture domestique,Dossier de protection,1962/10/09 : inscrit MH,35,Ille-et-Vilaine,,,,,,Recensement immeubles MH,,"La place Sainte-Anne possède des maisons datant des 16e et 17e siècles, construites en pans de bois, élevées de deux étages sur rez-de-chaussée et surmontées d'un comble. Certains pans de bois sont ornés de sculptures. La maison au 18 dépendait de la fabrique de Saint-Aubin et servait de logement aux prêtres et officiers de la paroisse.",,IU1E2E,35238,,,,,https://archives-map.culture.gouv.fr/archive/recherche/simple/n:19?RECH_S=PA00090741&RECH_DocumentsNumerises=0&Archives.RECH_Valid=&type=simple,,,,,,,,,,,"Façade sur la place et toiture correspondante, y compris les souches de cheminées (cad. A 792, 793) : inscription par arrêté du 9 octobre 1962",,inscrit MH partiellement,,,,,,Bretagne,,,,,,16e siècle;17e siècle,16e s.;17e s.,,propriété de la commune ; propriété privée,sculpture,Maison,,,,,18 place Sainte-Anne,Rennes,"48.1146807882541,-1.68140294413395",
