Rentrée universitaire,catégorie d'établissement,secteur d'établissement,code UAI de l'établissement,sigle de l'établissement,libellé de l'établissement,libellé complémentaire de l'établissement,Code UAI de la composante,sigle de la composante,libellé de la composante,libellé complémentaire de la composante,id région,région,id académie,académie,id département,département,id unité urbaine,unité urbaine,code commune,Commune,gps,degetu,degre_etudes,nombre total d’étudiants inscrits hors doubles inscriptions université/CPGE,dont femmes,dont hommes
2024,Universités,Public,0353074B,EPE UR,UNIVERSITE,DE RENNES (EPE),0351583F,UFR PHILO,UFR PHILOSOPHIE,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.118812719023005, -1.6453299161943138",4.0,BAC + 4,25,5,20
2024,Universités,Public,0353074B,EPE UR,UNIVERSITE,DE RENNES (EPE),0351583F,UFR PHILO,UFR PHILOSOPHIE,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.118812719023005, -1.6453299161943138",6.0,BAC + 6 et plus,12,4,8
2024,Universités,Public,0353074B,EPE UR,UNIVERSITE,DE RENNES (EPE),0352786N,ESIR,ECOLE SUPERIEURE INGENIEURS RE,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.114452391497785, -1.6467986203667293",1.0,BAC + 1,68,8,60
2024,Universités,Public,0353074B,EPE UR,UNIVERSITE,DE RENNES (EPE),0352798B,OSEREN,OBS SCIENCES ENVIRONNEMENT REN,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.118812719023005, -1.6453299161943138",3.0,BAC + 3,73,31,42
2024,Universités,Public,0353074B,EPE UR,UNIVERSITE,DE RENNES (EPE),0352815V,UFR INFORM ELE,UFR INFORMATIQUE ELECTRONIQUE,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11412271889446, -1.6376903820335271",6.0,BAC + 6 et plus,308,77,231
2024,Universités,Public,0353074B,IEP RENNES,INST ETUD POLITIQUES RENNES,SC PO RENNES,0352317D,IEP RENNES,INST ETUD POLITIQUES RENNES,SC PO RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.121160332309735, -1.6684861638310517",2.0,BAC + 2,312,199,113
2024,Universités,Public,0353074B,IEP RENNES,INST ETUD POLITIQUES RENNES,SC PO RENNES,0352317D,IEP RENNES,INST ETUD POLITIQUES RENNES,SC PO RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.121160332309735, -1.6684861638310517",3.0,BAC + 3,246,152,94
2015,Écoles supérieures artistiques et culturelles,Privé,0352261T,EC ART PR,ESMOD INTERNATIONAL,,0352261T,EC ART PR,ESMOD INTERNATIONAL,,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11353795684419, -1.6864395960947542",,,47,43,4
2015,Autres écoles de spécialités diverses,Privé,0352192T,,,,0352192T,,,,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,,,,37,4,33
2015,Autres écoles de spécialités diverses,Privé,0352275H,EC SUP PR,ECOLE SUPERIEURE PRIVEE,ESUP BRETAGNE RENNES,0352275H,EC SUP PR,ECOLE SUPERIEURE PRIVEE,ESUP BRETAGNE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.09281593304075, -1.7042444043551852",,,193,114,79
2015,Autres écoles de spécialités diverses,Privé,0352490S,,,,0352490S,,,,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35051,Cesson-Sévigné,,,,71,33,38
2015,Autres écoles de spécialités diverses,Privé,0352711G,EC SUP PR,ECOLE,FORMATIVES,0352711G,EC SUP PR,ECOLE,FORMATIVES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.112856599689984, -1.661359766196587",,,53,32,21
2015,Autres écoles de spécialités diverses,Privé,0352767T,EC SUP PR,ECOLE TECHNIQUE PRIVEE,INSTITUT METIERS DU NOTARIAT,0352767T,EC SUP PR,ECOLE TECHNIQUE PRIVEE,INSTITUT METIERS DU NOTARIAT,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.1042098313018, -1.6858300778413708",,,58,44,14
2015,Autres écoles de spécialités diverses,Public,0352660B,,,,0352660B,,,,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,,,,36,4,32
2015,"Écoles de commerce, gestion et vente",Privé,0352305R,ESC RENNES,ECOLE SUPERIEURE DE COMMERCE,RENNES,0352305R,ESC RENNES,ECOLE SUPERIEURE DE COMMERCE,RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12779921760532, -1.6925593713792177",,,3585,1937,1648
2015,"Écoles de commerce, gestion et vente",Privé,0352354U,EC SUP PR,I H E C F,,0352354U,EC SUP PR,I H E C F,,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35047,Bruz,"48.04956111131656, -1.7427807565608635",,,109,38,71
2015,Écoles d'ingénieurs,Privé,0352373P,EME BRUZ,ECOLE METIERS ENVIRONNEMENT,,0352373P,EME BRUZ,ECOLE METIERS ENVIRONNEMENT,,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35047,Bruz,"48.043311109384184, -1.7505500142218064",,,266,119,147
2015,Écoles d'ingénieurs,Public,0291811L,TELECOM BRTGNE,TELECOM BRETAGNE,,0352402W,TELECOM BRTGNE,TELECOM BRETAGNE CAMPUS RENNES,TELECOM BRETAGNE,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35051,Cesson-Sévigné,"48.12028112839701, -1.6293703976683263",,,108,25,83
2015,Lycées,Public,0350030T,LPO LYC METIER,LPO LYCEE DES METIERS,PIERRE MENDES FRANCE,0350030T,LPO LYC METIER,LPO LYCEE DES METIERS,PIERRE MENDES FRANCE,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.13456378866646, -1.682469694733497",,,134,10,124
2015,Lycées,Public,0351878B,LP,LYCEE PROFESSIONNEL,COETLOGON,0351878B,LP,LYCEE PROFESSIONNEL,COETLOGON,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.122268057294775, -1.6935999776082489",,,53,22,31
2015,Écoles paramédicales hors université,Public,0350098S,FORM SANTE,CENTRES FORM METIERS SANTE,CHRU PONTCHAILLOU RENNES,0350098S,FORM SANTE,CENTRES FORM METIERS SANTE,CHRU PONTCHAILLOU RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.116772952110914, -1.6957703345558421",,,612,520,92
2015,Écoles préparant aux fonctions sociales,Privé,035F0001,,,,035F0001,,,,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,,,,11,4,7
2015,Universités,Public,0350936C,U RENNES 1,UNIVERSITE RENNES 1,UNIVERSITE RENNES 1,0351574W,UFR SC ECO,UFR SC ECO ET ECO APPLIQUEE,UNIVERSITE RENNES 1,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11610498006906, -1.6765806138697112",,,2570,1288,1282
2015,Universités,Public,0350936C,U RENNES 1,UNIVERSITE RENNES 1,UNIVERSITE RENNES 1,0351580C,UFR SPM,UFR STRUCT PROPRIETE MATIERE,UNIVERSITE RENNES 1,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11412271889446, -1.6376903820335271",,,1182,372,810
2015,Universités,Public,0352756F,U BRTGNE LOIRE,COMUE UNIV BRETAGNE LOIRE,,0351580C,UFR SPM,UFR STRUCT PROPRIETE MATIERE,UNIVERSITE RENNES 1,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11412271889446, -1.6376903820335271",,,34,15,19
2015,Universités,Public,0350936C,U RENNES 1,UNIVERSITE RENNES 1,UNIVERSITE RENNES 1,0352076S,UFR SC VIE ENV,UFR SCIENCES VIE ENVIRONNEMENT,UNIVERSITE RENNES 1,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11412271889446, -1.6376903820335271",,,2237,1407,830
2015,Universités,Public,0350936C,U RENNES 1,UNIVERSITE RENNES 1,UNIVERSITE RENNES 1,0352317D,IEP RENNES,INST ETUD POLITIQUES RENNES,,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.121160332309735, -1.6684861638310517",,,1229,755,474
2015,Universités,Public,0352756F,U BRTGNE LOIRE,COMUE UNIV BRETAGNE LOIRE,,0350919J,UFR STAPS,UFR STAPS,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12587698771854, -1.7005505598348052",,,242,59,183
2015,Universités,Public,0350937D,U RENNES 2,UNIVERSITE RENNES 2,HAUTE BRETAGNE,0352424V,UFR ART LET,UFR ARTS LETTRES COMMUNICATION,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12421121482742, -1.7002097435784336",,,5652,3751,1901
2015,Universités,Public,0350937D,U RENNES 2,UNIVERSITE RENNES 2,HAUTE BRETAGNE,0352599K,CEFOCOP,ANT UFR SC HUMAINE CEFOCOP,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12587698771854, -1.7005505598348052",,,42,37,5
2016,Écoles supérieures artistiques et culturelles,Public,0352845C,PESSV,POLE D'ENSEIGNEMENT SUPERIEUR,SPECTACLE VIVANT,0352845C,PESSV,POLE D'ENSEIGNEMENT SUPERIEUR,SPECTACLE VIVANT,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.087854740700195, -1.6563033752353826",,,127,81,46
2016,Autres écoles de spécialités diverses,Privé,0352767T,EC SUP PR,ECOLE TECHNIQUE PRIVEE,INSTITUT METIERS DU NOTARIAT,0352767T,EC SUP PR,ECOLE TECHNIQUE PRIVEE,INSTITUT METIERS DU NOTARIAT,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.1042098313018, -1.6858300778413708",,,53,45,8
2016,Autres écoles de spécialités diverses,Privé,0352822C,CONT,TOTEM FORMATION,TOTEM FORMATION,0352822C,CONT,TOTEM FORMATION,TOTEM FORMATION,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35051,Cesson-Sévigné,"48.1028845523248, -1.6219501300955168",,,24,11,13
2016,"Écoles de commerce, gestion et vente",Privé,0352305R,ESC RENNES,ECOLE SUPERIEURE DE COMMERCE,RENNES,0352305R,ESC RENNES,ECOLE SUPERIEURE DE COMMERCE,RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12779921760532, -1.6925593713792177",,,3370,1800,1570
2016,"Écoles de commerce, gestion et vente",Privé,0352548E,EC SUP PR,ISTER,INSTITUT EUROPEEN DE FORMATION,0352548E,EC SUP PR,ISTER,INSTITUT EUROPEEN DE FORMATION,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.100970347352806, -1.6509001835872932",,,45,29,16
2016,Écoles normales supérieures,Public,0352440M,ENS RENNES,ECOLE NORMALE SUP RENNES,,0351573V,UFR SC JURID,UFR SCIENCES JURIDIQUES,UNIVERSITE RENNES 1,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11795556476907, -1.6697200276533222",,,100,60,40
2016,Écoles d'ingénieurs,Public,0291811L,TELECOM BRTGNE,TELECOM BRETAGNE,INSTITUT MINES-TELECOM,0352402W,IMT ATLANTIQUE,IMT ATLANTIQUE RENNES,IMT ATLANTIQUE BREST,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35051,Cesson-Sévigné,"48.12028112839701, -1.6293703976683263",,,110,25,85
2016,Écoles d'ingénieurs,Public,0350097R,INSA RENNES,INST NAT SC APPLIQ RENNES,,0350097R,INSA RENNES,INST NAT SC APPLIQ RENNES,,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.1215800418907, -1.6329696980490491",,,1891,452,1439
2016,Écoles d'ingénieurs,Public,0352480F,ENSAI BRUZ,EN STAT ANALYSE INFO BRUZ,,0352480F,ENSAI BRUZ,EN STAT ANALYSE INFO BRUZ,,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35047,Bruz,"48.05076529885353, -1.7418695846123484",,,481,179,302
2016,Écoles d'ingénieurs,Public,0352692L,AGROCAMPUS OUE,IS SC AGRO HORT PAYSAGE RENNES,AGROCAMPUS OUEST,0352771X,CFR RENNES,CFR RENNES,AGROCAMPUS OUEST,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11297073412517, -1.7041496166646952",,,960,646,314
2016,Lycées,Privé,0350805K,ECP PR,ECOLE TECHNIQUE PRIVEE,CHANTAL LE COZIC,0350805K,ECP PR,ECOLE TECHNIQUE PRIVEE,CHANTAL LE COZIC,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.1053780777385, -1.652000209421197",,,133,129,4
2021,Lycées,Privé,0350776D,LPO PR,LYCEE POLYVALENT PRIVE,ST VINCENT-PROVIDENCE,0350776D,LPO PR,LYCEE POLYVALENT PRIVE,ST VINCENT-PROVIDENCE,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11372191282088, -1.6638200409477635",1.0,BAC + 1,90,49,41
2021,Lycées,Privé,0350776D,LPO PR,LYCEE POLYVALENT PRIVE,ST VINCENT-PROVIDENCE,0350776D,LPO PR,LYCEE POLYVALENT PRIVE,ST VINCENT-PROVIDENCE,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11372191282088, -1.6638200409477635",2.0,BAC + 2,81,39,42
2021,Lycées,Privé,0350793X,LPO PR METIER,LPO PRIVE LYCEE DES METIERS,FREDERIC OZANAM,0350793X,LPO PR METIER,LPO PRIVE LYCEE DES METIERS,FREDERIC OZANAM,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35051,Cesson-Sévigné,"48.12999046066628, -1.5980995433807048",2.0,BAC + 2,69,10,59
2021,Lycées,Privé,0350797B,LPO PR METIER,LYC POLYVAL PRIVE DES METIERS,JEANNE D'ARC,0350797B,LPO PR METIER,LYC POLYVAL PRIVE DES METIERS,JEANNE D'ARC,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11924520129082, -1.6540806074427077",1.0,BAC + 1,248,183,65
2021,Lycées,Privé,0350805K,ECP PR,ECOLE TECHNIQUE PRIVEE,LE COZIC SILVYA TERRADE RENNES,0350805K,ECP PR,ECOLE TECHNIQUE PRIVEE,LE COZIC SILVYA TERRADE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.1053780777385, -1.652000209421197",2.0,BAC + 2,37,36,1
2021,Lycées,Public,0350031U,LP LYC METIER,LP LYCEE DES METIERS,JEAN JAURES,0350031U,LP LYC METIER,LP LYCEE DES METIERS,JEAN JAURES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.0923865526355, -1.6879355434525904",1.0,BAC + 1,12,7,5
2021,Lycées,Public,0350031U,LP LYC METIER,LP LYCEE DES METIERS,JEAN JAURES,0350031U,LP LYC METIER,LP LYCEE DES METIERS,JEAN JAURES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.0923865526355, -1.6879355434525904",3.0,BAC + 3,11,3,8
2021,Lycées,Public,0351878B,LP,LYCEE PROFESSIONNEL,COETLOGON,0351878B,LP,LYCEE PROFESSIONNEL,COETLOGON,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.122268057294775, -1.6935999776082489",1.0,BAC + 1,21,10,11
2021,Lycées,Public,0351878B,LP,LYCEE PROFESSIONNEL,COETLOGON,0351878B,LP,LYCEE PROFESSIONNEL,COETLOGON,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.122268057294775, -1.6935999776082489",2.0,BAC + 2,19,4,15
2021,Lycées,Public,0351907H,LGT,LYCEE GENERAL ET TECHNOLOGIQUE,RENE DESCARTES,0351907H,LGT,LYCEE GENERAL ET TECHNOLOGIQUE,RENE DESCARTES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.08839577196922, -1.6428793424832282",2.0,BAC + 2,87,61,26
2021,Écoles paramédicales hors université,Privé,0351601A,IFMK,INST FORM MASSO-KINESITHERAPIE,CHU PONTCHAILLOU RENNES,0351601A,IFMK,INST FORM MASSO-KINESITHERAPIE,CHU PONTCHAILLOU RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.124776359716186, -1.6987197692374079",3.0,BAC + 3,221,165,56
2021,Écoles paramédicales hors université,Public,0352087D,FORM SANTE,CENTRES FORM METIERS SANTE,CTRE HOSP SPE G REGNIER RENNES,0352087D,FORM SANTE,CENTRES FORM METIERS SANTE,CTRE HOSP SPE G REGNIER RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11531782496442, -1.6384495254941025",1.0,BAC + 1,113,93,20
2021,Écoles paramédicales hors université,Public,0352087D,FORM SANTE,CENTRES FORM METIERS SANTE,CTRE HOSP SPE G REGNIER RENNES,0352087D,FORM SANTE,CENTRES FORM METIERS SANTE,CTRE HOSP SPE G REGNIER RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11531782496442, -1.6384495254941025",2.0,BAC + 2,110,92,18
2021,Universités,Public,0290346U,U BREST,UNIVERSITE  BREST,BRETAGNE OCCIDENTALE,0351579B,UFR MATHS,UFR MATHEMATIQUES,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11412271889446, -1.6376903820335271",4.0,BAC + 4,42,20,22
2021,Universités,Public,0290346U,U BREST,UNIVERSITE  BREST,BRETAGNE OCCIDENTALE,0351580C,UFR SPM,UFR STRUCT PROPRIETE MATIERE,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11412271889446, -1.6376903820335271",5.0,BAC + 5,11,4,7
2021,Universités,Public,0290346U,U BREST,UNIVERSITE  BREST,BRETAGNE OCCIDENTALE,0352425W,UFR SC SOC,UFR SCIENCES SOCIALES,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12421121482742, -1.7002097435784336",5.0,BAC + 5,60,24,36
2021,Universités,Public,0290346U,U BREST,UNIVERSITE  BREST,BRETAGNE OCCIDENTALE,0352863X,INSPE RENNES,INSPE ACADEMIE RENNES,UNIVERSITE BREST,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.122280577120854, -1.6840004580597403",4.0,BAC + 4,102,78,24
2017,Écoles d'ingénieurs,Public,0350077U,ENSCR,ENS CHIMIE RENNES,,0350077U,ENSCR,ENS CHIMIE RENNES,,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.118299775277826, -1.6332702117240678",,,443,279,164
2017,Écoles juridiques et administratives,Privé,0352479E,EC SUP PR,ECOLE DES AVOCATS,DU GRAND OUEST,0352479E,EC SUP PR,ECOLE DES AVOCATS,DU GRAND OUEST,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35047,Bruz,"48.04586069281472, -1.7417901230933945",,,299,190,109
2017,Lycées,Privé,0350797B,LPO PR METIER,LYC POLYVAL PRIVE DES METIERS,JEANNE D'ARC,0350797B,LPO PR METIER,LYC POLYVAL PRIVE DES METIERS,JEANNE D'ARC,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11924520129082, -1.6540806074427077",,,451,353,98
2017,Lycées,Public,0350710G,LG,LYCEE GENERAL,FRANCOIS RENE DE CHATEAUBRIAND,0350710G,LG,LYCEE GENERAL,FRANCOIS RENE DE CHATEAUBRIAND,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.123363322121065, -1.6494796949846537",,,1058,520,538
2017,Écoles paramédicales hors université,Public,0350098S,FORM SANTE,CENTRES FORM METIERS SANTE,CHRU PONTCHAILLOU RENNES,0350098S,FORM SANTE,CENTRES FORM METIERS SANTE,CHRU PONTCHAILLOU RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.116772952110914, -1.6957703345558421",,,631,554,77
2017,Écoles paramédicales hors université,Public,0352087D,FORM SANTE,CENTRES FORM METIERS SANTE,CTRE HOSP SPE G REGNIER RENNES,0352087D,FORM SANTE,CENTRES FORM METIERS SANTE,CTRE HOSP SPE G REGNIER RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11531782496442, -1.6384495254941025",,,255,228,27
2017,Universités,Public,0290346U,U BREST,UNIVERSITE  BREST,BRETAGNE OCCIDENTALE,0351579B,UFR MATHS,UFR MATHEMATIQUES,UNIVERSITE RENNES 1,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11412271889446, -1.6376903820335271",,,39,14,25
2017,Universités,Public,0290346U,U BREST,UNIVERSITE  BREST,BRETAGNE OCCIDENTALE,0351580C,UFR SPM,UFR STRUCT PROPRIETE MATIERE,UNIVERSITE RENNES 1,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11412271889446, -1.6376903820335271",,,43,14,29
2017,Universités,Public,0290346U,U BREST,UNIVERSITE  BREST,BRETAGNE OCCIDENTALE,0352424V,UFR ART LET,UFR ARTS LETTRES COMMUNICATION,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12421121482742, -1.7002097435784336",,,231,176,55
2017,Universités,Public,0290346U,U BREST,UNIVERSITE  BREST,BRETAGNE OCCIDENTALE,0352425W,UFR SC SOC,UFR SCIENCES SOCIALES,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12421121482742, -1.7002097435784336",,,173,54,119
2017,Universités,Public,0350936C,U RENNES 1,UNIVERSITE RENNES 1,UNIVERSITE RENNES 1,0350697T,IUT RENNES,IUT RENNES,UNIVERSITE RENNES 1,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12221682828508, -1.6287404076512841",,,1880,716,1164
2017,Universités,Public,0350936C,U RENNES 1,UNIVERSITE RENNES 1,UNIVERSITE RENNES 1,0350899M,UFR ODONTOLOG,UFR ODONTOLOGIE,UNIVERSITE RENNES 1,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.117525814316345, -1.6966705794419807",,,495,255,240
2017,Universités,Public,0350936C,U RENNES 1,UNIVERSITE RENNES 1,UNIVERSITE RENNES 1,0351574W,UFR SC ECO,UFR SC ECO ET ECO APPLIQUEE,UNIVERSITE RENNES 1,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11610498006906, -1.6765806138697112",,,2483,1224,1259
2017,Universités,Public,0350936C,U RENNES 1,UNIVERSITE RENNES 1,UNIVERSITE RENNES 1,0352815V,UFR INFORM ELE,UFR INFORMATIQUE ELECTRONIQUE,UNIVERSITE RENNES 1,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11412271889446, -1.6376903820335271",,,1359,195,1164
2017,Universités,Public,0350937D,U RENNES 2,UNIVERSITE RENNES 2,,0352424V,UFR ART LET,UFR ARTS LETTRES COMMUNICATION,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12421121482742, -1.7002097435784336",,,4977,3327,1650
2017,Universités,Public,0350937D,U RENNES 2,UNIVERSITE RENNES 2,,0352425W,UFR SC SOC,UFR SCIENCES SOCIALES,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12421121482742, -1.7002097435784336",,,3351,1665,1686
2017,Universités,Public,0350937D,U RENNES 2,UNIVERSITE RENNES 2,,0352599K,CEFOCOP,ANT UFR SC HUMAINE CEFOCOP,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12587698771854, -1.7005505598348052",,,64,55,9
2021,Universités,Public,0350936C,U RENNES 1,UNIVERSITE RENNES 1,UNIVERSITE RENNES 1,0350075S,IG RENNES,INSTITUT DE GESTION RENNES,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11728104154247, -1.6723406266225596",5.0,BAC + 5,709,371,338
2021,Universités,Public,0350936C,U RENNES 1,UNIVERSITE RENNES 1,UNIVERSITE RENNES 1,0350699V,IPAG RENNES,IPAG RENNES,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.118360036961136, -1.6674524383967937",4.0,BAC + 4,12,11,1
