Rentrée universitaire,catégorie d'établissement,secteur d'établissement,code UAI de l'établissement,sigle de l'établissement,libellé de l'établissement,libellé complémentaire de l'établissement,Code UAI de la composante,sigle de la composante,libellé de la composante,libellé complémentaire de la composante,id région,région,id académie,académie,id département,département,id unité urbaine,unité urbaine,code commune,Commune,gps,degetu,degre_etudes,nombre total d’étudiants inscrits hors doubles inscriptions université/CPGE,dont femmes,dont hommes
2021,Universités,Public,0350936C,U RENNES 1,UNIVERSITE RENNES 1,UNIVERSITE RENNES 1,0351580C,UFR SPM,UFR STRUCT PROPRIETE MATIERE,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11412271889446, -1.6376903820335271",3.0,BAC + 3,191,77,114
2021,Universités,Public,0350936C,U RENNES 1,UNIVERSITE RENNES 1,UNIVERSITE RENNES 1,0352286V,SCUFC,SERVICE EDUCATION PERMANENTE,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11054509605566, -1.6720583934223863",0.0,Inférieur ou égal au baccalauréat,34,20,14
2021,Universités,Public,0350936C,U RENNES 1,UNIVERSITE RENNES 1,UNIVERSITE RENNES 1,0352786N,ESIR RENNES,EC SUP INGENIEURS RENNES,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.114452391497785, -1.6467986203667293",2.0,BAC + 2,42,5,37
2021,Universités,Public,0350936C,U RENNES 1,UNIVERSITE RENNES 1,UNIVERSITE RENNES 1,0352815V,UFR INFORM ELE,UFR INFORMATIQUE ELECTRONIQUE,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11412271889446, -1.6376903820335271",2.0,BAC + 2,172,31,141
2021,Universités,Public,0350936C,U RENNES 1,UNIVERSITE RENNES 1,UNIVERSITE RENNES 1,0352815V,UFR INFORM ELE,UFR INFORMATIQUE ELECTRONIQUE,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11412271889446, -1.6376903820335271",4.0,BAC + 4,271,49,222
2021,Universités,Public,0350937D,U RENNES 2,UNIVERSITE,DE RENNES 2,0350919J,UFR STAPS,UFR STAPS,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12587698771854, -1.7005505598348052",3.0,BAC + 3,487,158,329
2021,Universités,Public,0350937D,U RENNES 2,UNIVERSITE,DE RENNES 2,0350919J,UFR STAPS,UFR STAPS,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12587698771854, -1.7005505598348052",5.0,BAC + 5,146,60,86
2021,Universités,Public,0350937D,U RENNES 2,UNIVERSITE,DE RENNES 2,0351855B,SEFOCEPE,SEFOCEPE,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12589162548629, -1.695210596508493",0.0,Inférieur ou égal au baccalauréat,113,67,46
2021,Universités,Public,0350937D,U RENNES 2,UNIVERSITE,DE RENNES 2,0352300K,SUP,SERV UNIV DE PEDAGOGIE,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12701468836734, -1.6872681355394743",2.0,BAC + 2,685,506,179
2021,Universités,Public,0350937D,U RENNES 2,UNIVERSITE,DE RENNES 2,0352300K,SUP,SERV UNIV DE PEDAGOGIE,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12701468836734, -1.6872681355394743",3.0,BAC + 3,825,611,214
