date,adresse,commune,insee,cote_archives,longitude,latitude
1929,58 rue du Général-Margueritte,Rennes,35238,762W,-1.679113,48.098099
1929,64 rue Ginguené,Rennes,35238,762W,-1.679692,48.099108
1929,68 rue Ginguené,Rennes,35238,762W,-1.679016,48.099153
1929,69 rue Ginguené,Rennes,35238,762W,-1.679738,48.099188
1929,7 rue du Général-Margueritte,Rennes,35238,762W,-1.679436,48.101189
1929,70 rue Ginguené,Rennes,35238,762W,-1.678948,48.099159
1929,75 rue Ginguené,Rennes,35238,762W,-1.678654,48.099261
1929,8 rue de Ginguené,Rennes,35238,762W,-1.685973,48.099221
1929,83 rue du Général-Margueritte,Rennes,35238,762W,-1.679207,48.099216
1929,avenue du Général-Leclerc,Rennes,35238,762W,-1.645334,48.118813
1929,avenue du Général-Leclerc,Rennes,35238,762W,-1.645334,48.118813
1929,rue Ginguené,Rennes,35238,762W,-1.67804,48.099368
1929,rue Ginguené,Rennes,35238,762W,-1.67804,48.099368
1929,rue Ginguené,Rennes,35238,762W,-1.67804,48.099368
1929,27 rue George-Sand,Rennes,35238,762W,-1.668306,48.116957
1930,12 rue Gilles-Languedoc,Rennes,35238,762W,-1.687117,48.122358
1930,16 rue de la Gomondière,Rennes,35238,762W,-1.647595,48.094876
1930,18 rue du Général-Margueritte,Rennes,35238,762W,-1.679475,48.100454
1930,25 rue George-Sand,Rennes,35238,762W,-1.668287,48.117283
1930,30 rue Ginguené,Rennes,35238,762W,-1.683519,48.098869
1930,34 rue du Général-Margueritte,Rennes,35238,762W,-1.679337,48.099522
1930,57 rue Ginguené,Rennes,35238,762W,-1.680629,48.09913
1930,7 rue George-Sand,Rennes,35238,762W,-1.668239,48.118298
1930,71 rue Ginguené,Rennes,35238,762W,-1.679421,48.099208
1930,83 rue Ginguené,Rennes,35238,762W,-1.677944,48.099309
1930,89 rue Ginguené,Rennes,35238,762W,-1.677631,48.099331
1930,avenue du Général-Leclerc,Rennes,35238,762W,-1.645334,48.118813
1930,avenue du Général-Leclerc,Rennes,35238,762W,-1.645334,48.118813
1930,rue de la Gomondière,Rennes,35238,762W,-1.647595,48.094876
1930,rue du Général-Margueritte,Rennes,35238,762W,-1.679207,48.099216
1930,rue Glais-Bizoin,Rennes,35238,762W,-1.66964,48.095766
1931,1 Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.689865,48.094812
1931,13 rue de la Gomondière,Rennes,35238,762W,-1.650093,48.095611
1931,18 rue de la Gomondière,Rennes,35238,762W,-1.647595,48.094876
1931,19 rue de la Gomondière,Rennes,35238,762W,-1.649465,48.095485
1931,27 rue Gilles-Languedoc,Rennes,35238,762W,-1.687497,48.122149
1931,29 rue Gilles-Languedoc,Rennes,35238,762W,-1.687204,48.122161
1931,32 Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.687519,48.094489
1931,35 rue Ginguené,Rennes,35238,762W,-1.67804,48.099368
1931,4 Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.689839,48.094654
1931,6 Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.689714,48.094646
1931,69 rue du Général-Margueritte,Rennes,35238,762W,-1.678931,48.097797
1931,8 rue de la Gomondière,Rennes,35238,762W,-1.650534,48.09563
1931,rue du Général-Margueritte,Rennes,35238,762W,-1.679207,48.099216
1931,rue Glais-Bizoin,Rennes,35238,762W,-1.66964,48.095766
1932,10 rue Gilles-Languedoc,Rennes,35238,762W,-1.687118,48.122274
1932,11 rue George-Sand,Rennes,35238,762W,-1.668258,48.118035
1932,17 rue George-Sand,Rennes,35238,762W,-1.668273,48.117665
1932,20 rue de la Gomondière,Rennes,35238,762W,-1.649431,48.095487
1932,22 rue de la Gomondière,Rennes,35238,762W,-1.64963,48.095449
1932,23 rue Ginguené,Rennes,35238,762W,-1.683797,48.098982
1932,24 Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.688239,48.09456
1960,boulevard Gaëtan-Hervé,Rennes,35238,761W,-1.669032,48.09036
1932,25 rue Glais-Bizoin,Rennes,35238,762W,-1.669415,48.095788
1932,26 Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.688034,48.094548
1932,3 rue Glais-Bizoin,Rennes,35238,762W,-1.671055,48.095967
1932,35 rue Ginguené,Rennes,35238,762W,-1.67804,48.099368
1932,43 rue Ginguené,Rennes,35238,762W,-1.681748,48.099064
1932,60 rue du Général-Margueritte,Rennes,35238,762W,-1.6791,48.098016
1932,76 rue Ginguené,Rennes,35238,762W,-1.678421,48.099194
1932,78 rue Ginguené,Rennes,35238,762W,-1.678064,48.099216
1932,79 rue Ginguené,Rennes,35238,762W,-1.678419,48.099276
1932,8 Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.68956,48.094637
1932,85 rue Ginguené,Rennes,35238,762W,-1.678186,48.099316
1932,avenue du Général-Leclerc,Rennes,35238,762W,-1.645334,48.118813
1932,avenue du Général-Leclerc,Rennes,35238,762W,-1.645334,48.118813
1932,Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.682916,48.094318
1932,avenue du Général-Leclerc,Rennes,35238,762W,-1.645334,48.118813
1936,rue Francisco-Férrer,Rennes,35238,760W,-1.655756,48.095035
1933,39 rue du Général-Margueritte,Rennes,35238,762W,-1.679198,48.099551
1933,10 Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.689367,48.094626
1933,11 rue Glais-Bizoin,Rennes,35238,762W,-1.670639,48.095922
1933,119 rue Ginguené,Rennes,35238,762W,-1.67105,48.099961
1933,12 Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.68918,48.094615
1933,121 rue Ginguené,Rennes,35238,762W,-1.670974,48.099968
1933,21 rue de la Gomondière,Rennes,35238,762W,-1.649373,48.095465
1933,21 rue Glais-Bizoin,Rennes,35238,762W,-1.669736,48.095822
1933,23 rue George-Sand,Rennes,35238,762W,-1.668284,48.1174
1933,3 rue de la Gomondière,Rennes,35238,762W,-1.650906,48.095743
1933,31 rue Ginguené,Rennes,35238,762W,-1.682812,48.098983
1960,boulevard Gaëtan-Hervé,Rennes,35238,761W,-1.669032,48.09036
1933,35 rue du Général-Margueritte,Rennes,35238,762W,-1.679225,48.099748
1933,37 rue du Général-Margueritte,Rennes,35238,762W,-1.679217,48.099658
1933,40 Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.686709,48.094469
1933,5 Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.689486,48.09479
1933,6 rue Ginguené,Rennes,35238,762W,-1.68608,48.099256
1933,74 rue Guiguené,Rennes,35238,762W,-1.678544,48.099186
1933,75 rue du Général-Margueritte,Rennes,35238,762W,-1.678889,48.097508
1933,78 rue Ginguené,Rennes,35238,762W,-1.678064,48.099216
1933,95 rue Ginguené,Rennes,35238,762W,-1.676854,48.099399
1934,10 rue de la Gomondière,Rennes,35238,762W,-1.650262,48.095568
1934,14 Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.689041,48.094607
1934,15 rue de la Gomondière,Rennes,35238,762W,-1.649738,48.095546
1934,16 rue de la Gomondière,Rennes,35238,762W,-1.647595,48.094876
1934,20 Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.688535,48.094577
1934,22 Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.688408,48.094569
1934,27 rue Ginguené,Rennes,35238,762W,-1.67804,48.099368
1934,27 rue Glais-Bizoin,Rennes,35238,762W,-1.66964,48.095766
1934,31 rue Ginguené,Rennes,35238,762W,-1.682812,48.098983
1934,34 rue Glais-Bizoin,Rennes,35238,762W,-1.66842,48.095599
1934,38 rue Glais-Bizoin,Rennes,35238,762W,-1.668164,48.09557
1934,53 rue Ginguené,Rennes,35238,762W,-1.681143,48.099102
1934,7 rue de la Gomondière,Rennes,35238,762W,-1.650578,48.095703
1934,7 rue Glais-Bizoin,Rennes,35238,762W,-1.670783,48.095938
1934,84 rue Ginguené,Rennes,35238,762W,-1.677678,48.099243
1934,91 rue Ginguené,Rennes,35238,762W,-1.677279,48.099355
1934,Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.682916,48.094318
1934,rue Glais-Bizoin rue Bigot-de-Préameneu,Rennes,35238,762W,-1.66785657405853,48.0956005804551
1935,11 Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.688468,48.09473
1935,11bis rue Glais-Bizoin,Rennes,35238,762W,-1.670521,48.09591
1935,127 rue Ginguené,Rennes,35238,762W,-1.670565,48.099985
1935,16 rue Glais-Bizoin,Rennes,35238,762W,-1.669731,48.095741
1935,19 rue Gilles-Languedoc,Rennes,35238,762W,-1.687648,48.122181
1935,32 rue du Général-Margueritte,Rennes,35238,762W,-1.67934,48.099592
1935,64 rue du Général-Margueritte,Rennes,35238,762W,-1.679081,48.097833
1935,76 rue Ginguené,Rennes,35238,762W,-1.678421,48.099194
1935,88 rue Ginguené,Rennes,35238,762W,-1.677209,48.099273
1935,88 rue Guiguené,Rennes,35238,762W,-1.677209,48.099273
1935,avenue du Général-Leclerc,Rennes,35238,762W,-1.645334,48.118813
1936,13 Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.688211,48.094715
1936,14 rue Glais-Bizoin,Rennes,35238,762W,-1.669843,48.095752
1957,avenue du Général-George-Patton,Rennes,35238,761W,-1.661442,48.132739
1936,19 rue du Général-Margueritte,Rennes,35238,762W,-1.679359,48.100655
1936,2 rue de la Gomondière,Rennes,35238,762W,-1.650804,48.095753
1936,2 bis rue de la Gomondière,Rennes,35238,762W,-1.667351,48.125075
1936,2 Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.690007,48.094663
sans date,rue Ginguené,Rennes,35238,762W,-1.67804,48.099368
1936,24 et 24bis rue Glais-Bizoin,Rennes,35238,762W,-1.66918,48.095678
1936,28 Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.68766,48.094526
1936,28 rue Guinguené,Rennes,35238,762W,-1.683681,48.098884
1936,30 Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.687543,48.094519
1936,35 Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.685745,48.094603
1936,36 rue Glais-Bizoin,Rennes,35238,762W,-1.668308,48.095587
1936,40 rue du Général-Margueritte,Rennes,35238,762W,-1.679262,48.099071
1936,46 rue Ginguené,Rennes,35238,762W,-1.681708,48.098971
1936,46bis rue du Général-Margueritte,Rennes,35238,762W,-1.679207,48.099216
1936,54 rue du Général-Margueritte,Rennes,35238,762W,-1.67915,48.098312
1936,7 Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.688968,48.094803
1936,70 rue Guiguené,Rennes,35238,762W,-1.678948,48.099159
1936,9 Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.688606,48.094738
1936,93 rue Ginguené,Rennes,35238,762W,-1.67712,48.099364
1936,96 rue Guiguené,Rennes,35238,762W,-1.676704,48.099306
1936,avenue du Général-Leclecrc,Rennes,35238,762W,-1.645334,48.118813
1936,avenue du Général-Leclerc,Rennes,35238,762W,-1.645334,48.118813
1936,rue Glais-Bizoin rue Bigot-de-Préameneu,Rennes,35238,762W,-1.66785657405853,48.0956005804551
1937,129 rue Ginguené,Rennes,35238,762W,-1.670437,48.09999
1937,133 rue Ginguené,Rennes,35238,762W,-1.670173,48.100016
1937,135 rue Ginguené,Rennes,35238,762W,-1.670048,48.100027
1939,75 rue Ginguené,Rennes,35238,762W,-1.678654,48.099261
1937,166 rue Ginguené,Rennes,35238,762W,-1.670821,48.099884
1937,17 rue George-Sand,Rennes,35238,762W,-1.668273,48.117665
1937,19 rue du Général-Margueritte,Rennes,35238,762W,-1.679359,48.100655
1937,23 Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.687141,48.094651
1937,45 rue du Général-Margueritte,Rennes,35238,762W,-1.679163,48.099306
1937,91 rue Ginguené,Rennes,35238,762W,-1.677279,48.099355
1937,avenue du Général-Leclerc,Rennes,35238,762W,-1.645334,48.118813
1937,Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.682916,48.094318
1937,Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.682916,48.094318
1937,rue Georges-Bizet,Rennes,35238,762W,-1.686155,48.124518
1938,137 rue Ginguené,Rennes,35238,762W,-1.669884,48.100043
1938,160 rue Ginguené,Rennes,35238,762W,-1.671257,48.099872
1938,160bis rue Ginguené,Rennes,35238,762W,-1.67804,48.099368
1938,162 rue Ginguené,Rennes,35238,762W,-1.671171,48.099876
1938,164 rue Ginguené,Rennes,35238,762W,-1.671031,48.099875
1938,3 rue Gilles-Languedoc,Rennes,35238,762W,-1.686797,48.121808
1938,30 rue du Général-Margueritte,Rennes,35238,762W,-1.679361,48.099736
1938,67 rue Ginguené,Rennes,35238,762W,-1.67988,48.099178
1938,67 rue Ginguené,Rennes,35238,762W,-1.67988,48.099178
1938,rue Georges-Bizet,Rennes,35238,762W,-1.686155,48.124518
1938,rue Georges-Bizet,Rennes,35238,762W,-1.686155,48.124518
1939,12 rue de la Gomondière,Rennes,35238,762W,-1.650237,48.095565
1939,125 rue Ginguené,Rennes,35238,762W,-1.670699,48.099979
1939,16 Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.68887,48.094597
1939,23 rue Glais-Bizoin,Rennes,35238,762W,-1.66961,48.095808
1939,26 rue Glais-Bizoin,Rennes,35238,762W,-1.669053,48.095666
1939,77 rue Ginguené,Rennes,35238,762W,-1.678543,48.099268
1939,Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.682916,48.094318
1939,rue Ginguené,Rennes,35238,762W,-1.67804,48.099368
1939,rue Ginguené,Rennes,35238,762W,-1.67804,48.099368
1939,rue Ginguené / lotissement Barbé,Rennes,35238,762W,-1.67804,48.099368
1939,boulevard Georges-Clémenceau,Rennes,35238,762W,-1.682916,48.094318
1940,10 rue George-Sand,Rennes,35238,762W,-1.668386,48.117116
1940,16 Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.68887,48.094597
1941,139 rue Ginguené,Rennes,35238,762W,-1.669734,48.100056
1941,24 Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.688239,48.09456
1941,28 Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.68766,48.094526
1941,38 Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.686975,48.094485
1941,42 rue Guinguené,Rennes,35238,762W,-1.67804,48.099368
1941,8 rue Glais-Bizoin,Rennes,35238,762W,-1.670248,48.095796
