EPCI,Commune,Numéro d'immatriculation,Type de syndic : bénévole / professionnel / non connu,Identification du représentant légal  (raison sociale et le numéro SIRET du syndic professionnel ou Civilité/prénom/ nom du syndic bénévole ou coopératif),Siret représentant légal (si existe),Code APE,Commune du représentant légal,Mandat en cours dans la copropriété,Nom d’usage de la copropriété,Adresse de référence,Numéro et Voie (adresse de référence),Code postal (adresse de référence),Commune (adresse de référence),Adresse complémentaire 1,Adresse complémentaire 2,Adresse complémentaire 3,Nombre d'adresses complémentaires,long,lat,Date du règlement de copropriété,Résidence service,Syndicat coopératif,Syndicat principal ou syndicat secondaire,"Si secondaire, n° d’immatriculation du principal",Nombre d’ASL auxquelles est rattaché le syndicat de copropriétaires,Nombre d’AFUL auxquelles est rattaché le syndicat de copropriétaires,Nombre d’Unions de syndicats auxquelles est rattaché le syndicat de copropriétaires,Nombre total de lots,"Nombre total de lots à usage d’habitation, de bureaux ou de commerces",Nombre de lots à usage d’habitation,Nombre de lots de stationnement,Nombre d'arrêtés relevant du code de la santé publique en cours,Nombre d'arrêtés de péril sur les parties communes en cours,Nombre d'arrêtés sur les équipements communs en cours,Période de construction,Référence Cadastrale 1,Code INSEE commune 1,Préfixe 1,Section 1,Numéro parcelle 1,Référence Cadastrale 2,Code INSEE commune 2,Préfixe 2,Section 2,Numéro parcelle 2,Référence Cadastrale 3,Code INSEE commune 3,Préfixe 3,Section 3,Numéro parcelle 3,Nombre de parcelles cadastrales,nom_qp,code_qp,Copro dans ACV,Copro dans PVD,Copro aidée,Code Officiel Commune,Nom Officiel Commune,Code Officiel Arrondissement Commune,Nom Officiel Arrondissement Commune,Code Officiel EPCI,Nom Officiel EPCI,Code Officiel Département,Nom Officiel Département,Code Officiel Région,Nom Officiel Région
243500139,35238,AB0157503,professionnel,FONCIA ARMOR 41133158000133,41133158000133,6831Z,RENNES,Mandat en cours,1 RUE BONNE NOUVELLE,1 r de bonne nouvelle 35000 RENNES,1 r de bonne nouvelle,35000,RENNES,,,,0,-1.679503,48.114934,1926-12-18,non,non,oui,,0,0,0,21,11,6,0,0,0,0,AVANT_1949,,,,,,,,,,,,,,,,0,,,Non,Non,Non,35238,Rennes,35238,Rennes,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
243500139,35238,AB0159905,professionnel,FONCIA ARMOR 41133158000133,41133158000133,6831Z,RENNES,Mandat en cours,VILLIERS DE L'ISLE ADAM,1B r villiers de l'isle adam 35000 RENNES,1B r villiers de l'isle adam,35000,RENNES,,,,0,-1.668233,48.097415,1959-07-27,non,non,oui,,0,0,0,35,10,10,5,0,0,0,DE_1949_A_1960,,,,,,,,,,,,,,,,0,,,Non,Non,Non,35238,Rennes,35238,Rennes,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
243500139,35238,AB0162610,professionnel,LEFEUVRE SYNDIC DE COPROPRIETE 38891304800038,38891304800038,6832A,RENNES,Mandat en cours,INKERMANN 20,20 r d'inkermann 35000 Rennes,20 r d'inkermann,35000,Rennes,20 r d'inkermann 35000 Rennes,,,1,-1.690401,48.105724,1974-03-08,non,non,oui,,0,0,0,27,9,9,0,0,0,0,NON_CONNUE,,,,,,,,,,,,,,,,0,,,Non,Non,Non,35238,Rennes,35238,Rennes,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
243500139,35238,AB0164103,professionnel,FONCIA ARMOR 41133158000133,41133158000133,6831Z,RENNES,Mandat en cours,76 BLD VILLEBOIS MAREUIL,76 bd villebois mareuil 35000 RENNES,76 bd villebois mareuil,35000,RENNES,,,,0,-1.650286,48.104345,1983-01-01,non,non,oui,,0,0,0,19,7,7,0,0,0,0,AVANT_1949,,,,,,,,,,,,,,,,0,,,Non,Non,Non,35238,Rennes,35238,Rennes,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
243500139,35238,AB0166678,professionnel,CABINET LECOMTE SYNDIC 39404141200039,39404141200039,6832A,RENNES,Mandat en cours,LES TERRASSES DU THABOR,6 r du thabor 35000 RENNES,6 r du thabor,35000,RENNES,,,,0,-1.672073,48.115945,1996-07-09,non,non,oui,,0,0,0,53,24,23,29,0,0,0,DE_1994_A_2000,,,,,,,,,,,,,,,,0,,,Non,Non,Non,35238,Rennes,35238,Rennes,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
243500139,35238,AB0172932,professionnel,FONCIA ARMOR 41133158000133,41133158000133,6831Z,RENNES,Mandat en cours,64 RUE DE CHATILLON,64 r de chatillon 35000 RENNES,64 r de chatillon,35000,RENNES,,,,0,-1.672025,48.097448,1948-09-10,non,non,oui,,0,0,0,52,16,16,1,0,0,0,AVANT_1949,,,,,,,,,,,,,,,,0,,,Non,Non,Non,35238,Rennes,35238,Rennes,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
243500139,35238,AB0173435,professionnel,LEFEUVRE SYNDIC DE COPROPRIETE 38891304800038,38891304800038,6832A,RENNES,Mandat en cours,JACOBINS BAT A,5A r saint-malo 35000 Rennes,5A r saint-malo,35000,Rennes,5A r saint-malo 35000 Rennes,,,1,-1.680929,48.11596,1997-05-20,non,non,oui,,0,0,0,16,16,16,0,0,0,0,NON_CONNUE,,,,,,,,,,,,,,,,0,,,Non,Non,Non,35238,Rennes,35238,Rennes,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
243500139,35210,AB0173765,professionnel,HABITER 35 32164132600046,32164132600046,6832A,RENNES,Mandat en cours,2216 - LES TILLEULS,26 r du grand verger 35740 Pacé,26 r du grand verger,35740,Pacé,,,,0,-1.760596,48.156033,2011-12-16,non,non,oui,,0,0,0,20,10,10,10,0,0,0,A_COMPTER_DE_2011,35210000AP0211,35210,000,AP,0211,,,,,,,,,,,1,,,Non,Non,Non,35210,Pacé,35210,Pacé,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
243500139,35238,AB0175174,non connu,non connu,,non connu,non connu,Pas de mandat en cours,7 RUE MALAKOFF,7 r malakoff 35000 RENNES,7 r malakoff,35000,RENNES,,,,0,-1.693045,48.106387,1971-01-22,non,non,oui,,0,0,0,24,8,8,0,0,0,0,AVANT_1949,,,,,,,,,,,,,,,,0,,,Non,Non,Non,35238,Rennes,35238,Rennes,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
243500139,35238,AB0175257,professionnel,LEFEUVRE SYNDIC DE COPROPRIETE 38891304800038,38891304800038,6832A,RENNES,Mandat en cours,JACOBINS BAT B,5B r saint-malo 35000 Rennes,5B r saint-malo,35000,Rennes,5B r saint-malo 35000 Rennes,,,1,-1.680929,48.11596,1997-05-20,non,non,oui,,0,0,0,26,26,26,0,0,0,0,NON_CONNUE,,,,,,,,,,,,,,,,0,,,Non,Non,Non,35238,Rennes,35238,Rennes,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
