CI,Département,Commune,Art,Aire géographique,IDA
50483,MANCHE,Saint-Gilles,,Prés-salés du Mont-Saint-Michel,1674
51484,MARNE,Saint-Gilles,,Champagne,54
51484,MARNE,Saint-Gilles,,Coteaux champenois,1963
53214,MAYENNE,Saint-Erblon,,Maine-Anjou,1609
56205,MORBIHAN,Saint-Armel,,Whisky breton ou Whisky de Bretagne,2379
61317,ORNE,Orgères,,Calvados,2375
61317,ORNE,Orgères,,Calvados Pays d'Auge,2374
61317,ORNE,Orgères,,Camembert de Normandie,1462
61317,ORNE,Orgères,,Livarot,1472
61317,ORNE,Orgères,,Pays d'Auge,1361
61317,ORNE,Orgères,,Pommeau de Normandie,2378
61317,ORNE,Orgères,,Pont-l'Évêque,1951
61321,ORNE,Pacé,,Calvados,2375
61321,ORNE,Pacé,,Camembert de Normandie,1462
61321,ORNE,Pacé,,Pommeau de Normandie,2378
71425,SAONE-ET-LOIRE,Saint-Gilles,,Bourgogne,2184
71425,SAONE-ET-LOIRE,Saint-Gilles,,Bourgogne aligoté,2183
71425,SAONE-ET-LOIRE,Saint-Gilles,,Bourgogne Côte Chalonnaise,340
71425,SAONE-ET-LOIRE,Saint-Gilles,,Bourgogne mousseux,1879
71425,SAONE-ET-LOIRE,Saint-Gilles,,Bourgogne Passe-tout-grains,1876
71425,SAONE-ET-LOIRE,Saint-Gilles,,Coteaux Bourguignons,2186
71425,SAONE-ET-LOIRE,Saint-Gilles,,Crémant de Bourgogne,2399
71425,SAONE-ET-LOIRE,Saint-Gilles,,Fine de Bourgogne,1947
71425,SAONE-ET-LOIRE,Saint-Gilles,,Marc de Bourgogne,1946
81253,TARN,Saint-Grégoire,,Gaillac,1627
81253,TARN,Saint-Grégoire,,Roquefort,1483
