idcom,idcomtxt,idreg,idregtxt,iddep,iddeptxt,epci21,epci21txt,scot,aav2020,aav2020txt,aav2020_typo,naf09art10,art09act10,art09hab10,art09mix10,art09inc10,naf10art11,art10act11,art10hab11,art10mix11,art10inc11,naf11art12,art11act12,art11hab12,art11mix12,art11inc12,naf12art13,art12act13,art12hab13,art12mix13,art12inc13,naf13art14,art13act14,art13hab14,art13mix14,art13inc14,naf14art15,art14act15,art14hab15,art14mix15,art14inc15,naf15art16,art15act16,art15hab16,art15mix16,art15inc16,naf16art17,art16act17,art16hab17,art16mix17,art16inc17,naf17art18,art17act18,art17hab18,art17mix18,art17inc18,naf18art19,art18act19,art18hab19,art18mix19,art18inc19,naf19art20,art19act20,art19hab20,art19mix20,art19inc20,naf20art21,art20act21,art20hab21,art20mix21,art20inc21,naf09art21,art09act21,art09hab21,art09mix21,art09inc21,artcom2020,pop13,pop18,pop1318,men13,men18,men1318,emp13,emp18,emp1318,mepart1318,menhab1318,artpop1318,surfcom2021
35189,Montgermont,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,SCoT du Pays de Rennes,013,013,T45_20,3977,0,3977,0,0,3977,0,3977,0,0,2559,0,2559,0,0,49502,4767,44735,0,0,25641,13,24242,1386,0,6094,0,6094,0,0,5468,1203,2492,0,1773,7889,0,7889,0,0,336,0,336,0,0,1702,0,1702,0,0,16205,0,16205,0,0,3686,0,3686,0,0,127036,5983,117894,1386,1773,2.75,3243,3440,197,1404,1546,142,1553,1298,-255,-24.87,34.59,230.6,4615611
35190,Monthault,53,Bretagne,35,Ille-et-Vilaine,200072452,CA Fougères Agglomération,SCoT du Pays de Fougères,172,172,T02_20,763,0,763,0,0,763,0,763,0,0,2823,0,2823,0,0,2421,0,2421,0,0,8949,0,8949,0,0,373,0,373,0,0,2931,0,2931,0,0,73,0,73,0,0,1423,0,1423,0,0,500,0,500,0,0,238,0,238,0,0,1460,0,1460,0,0,22717,0,22717,0,0,0.27,264,258,-6,111,114,3,29,46,17,14.55,2.18,-2291.5,8323059
35196,Mordelles,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,SCoT du Pays de Rennes,013,013,T45_20,5640,2209,3431,0,0,5641,2209,3432,0,0,2201,0,2201,0,0,113239,50989,62250,0,0,1327,0,1327,0,0,3720,3485,235,0,0,7092,1293,5799,0,0,12209,4342,7867,0,0,0,0,0,0,0,163543,14726,148786,31,0,2232,0,2232,0,0,10260,0,10260,0,0,327104,79253,247820,31,0,1.08,7168,7356,188,3116,3323,207,2504,2554,50,105.55,135.93,129.51,30270332
35200,Moutiers,53,Bretagne,35,Ille-et-Vilaine,200039022,CA Vitré Communauté,SCoT du Pays de Vitré,474,474,T01_20,3345,617,2728,0,0,3346,618,2728,0,0,0,0,0,0,0,1448,0,1448,0,0,10764,0,10764,0,0,0,0,0,0,0,7273,0,7273,0,0,800,0,800,0,0,0,0,0,0,0,4731,0,4731,0,0,1104,0,1104,0,0,3169,3169,0,0,0,35980,4404,31576,0,0,0.20,952,927,-25,324,331,7,130,155,25,16.99,3.72,-753.48,17847645
35204,Nouvoitou,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,SCoT du Pays de Rennes,013,013,T45_20,5258,0,5258,0,0,5258,0,5258,0,0,33484,0,33028,456,0,47409,778,46631,0,0,35651,0,648,0,35003,5946,0,5946,0,0,30914,2931,27983,0,0,30993,0,30993,0,0,5093,0,5093,0,0,79446,0,79446,0,0,5081,0,5081,0,0,30941,122,30819,0,0,315474,3831,276184,456,35003,1.63,2831,3173,342,1082,1260,178,517,466,-51,11.69,25.19,317.54,19402975
35206,Noyal-Châtillon-sur-Seiche,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,SCoT du Pays de Rennes,013,013,T45_20,70960,30006,38484,0,2470,70961,30006,38484,0,2471,6472,0,6472,0,0,111935,26785,83856,1294,0,8091,953,7138,0,0,8768,10,8158,600,0,6560,1552,5008,0,0,71686,52607,17572,1507,0,59894,12533,47361,0,0,84751,49780,34967,0,4,42065,19997,22068,0,0,12228,35,12193,0,0,554371,224264,321761,3401,4945,2.10,6783,6885,102,2846,3005,159,2619,3564,945,71.23,18.65,1519.6,26445460
35208,Orgères,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,SCoT du Pays de Rennes,013,013,T45_20,18209,3973,11811,0,2425,18209,3973,11811,0,2425,7520,6330,1190,0,0,90796,34239,56557,0,0,23839,14553,9286,0,0,21519,38,21481,0,0,30842,20324,10517,0,1,19747,0,19747,0,0,84542,0,84542,0,0,53390,0,53390,0,0,16179,9532,6647,0,0,77239,25598,51641,0,0,462031,118560,338620,0,4851,2.76,4102,4993,891,1611,1961,350,857,999,142,27.26,24.04,202.57,16760893
35210,Pacé,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,SCoT du Pays de Rennes,013,013,T45_20,26389,181,25788,0,420,26390,181,25788,0,421,54513,28064,26432,0,17,16007,1316,13248,778,665,339517,266142,73375,0,0,15095,0,13108,1987,0,29884,0,29884,0,0,16456,2351,14105,0,0,80539,25467,55048,24,0,10071,17,10054,0,0,16196,15712,484,0,0,141975,123316,18659,0,0,773032,462747,305973,2789,1523,2.21,11044,11825,781,4465,4913,448,4915,4973,58,10.51,24.15,616.51,34987695
35216,Parthenay-de-Bretagne,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,SCoT du Pays de Rennes,013,013,T45_20,5770,1205,4564,0,1,5771,1206,4565,0,0,2684,1100,1584,0,0,10139,1150,6667,2322,0,9058,0,9058,0,0,6954,0,6954,0,0,18594,0,18594,0,0,4200,0,4200,0,0,8803,2549,6254,0,0,0,0,0,0,0,0,0,0,0,0,1128,0,1128,0,0,73101,7210,63568,2322,1,1.50,1508,1766,258,548,640,92,140,177,37,27.1,20.42,184.53,4884810
35230,Poilley,53,Bretagne,35,Ille-et-Vilaine,200072452,CA Fougères Agglomération,SCoT du Pays de Fougères,172,172,T02_20,2177,0,2177,0,0,2178,0,2178,0,0,866,0,866,0,0,1698,0,1303,0,395,2140,0,2140,0,0,16088,0,16088,0,0,57,0,57,0,0,11348,0,11348,0,0,3817,0,3817,0,0,2020,0,2020,0,0,781,0,781,0,0,370,0,370,0,0,43540,0,43145,0,395,0.40,385,374,-11,168,170,2,82,177,95,29,0.6,-3040.91,10771869
35235,Rannée,53,Bretagne,35,Ille-et-Vilaine,200039022,CA Vitré Communauté,SCoT du Pays de Vitré,474,474,T01_20,5851,0,5851,0,0,5852,0,5852,0,0,2896,0,2896,0,0,111,0,111,0,0,10853,0,10853,0,0,5548,132,5416,0,0,4358,463,3895,0,0,1138,0,1138,0,0,5798,0,5798,0,0,4991,0,4991,0,0,0,0,0,0,0,216,0,216,0,0,47612,595,47017,0,0,0.09,1121,1086,-35,448,460,12,222,120,-102,-32.5,4.43,-791.29,52554354
35238,Rennes,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,SCoT du Pays de Rennes,013,013,T45_10,51704,16042,33865,912,885,51705,16043,33866,913,883,62339,13802,29259,6370,12908,24341,18419,5922,0,0,65597,5677,53745,5458,717,1160763,382090,618123,100184,60366,14940,14866,0,74,0,13350,4894,8456,0,0,66836,48196,18640,0,0,13814,12915,899,0,0,1073,994,79,0,0,29370,28073,1297,0,0,1555832,562011,804151,113911,75759,3.09,211373,217728,6355,110203,114603,4400,132168,141949,9781,107.31,62.95,207.94,50357222
35240,Le Rheu,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,SCoT du Pays de Rennes,013,013,T45_20,95484,12632,82054,56,742,95484,12632,82055,56,741,6873,968,5905,0,0,125207,33635,91572,0,0,32176,0,32176,0,0,30966,17992,12974,0,0,10652,10652,0,0,0,9267,7086,2181,0,0,154941,1758,153183,0,0,50263,10819,38148,1296,0,7949,369,7580,0,0,77331,32238,45093,0,0,696593,140781,552921,1408,1483,3.63,7940,8914,974,3314,3798,484,5311,5587,276,31.93,24.14,244.36,19171278
35245,Romillé,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,SCoT du Pays de Rennes,013,013,T45_20,14788,0,12003,0,2785,14789,0,12003,0,2786,40415,546,39869,0,0,2983,0,2983,0,0,6352,3900,2452,0,0,10865,0,10865,0,0,17619,13539,4080,0,0,22308,0,22308,0,0,8112,1525,6587,0,0,70258,407,69851,0,0,5366,0,5366,0,0,4193,0,4193,0,0,218048,19917,192560,0,5571,0.75,3762,3942,180,1457,1537,80,773,672,-101,-3.22,17.28,362.53,28983722
35250,Saint-Armel,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,SCoT du Pays de Rennes,013,013,T45_20,152,0,152,0,0,153,0,153,0,0,1382,0,1382,0,0,0,0,0,0,0,57621,349,49533,7739,0,0,0,0,0,0,12850,0,12850,0,0,9134,0,9134,0,0,0,0,0,0,0,42306,3810,38496,0,0,0,0,0,0,0,32488,1305,31183,0,0,156086,5464,142883,7739,0,1.98,1848,2094,246,770,888,118,394,420,26,18.09,16.5,323.6,7878641
35266,Saint-Erblon,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,SCoT du Pays de Rennes,013,013,T45_20,9985,0,9635,350,0,9986,0,9636,350,0,80809,34250,46559,0,0,23171,20737,2434,0,0,3585,2189,1396,0,0,28804,0,28804,0,0,22213,15000,7213,0,0,8990,0,8990,0,0,17920,0,17920,0,0,5673,0,5673,0,0,1484,0,1484,0,0,54184,1299,52885,0,0,266804,73475,192629,700,0,2.44,2662,3195,533,1096,1351,255,457,507,50,37.42,39.64,152.93,10916947
35275,Saint-Gilles,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,SCoT du Pays de Rennes,013,013,T45_20,35949,0,35949,0,0,35949,0,35949,0,0,22272,3627,18645,0,0,77099,5060,72039,0,0,47033,7964,39069,0,0,5787,0,5787,0,0,7819,0,7749,0,70,11333,10273,1060,0,0,11722,8458,3264,0,0,17313,15499,1814,0,0,26939,21982,3109,1848,0,29844,4981,24863,0,0,329059,77844,249297,1848,70,1.57,4125,5093,968,1716,2093,377,1342,1621,279,78.38,66.22,86.46,20973739
