declaration_creation,declaration_modification,declarant_ID_sibil,declarant_nom,declarant_nom_usuel,declarant_statut,demandeur_ID_sibil,demandeur_role,declarant_siret,declarant_code_postal,declarant_ville,declarant_departement,declarant_region,declarant_numero_dossier,declarant_numero_licence,declaration_ID_sibil,declaration_ID_externe,declaration_date_representation,declaration_statut,declaration_cause_erreur,declaration_gestionnaires_multiples,festival_ID_parent_sibil,festival_nom_parent,festival_ID_sibil,festival_nom,festival_ville,festival_code_postal,festival_date_creation,festival_statut,festival_contributeur_ID_sibil,festival_validateur_ID_sibil,festival_cause_erreur_adresse,lieu_ID_parent_sibil,lieu_nom_parent,lieu_ID_sibil,lieu_nom,lieu_nom_usuel,lieu_adresse,lieu_code_postal,lieu_ville,lieu_siret,lieu_departement_code,lieu_departement_nom,lieu_date_creation,lieu_statut,lieu_contributeur_ID_sibil,lieu_validateur_ID_sibil,lieu_cause_erreur_adresse
2025-04-07,2025-04-07,1584,ORCHESTRE NATIONAL DE BRETAGNE,ORCHESTRE NATIONAL DE BRETAGNE,Activé,5671,ROLE_DECLARANT2,35010209100021,35000,RENNES,Ille-et-Vilaine,Bretagne,DOS20183137,2-1054646,417735,,2025-06-14,CLOTURE,,false,,,,,,,,,,,,,,9526,COUVENT DES JACOBINS,Couvent des Jacobins - Centre des Congrès de Rennes Métropole,20 PLACE SAINTE-ANNE,35000,RENNES,,35,Ille-et-Vilaine,2021-01-22,VALIDE,2015,,
2025-07-17,2025-07-17,176,ANTIPODE MJC RENNES,ANTIPODE,Activé,3639,ROLE_SIB,77774999500018,35000,RENNES,Ille-et-Vilaine,Bretagne,,3-1019092,422924,declaration_435_2025_2,2025-06-13,CLOTURE,,false,,,,,,,,,,,,,,13768,ANTIPODE,Antipode - PARVIS AGNÈS VARDA,75 AVENUE JULES MANIEZ,35000,RENNES,,35,Ille-et-Vilaine,2022-05-04,VALIDE,3639,5238,
2025-07-16,2025-07-16,2934,COMMUNE DE RENNES,OPERA DE RENNES,Activé,3842,ROLE_DECLARANT1,21350238800076,35000,RENNES,Ille-et-Vilaine,Bretagne,84250,PLATESV-R-2021-012024,422550,,2025-12-06,CLOTURE,,false,,,,,,,,,,,,,,503,COMMUNE DE RENNES,,PL  DE LA MAIRIE,35000,RENNES,21350238800019,35,Ille-et-Vilaine,2018-06-27,VALIDE,,,
2025-02-24,2025-11-07,5176,ASSOCIATION AY ROOP,,Activé,6957,ROLE_DECLARANT1,48103166400032,35000,RENNES,Ille-et-Vilaine,Bretagne,PLATESV-R-2021-002953,PLATESV-R-2021-002953,372798,,2025-12-06,CLOTURE,,false,,,4084,TEMPS FORT CIRQUE,SAINT-JACQUES-DE-LA-LANDE,35136,2025-02-24,VALIDE,6957,,,,,24822,AY-ROOP LE MILIEU,,RUE DU HAUT-BOIS,35136,SAINT-JACQUES-DE-LA-LANDE,,35,Ille-et-Vilaine,2025-02-24,VALIDE,6957,,
2025-07-17,2025-07-17,176,ANTIPODE MJC RENNES,ANTIPODE,Activé,3639,ROLE_SIB,77774999500018,35000,RENNES,Ille-et-Vilaine,Bretagne,,3-1019092,422925,declaration_434_2025_2,2025-11-06,CLOTURE,,false,,,,,,,,,,,,,,13768,ANTIPODE,Antipode - PARVIS AGNÈS VARDA,75 AVENUE JULES MANIEZ,35000,RENNES,,35,Ille-et-Vilaine,2022-05-04,VALIDE,3639,5238,
2025-06-17,2025-06-17,3780,LA PAILLETTE,,Activé,5001,ROLE_SIB,77774969800034,35000,RENNES,Ille-et-Vilaine,Bretagne,52745,PLATESV-R-2020-009633,412961,/event_dates/1953551,2025-11-06,CLOTURE,,false,,,,,,,,,,,,2868,ASS MJC LA PAILLETTE,9054,LA PAILLETTE,,2 RUE DU PRÉ DE BRIS,35000,RENNES,,35,Ille-et-Vilaine,2020-11-30,FUSIONNE,1551,89,
2025-02-24,2025-11-07,5176,ASSOCIATION AY ROOP,,Activé,6957,ROLE_DECLARANT1,48103166400032,35000,RENNES,Ille-et-Vilaine,Bretagne,PLATESV-R-2021-002953,PLATESV-R-2021-002953,372810,,2025-11-06,CLOTURE,,false,,,4084,TEMPS FORT CIRQUE,SAINT-JACQUES-DE-LA-LANDE,35136,2025-02-24,VALIDE,6957,,,,,24834,LE BAM,,2 RUE ANDRÉ TRASBOT,35000,RENNES,,35,Ille-et-Vilaine,2025-02-24,VALIDE,6957,,
2025-06-17,2025-06-17,3780,LA PAILLETTE,,Activé,5001,ROLE_SIB,77774969800034,35000,RENNES,Ille-et-Vilaine,Bretagne,52745,PLATESV-R-2020-009633,412959,/event_dates/1953586,2025-11-06,CLOTURE,,false,,,,,,,,,,,,2868,ASS MJC LA PAILLETTE,9054,LA PAILLETTE,,2 RUE DU PRÉ DE BRIS,35000,RENNES,,35,Ille-et-Vilaine,2020-11-30,FUSIONNE,1551,89,
2025-02-24,2025-11-07,5176,ASSOCIATION AY ROOP,,Activé,6957,ROLE_DECLARANT1,48103166400032,35000,RENNES,Ille-et-Vilaine,Bretagne,PLATESV-R-2021-002953,PLATESV-R-2021-002953,372796,,2025-11-06,CLOTURE,,false,,,4084,TEMPS FORT CIRQUE,SAINT-JACQUES-DE-LA-LANDE,35136,2025-02-24,VALIDE,6957,,,,,22288,EPI CONDORCET,,10 RUE FRANÇOIS MITTERRAND,35136,SAINT-JACQUES-DE-LA-LANDE,,35,Ille-et-Vilaine,2024-10-07,VALIDE,5626,,
2025-06-15,2025-06-15,3780,LA PAILLETTE,,Activé,5001,ROLE_SIB,77774969800034,35000,RENNES,Ille-et-Vilaine,Bretagne,52745,PLATESV-R-2020-009633,412710,/event_dates/1949288,2025-09-06,CLOTURE,,false,,,,,,,,,,,,2868,ASS MJC LA PAILLETTE,9054,LA PAILLETTE,,2 RUE DU PRÉ DE BRIS,35000,RENNES,,35,Ille-et-Vilaine,2020-11-30,FUSIONNE,1551,89,
