journey_id,trip_id,journey_start_datetime,journey_start_date,journey_start_time,journey_start_lon,journey_start_lat,journey_start_insee,journey_start_department,journey_start_town,journey_start_towngroup,journey_start_country,journey_end_datetime,journey_end_date,journey_end_time,journey_end_lon,journey_end_lat,journey_end_insee,journey_end_department,journey_end_town,journey_end_towngroup,journey_end_country,passenger_seats,operator_class,journey_distance,journey_duration,has_incentive
12389010,983b4089-5f58-4e9a-909d-2be7668603bc,2023-02-01T07:30:00+01:00,2023-02-01,07:30:00,-1.688,48.137,35278,35,Saint-Grégoire,Rennes Métropole,France,2023-02-01T08:00:00+01:00,2023-02-01,08:00:00,-1.178,48.342,35115,35,Fougères,CA Fougères Agglomération,France,1,C,50973,34,OUI
12269639,b7bf809e-5fdc-489a-a726-79b970a54f35,2023-02-01T07:30:00+01:00,2023-02-01,07:30:00,-1.624,48.090,35055,35,Chantepie,Rennes Métropole,France,2023-02-01T08:00:00+01:00,2023-02-01,08:00:00,-1.192,48.069,35109,35,Étrelles,CA Vitré Communauté,France,1,C,34571,34,OUI
12266907,b7bf809e-5fdc-489a-a726-79b970a54f35,2023-02-01T07:30:00+01:00,2023-02-01,07:30:00,-1.624,48.090,35055,35,Chantepie,Rennes Métropole,France,2023-02-01T08:00:00+01:00,2023-02-01,08:00:00,-1.192,48.069,35109,35,Étrelles,CA Vitré Communauté,France,1,C,34571,34,OUI
12260284,b7bf809e-5fdc-489a-a726-79b970a54f35,2023-02-01T07:30:00+01:00,2023-02-01,07:30:00,-1.624,48.090,35055,35,Chantepie,Rennes Métropole,France,2023-02-01T07:50:00+01:00,2023-02-01,07:50:00,-1.192,48.069,35109,35,Étrelles,CA Vitré Communauté,France,1,C,34571,27,OUI
12261158,91f45a47-5e2d-452b-952b-18dfbf0f3d1c,2023-02-01T07:30:00+01:00,2023-02-01,07:30:00,-1.589,48.111,35051,35,Cesson-Sévigné,Rennes Métropole,France,2023-02-01T08:10:00+01:00,2023-02-01,08:10:00,-1.183,48.112,35360,35,Vitré,CA Vitré Communauté,France,1,C,33857,38,OUI
12261132,91f45a47-5e2d-452b-952b-18dfbf0f3d1c,2023-02-01T07:30:00+01:00,2023-02-01,07:30:00,-1.589,48.111,35051,35,Cesson-Sévigné,Rennes Métropole,France,2023-02-01T08:10:00+01:00,2023-02-01,08:10:00,-1.183,48.112,35360,35,Vitré,CA Vitré Communauté,France,1,C,33857,34,OUI
12261170,91f45a47-5e2d-452b-952b-18dfbf0f3d1c,2023-02-01T07:30:00+01:00,2023-02-01,07:30:00,-1.589,48.111,35051,35,Cesson-Sévigné,Rennes Métropole,France,2023-02-01T08:10:00+01:00,2023-02-01,08:10:00,-1.183,48.112,35360,35,Vitré,CA Vitré Communauté,France,1,C,33857,34,OUI
12261794,26a671c0-b089-4547-972a-dc5bfd86cf4d,2023-02-01T07:30:00+01:00,2023-02-01,07:30:00,-1.679,48.104,35238,35,Rennes,Rennes Métropole,France,2023-02-01T08:20:00+01:00,2023-02-01,08:20:00,-0.937,48.055,53137,53,Loiron-Ruillé,CA Laval Agglomération,France,1,C,61406,48,OUI
12260597,947bce7a-cd0e-4645-8bf6-ad417e7d1d07,2023-02-01T07:40:00+01:00,2023-02-01,07:40:00,-1.633,48.093,35238,35,Rennes,Rennes Métropole,France,2023-02-01T08:00:00+01:00,2023-02-01,08:00:00,-1.259,48.076,35109,35,Étrelles,CA Vitré Communauté,France,1,C,30061,22,OUI
12389655,9fbe03e5-143d-49a8-a6c8-9d8bbaba483a,2023-02-01T07:40:00+01:00,2023-02-01,07:40:00,-1.620,48.088,35055,35,Chantepie,Rennes Métropole,France,2023-02-01T07:50:00+01:00,2023-02-01,07:50:00,-1.739,48.052,35047,35,Bruz,Rennes Métropole,France,1,B,13151,11,NON
12389703,41057d1f-5a5f-45d1-b8ec-6c1f15ed8557,2023-02-01T07:40:00+01:00,2023-02-01,07:40:00,-1.627,48.139,35051,35,Cesson-Sévigné,Rennes Métropole,France,2023-02-01T08:10:00+01:00,2023-02-01,08:10:00,-1.194,48.359,35115,35,Fougères,CA Fougères Agglomération,France,1,C,43140,30,OUI
12389758,41057d1f-5a5f-45d1-b8ec-6c1f15ed8557,2023-02-01T07:40:00+01:00,2023-02-01,07:40:00,-1.663,48.136,35238,35,Rennes,Rennes Métropole,France,2023-02-01T08:20:00+01:00,2023-02-01,08:20:00,-1.198,48.354,35115,35,Fougères,CA Fougères Agglomération,France,1,C,47147,33,OUI
12389772,ba896482-fb15-4a6c-a60f-0cd5e6ffdf1b,2023-02-01T07:40:00+01:00,2023-02-01,07:40:00,-1.745,48.019,35047,35,Bruz,Rennes Métropole,France,2023-02-01T08:00:00+01:00,2023-02-01,08:00:00,-1.726,48.108,35238,35,Rennes,Rennes Métropole,France,1,C,13235,12,NON
12389797,474579b0-feb7-46ae-bed4-d80780848758,2023-02-01T07:40:00+01:00,2023-02-01,07:40:00,-1.660,48.110,35238,35,Rennes,Rennes Métropole,France,2023-02-01T08:00:00+01:00,2023-02-01,08:00:00,-1.744,48.045,35047,35,Bruz,Rennes Métropole,France,1,C,11567,14,OUI
12261155,628d029f-ef18-40b4-a0ab-18ea2595a045,2023-02-01T07:40:00+01:00,2023-02-01,07:40:00,-1.619,48.114,35051,35,Cesson-Sévigné,Rennes Métropole,France,2023-02-01T08:10:00+01:00,2023-02-01,08:10:00,-1.195,48.069,35109,35,Étrelles,CA Vitré Communauté,France,1,C,33234,29,OUI
12261362,d497102e-b568-4c0d-91c2-73624df45ca8,2023-02-01T07:40:00+01:00,2023-02-01,07:40:00,-1.480,48.121,35039,35,Brécé,Rennes Métropole,France,2023-02-01T08:10:00+01:00,2023-02-01,08:10:00,-1.194,48.069,35109,35,Étrelles,CA Vitré Communauté,France,1,C,25741,29,OUI
12389886,a3919a87-105f-4b48-bda8-8d48424546b0,2023-02-01T07:50:00+01:00,2023-02-01,07:50:00,-1.674,48.088,35238,35,Rennes,Rennes Métropole,France,2023-02-01T08:40:00+01:00,2023-02-01,08:40:00,-0.752,48.062,53130,53,Laval,CA Laval Agglomération,France,1,C,77214,52,OUI
12390214,0d31ef95-2174-4b12-8c20-b6ec693894b5,2023-02-01T07:50:00+01:00,2023-02-01,07:50:00,-1.703,48.123,35238,35,Rennes,Rennes Métropole,France,2023-02-01T09:00:00+01:00,2023-02-01,09:00:00,-1.570,47.250,44109,44,Nantes,Nantes Métropole,France,1,C,106361,68,OUI
12390197,0d31ef95-2174-4b12-8c20-b6ec693894b5,2023-02-01T07:50:00+01:00,2023-02-01,07:50:00,-1.712,48.101,35238,35,Rennes,Rennes Métropole,France,2023-02-01T09:00:00+01:00,2023-02-01,09:00:00,-1.584,47.261,44114,44,Orvault,Nantes Métropole,France,1,B,101038,63,OUI
12262509,ffb90055-5085-42af-9e95-febaffb37575,2023-02-01T07:50:00+01:00,2023-02-01,07:50:00,-1.490,47.965,35136,35,Janzé,CC Roche aux Fées Communauté,France,2023-02-01T08:30:00+01:00,2023-02-01,08:30:00,-1.697,48.151,35278,35,Saint-Grégoire,Rennes Métropole,France,1,C,34972,40,OUI
12264583,ffb90055-5085-42af-9e95-febaffb37575,2023-02-01T07:50:00+01:00,2023-02-01,07:50:00,-1.490,47.965,35136,35,Janzé,CC Roche aux Fées Communauté,France,2023-02-01T08:30:00+01:00,2023-02-01,08:30:00,-1.697,48.151,35278,35,Saint-Grégoire,Rennes Métropole,France,1,B,34972,40,OUI
12313183,f791369a-7514-449b-ae3a-85e7be41c1e0,2023-02-01T07:50:00+01:00,2023-02-01,07:50:00,-1.830,48.150,35275,35,Saint-Gilles,Rennes Métropole,France,2023-02-01T08:20:00+01:00,2023-02-01,08:20:00,-1.622,48.127,35051,35,Cesson-Sévigné,Rennes Métropole,France,1,C,18825,24,NON
12389890,5e25c303-3776-4837-bb54-315723fea280,2023-02-01T07:50:00+01:00,2023-02-01,07:50:00,-1.712,48.082,35281,35,Saint-Jacques-de-la-Lande,Rennes Métropole,France,2023-02-01T08:00:00+01:00,2023-02-01,08:00:00,-1.686,48.152,35278,35,Saint-Grégoire,Rennes Métropole,France,1,C,10436,11,NON
12389982,b567e411-814b-4591-8785-0d097c7f934e,2023-02-01T07:50:00+01:00,2023-02-01,07:50:00,-1.622,48.136,35051,35,Cesson-Sévigné,Rennes Métropole,France,2023-02-01T08:20:00+01:00,2023-02-01,08:20:00,-1.202,48.331,35137,35,Javené,CA Fougères Agglomération,France,1,C,45517,30,OUI
12390035,8ef0e7d6-a7b5-4aa4-9b26-8e56ba65087b,2023-02-01T07:50:00+01:00,2023-02-01,07:50:00,-1.659,48.138,35238,35,Rennes,Rennes Métropole,France,2023-02-01T08:40:00+01:00,2023-02-01,08:40:00,-2.070,48.615,35093,35,Dinard,CC Côte d'Émeraude,France,1,C,72428,49,OUI
12390155,d2fd4dcd-adf8-449c-93e4-9d0bbb025a48,2023-02-01T07:50:00+01:00,2023-02-01,07:50:00,-1.848,48.071,35196,35,Mordelles,Rennes Métropole,France,2023-02-01T08:10:00+01:00,2023-02-01,08:10:00,-1.777,48.144,35210,35,Pacé,Rennes Métropole,France,1,C,11984,12,NON
12390161,2f92f2f3-375e-4fdf-a908-602711d0d287,2023-02-01T07:50:00+01:00,2023-02-01,07:50:00,-1.579,48.140,35334,35,Thorigné-Fouillard,Rennes Métropole,France,2023-02-01T08:20:00+01:00,2023-02-01,08:20:00,-1.175,48.334,35137,35,Javené,CA Fougères Agglomération,France,1,C,44328,28,OUI
12390222,17a1e90f-b714-4030-8148-e149833edbf9,2023-02-01T07:50:00+01:00,2023-02-01,07:50:00,-1.707,48.100,35238,35,Rennes,Rennes Métropole,France,2023-02-01T08:10:00+01:00,2023-02-01,08:10:00,-1.506,48.103,35207,35,Noyal-sur-Vilaine,CC Pays de Châteaugiron Communauté,France,1,C,18859,15,OUI
12390252,45a8d37e-6ad8-4c91-bd49-0e92366a432e,2023-02-01T07:50:00+01:00,2023-02-01,07:50:00,-1.697,48.136,35238,35,Rennes,Rennes Métropole,France,2023-02-01T08:40:00+01:00,2023-02-01,08:40:00,-1.987,48.627,35288,35,Saint-Malo,CA du Pays de Saint Malo Agglomération,France,1,C,62906,41,OUI
12390464,ba29ea27-fe6f-45b1-b0b2-59ad48c95bff,2023-02-01T08:00:00+01:00,2023-02-01,08:00:00,-1.658,48.091,35238,35,Rennes,Rennes Métropole,France,2023-02-01T08:10:00+01:00,2023-02-01,08:10:00,-1.693,48.040,35066,35,Chartres-de-Bretagne,Rennes Métropole,France,1,C,8346,8,NON
