Rentrée scolaire,Académie,Code du département,Département,UAI,Nom de l'établissment,Code INSEE de la commune,Nom de la commune,Secteur,IPS
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352353T,ECOLE PRIMAIRE PUBLIQUE LE HAUT CHEMIN,35210,PACE,public,129.6
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352358Y,ECOLE PRIMAIRE PRIVEE STE JEANNE D ARC,35001,ACIGNE,privé sous contrat,124.7
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352363D,ECOLE PRIMAIRE PRIVEE LE SACRE COEUR,35136,JANZE,privé sous contrat,117.3
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352376T,ECOLE PRIMAIRE PRIVEE STE MARIE,35238,RENNES,privé sous contrat,118.4
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352377U,ECOLE PRIMAIRE PRIVEE STE ANNE ST JOSEPH,35210,PACE,privé sous contrat,132.8
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352407B,ECOLE PRIMAIRE PRIVEE STE ANNE,35076,CHAVAGNE,privé sous contrat,112.5
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352437J,ECOLE PRIMAIRE PUBLIQUE SUZANNE LACORE,35281,SAINT JACQUES DE LA LANDE,public,99.4
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352520Z,ECOLE PRIMAIRE PUBLIQUE LES LANDES,35055,CHANTEPIE,public,113.4
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352810P,ECOLE PRIMAIRE PUBLIQUE ANDREE CHEDID,35238,RENNES,public,65.5
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352877M,ECOLE PRIMAIRE PUBLIQUE NELSON MANDELA,35238,RENNES,public,95.0
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350192U,ECOLE ELEMENTAIRE PUBLIQUE DE CHAVAGNE,35076,CHAVAGNE,public,121.1
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350196Y,ECOLE PRIMAIRE PUBLIQUE ARC EN CIEL,35080,CINTRE,public,123.1
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350294E,ECOLE PRIMAIRE PUBLIQUE HENRI DES,35135,IRODOUER,public,106.1
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350430C,ECOLE PRIMAIRE PUBLIQUE MOIGNE,35240,LE RHEU,public,124.9
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350612A,ECOLE ELEMENTAIRE PUBLIQUE JEAN ZAY,35238,RENNES,public,140.4
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350626R,ECOLE ELEMENTAIRE PUBLIQUE CAMILLE CLAUDEL,35238,RENNES,public,130.1
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350635A,ECOLE ELEMENTAIRE PUBLIQUE POTERIE,35238,RENNES,public,126.8
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350638D,ECOLE ELEMENTAIRE PUBLIQUE CARLE BAHON,35238,RENNES,public,127.0
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350639E,ECOLE ELEMENTAIRE PUBLIQUE VILLENEUVE,35238,RENNES,public,144.7
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350671P,ECOLE PRIMAIRE PUBLIQUE DE LA VALLEE DU ROHUEL,35351,LE VERGER,public,117.6
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351025Z,ECOLE ELEMENTAIRE PUBLIQUE JEAN DE LA FONTAINE,35245,ROMILLE,public,116.7
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351072A,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35150,LECOUSSE,privé sous contrat,107.4
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351182V,ECOLE ELEMENTAIRE PRIVEE NOTRE DAME,35022,BECHEREL,privé sous contrat,103.2
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351349B,ECOLE PRIMAIRE PRIVEE ST JOSEPH,35131,L HERMITAGE,privé sous contrat,114.3
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351360N,ECOLE PRIMAIRE PRIVEE ST JEAN,35266,SAINT ERBLON,privé sous contrat,125.5
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351421E,ECOLE PRIMAIRE PRIVEE FREDERIC OZANAM,35310,SAINT SAUVEUR DES LANDES,privé sous contrat,109.5
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351443D,ECOLE PRIMAIRE PRIVEE STE ANNE,35334,THORIGNE FOUILLARD,privé sous contrat,136.4
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351512D,ECOLE PRIMAIRE PRIVEE STE JEANNE D ARC,35238,RENNES,privé sous contrat,136.4
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351515G,ECOLE PRIMAIRE PRIVEE ST LAURENT,35238,RENNES,privé sous contrat,89.1
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351516H,ECOLE PRIMAIRE PRIVEE ST JOSEPH,35238,RENNES,privé sous contrat,124.5
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351558D,ECOLE PRIMAIRE PRIVEE STE BERNADETTE,35351,LE VERGER,privé sous contrat,116.3
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351561G,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35353,VEZIN LE COQUET,privé sous contrat,122.4
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351686T,ECOLE PRIMAIRE PUBLIQUE FRANCOISE DOLTO,35032,BOURGBARRE,public,119.6
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351765D,ECOLE ELEMENTAIRE PUBLIQUE LES GRANDS PRES VERTS,35334,THORIGNE FOUILLARD,public,128.2
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351786B,ECOLE PRIMAIRE PUBLIQUE LES COLOMBES,35266,SAINT ERBLON,public,114.7
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351809B,ECOLE ELEMENTAIRE PUBLIQUE LA HAYE RENAUD,35024,BETTON,public,135.5
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351894U,ECOLE ELEMENTAIRE PUBLIQUE BOURGCHEVREUIL,35051,CESSON SEVIGNE,public,134.9
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352055U,ECOLE ELEMENTAIRE PUBLIQUE LOUISE MICHEL,35238,RENNES,public,120.4
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352187M,ECOLE ELEMENTAIRE PUBLIQUE CLEMENCEAU,35238,RENNES,public,81.3
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352245A,ECOLE PRIMAIRE PRIVEE STE ANNE,35235,RANNEE,privé sous contrat,99.7
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352306S,ECOLE ELEMENTAIRE PUBLIQUE L AUDITOIRE,35066,CHARTRES DE BRETAGNE,public,112.5
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352335Y,ECOLE PRIMAIRE PRIVEE STE BERNADETTE,35238,RENNES,privé sous contrat,119.1
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351253X,ECOLE PRIMAIRE PRIVEE STE THERESE,35079,CHEVAIGNE,privé sous contrat,132.6
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351254Y,ECOLE PRIMAIRE PRIVEE ST JOSEPH,35080,CINTRE,privé sous contrat,116.8
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351360N,ECOLE PRIMAIRE PRIVEE ST JEAN,35266,SAINT ERBLON,privé sous contrat,117.4
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351421E,ECOLE PRIMAIRE PRIVEE FREDERIC OZANAM,35310,SAINT SAUVEUR DES LANDES,privé sous contrat,109.8
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351443D,ECOLE PRIMAIRE PRIVEE STE ANNE,35334,THORIGNE FOUILLARD,privé sous contrat,134.4
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351512D,ECOLE PRIMAIRE PRIVEE STE JEANNE D ARC,35238,RENNES,privé sous contrat,140.5
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351619V,ECOLE ELEMENTAIRE PUBLIQUE ERIC TABARLY,35353,VEZIN LE COQUET,public,101.4
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351699G,ECOLE PRIMAIRE PRIVEE ST JOSEPH,35055,CHANTEPIE,privé sous contrat,130.7
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351806Y,ECOLE ELEMENTAIRE PUBLIQUE LES OMBLAIS,35024,BETTON,public,126.9
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351826V,ECOLE PRIMAIRE PRIVEE STE THERESE,35200,MOUTIERS,privé sous contrat,96.6
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351829Y,ECOLE ELEMENTAIRE PUBLIQUE LEON GRIMAULT,35238,RENNES,public,105.9
2019-2020,RENNES,035,ILLE-ET-VILAINE,0352056V,ECOLE PRIMAIRE PUBLIQUE LE CHENE CENTENAIRE,35204,NOUVOITOU,public,119.6
2019-2020,RENNES,035,ILLE-ET-VILAINE,0352096N,ECOLE PRIMAIRE PUBLIQUE MONTAUBERT,35150,LECOUSSE,public,109.7
2019-2020,RENNES,035,ILLE-ET-VILAINE,0352209L,ECOLE PRIMAIRE PUBLIQUE TREGAIN,35238,RENNES,public,66.2
2019-2020,RENNES,035,ILLE-ET-VILAINE,0352241W,ECOLE PRIMAIRE PUBLIQUE JACQUES PREVERT,35047,BRUZ,public,114.4
2019-2020,RENNES,035,ILLE-ET-VILAINE,0352344H,ECOLE PRIMAIRE PRIVEE STE MARIE,35066,CHARTRES DE BRETAGNE,privé sous contrat,127.5
2019-2020,RENNES,035,ILLE-ET-VILAINE,0352377U,ECOLE PRIMAIRE PRIVEE STE ANNE ST JOSEPH,35210,PACE,privé sous contrat,130.1
2019-2020,RENNES,035,ILLE-ET-VILAINE,0352386D,ECOLE ELEMENTAIRE PUBLIQUE NOEL DU FAIL,35352,VERN SUR SEICHE,public,121.0
2019-2020,RENNES,035,ILLE-ET-VILAINE,0352485L,ECOLE PRIMAIRE PRIVEE L IMMACULEE,35196,MORDELLES,privé sous contrat,115.1
2019-2020,RENNES,035,ILLE-ET-VILAINE,0352487N,ECOLE PRIMAIRE PRIVEE STE MARIE,35240,LE RHEU,privé sous contrat,126.4
2019-2020,RENNES,035,ILLE-ET-VILAINE,0352520Z,ECOLE PRIMAIRE PUBLIQUE LES LANDES,35055,CHANTEPIE,public,114.8
2019-2020,RENNES,035,ILLE-ET-VILAINE,0352559S,ECOLE PRIMAIRE PUBLIQUE SONIA DELAUNAY,35238,RENNES,public,88.3
2019-2020,RENNES,035,ILLE-ET-VILAINE,0352810P,ECOLE PRIMAIRE PUBLIQUE ANDREE CHEDID,35238,RENNES,public,68.0
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350188P,ECOLE PRIMAIRE PUBLIQUE LE CHAT PERCHE,35206,NOYAL CHATILLON SUR SEICHE,public,111.5
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350192U,ECOLE ELEMENTAIRE PUBLIQUE DE CHAVAGNE,35076,CHAVAGNE,public,113.3
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350208L,ECOLE PRIMAIRE PUBLIQUE JACQUES YVES COUSTEAU,35088,CORPS NUDS,public,116.5
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350479F,ECOLE ELEMENTAIRE PUBLIQUE JACQUES PREVERT,35275,SAINT GILLES,public,118.8
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350594F,ECOLE ELEMENTAIRE PUBLIQUE CHAMPION DE CICE,35238,RENNES,public,98.5
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350638D,ECOLE ELEMENTAIRE PUBLIQUE CARLE BAHON,35238,RENNES,public,129.1
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351022W,ECOLE ELEMENTAIRE PUBLIQUE LA CHESNAYE,35196,MORDELLES,public,112.3
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351072A,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35150,LECOUSSE,privé sous contrat,106.3
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351214E,ECOLE PRIMAIRE PRIVEE LA PROVIDENCE CENTRE,35047,BRUZ,privé sous contrat,130.3
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351707R,ECOLE PRIMAIRE PRIVEE ST MARTIN,35204,NOUVOITOU,privé sous contrat,117.2
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351736X,ECOLE PRIMAIRE PRIVEE STE MARIE,35120,GEVEZE,privé sous contrat,133.7
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351749L,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35352,VERN SUR SEICHE,privé sous contrat,126.6
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351989X,ECOLE ELEMENTAIRE PUBLIQUE JULES ISAAC,35238,RENNES,public,117.3
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352140L,ECOLE ELEMENTAIRE PUBLIQUE JULES FERRY,35238,RENNES,public,99.7
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352207J,ECOLE ELEMENTAIRE PUBLIQUE JEAN MOULIN,35238,RENNES,public,84.2
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352209L,ECOLE PRIMAIRE PUBLIQUE TREGAIN,35238,RENNES,public,66.8
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352245A,ECOLE PRIMAIRE PRIVEE STE ANNE,35235,RANNEE,privé sous contrat,97.5
