SIREN,Nom ou raison sociale de l'entreprise,Famille juridique de l'entreprise,Code postal,Libellé de la commune de l'établissement,Code du département de l'établissement,Département de l'établissement,Région de l'établissement
844062398,JARDIN . ENFANT . ECOLOGIE,Associations,35170,BRUZ,35,ILLE ET VILAINE,BRETAGNE
895082659,CUMA LA RENNES DES FOINS,Coopératives,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
884183450,COLLECTIF IMPREVU.E.S,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
481794782,GAELIC FOOTBALL CLUB DE RENNES - AR GWAZI GOUEZ,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
839273430,MODALA,Associations,35510,CESSON-SEVIGNE,35,ILLE ET VILAINE,BRETAGNE
920337565,HAWAHIF,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
922307905,LE QUAI DE LA SEICHE,Associations,35230,NOYAL-CHATILLON-SUR-SEICHE,35,ILLE ET VILAINE,BRETAGNE
520507286,LE POLE BERT,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
907960033,ROSA ET SON COEUR DE BRIGADE,Associations,35700,RENNES,35,ILLE ET VILAINE,BRETAGNE
418213823,ASS RADIOLOGIE & IMAGERIE MEDICALE OUEST,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
753552603,ASSOCIATION SPORTIVE DU LYCEE EMILE ZOLA,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
424271534,MANIFESTE ANIMATION RECHERCHE ACTION,Associations,35740,PACE,35,ILLE ET VILAINE,BRETAGNE
418216131,RELAIS SERVICES,Associations,35830,BETTON,35,ILLE ET VILAINE,BRETAGNE
454025560,ASSOCIATION PHYLACTERE PRODUCTION,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
811231224,ASSOCIATION DES OENOPHILES GREGORIENS : CLUB FRANCOIS RABELAIS,Associations,35760,SAINT-GREGOIRE,35,ILLE ET VILAINE,BRETAGNE
478382930,CHUBRI,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
815268164,ASSOCIATION POUR L'AUTOPROMOTION DE LA FEMME EN MILIEU RURAL,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
537796435,ASSOCIATION DES JARDINIERS JACQUOLANDINS,Associations,35136,SAINT-JACQUES-DE-LA-LANDE,35,ILLE ET VILAINE,BRETAGNE
347621310,ASS VACANCES ET CHANT CHORAL,Associations,35200,RENNES,35,ILLE ET VILAINE,BRETAGNE
439552225,LA BOITE A DECO,Associations,35830,BETTON,35,ILLE ET VILAINE,BRETAGNE
814658944,IN DA PLACE RECORDZ,Associations,35700,RENNES,35,ILLE ET VILAINE,BRETAGNE
537797011,ASSOC VISEE CLIC,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
538592320,MY SHELTER,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
797742467,KOREA BREIZH,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
882010648,ENERGIE,Associations,35131,PONT-PEAN,35,ILLE ET VILAINE,BRETAGNE
451481642,ASSOCIATION LA P'TITE RECRE,Associations,35190,BECHEREL,35,ILLE ET VILAINE,BRETAGNE
920384781,ALBIN RENNES,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
829488006,ASSOCIATION DUM,Associations,35200,RENNES,35,ILLE ET VILAINE,BRETAGNE
399038553,COMITE JUMELAGE KALCHREUTH,Associations,35520,LA CHAPELLE-DES-FOUGERETZ,35,ILLE ET VILAINE,BRETAGNE
920386661,ZIVELI !,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
802384578,LE GRAND CHEMIN DE CHEVAIGNE,Associations,35250,CHEVAIGNE,35,ILLE ET VILAINE,BRETAGNE
842323040,ASSOCIATION PACHAMAMA SCIENCES PO RENNES,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
878826718,UNION DES CHERCHEURS ET DES ETUDIANTS CHINOIS A RENNES,Associations,35510,CESSON-SEVIGNE,35,ILLE ET VILAINE,BRETAGNE
531605541,DECLOITRES,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
423210608,LA MAISON EN VILLE,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
442364451,ASS CONSEIL LOCAL DE PARENTS D ELEVES,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
412826703,TRANSVACANCES,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
437766546,ASSOCIATION ECOLOTOUR,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
479248122,ASSOCIATION MAISON DU RONCERAY,Associations,35200,RENNES,35,ILLE ET VILAINE,BRETAGNE
822848347,ASSOCIATION DU RESTAURANT INTER-ENTREPRISES ALCYONE ASSOCIATION DU RIE ALCIYONE,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
794197400,COMITE LOCAL FCPE SUZANNE LACORE,Associations,35136,SAINT-JACQUES-DE-LA-LANDE,35,ILLE ET VILAINE,BRETAGNE
511377632,BAGAD DE RENNES,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
848110268,HARD SWEAT ACADEMIE,Associations,35850,GEVEZE,35,ILLE ET VILAINE,BRETAGNE
923416077,RAVAGES,Associations,35200,RENNES,35,ILLE ET VILAINE,BRETAGNE
910503390,BALLSIE,Associations,35590,L'HERMITAGE,35,ILLE ET VILAINE,BRETAGNE
923416556,LA VILAINE RADIO,Associations,35200,RENNES,35,ILLE ET VILAINE,BRETAGNE
538624867,THEATRE DE PAN,Associations,35136,SAINT-JACQUES-DE-LA-LANDE,35,ILLE ET VILAINE,BRETAGNE
479990822,ASS COM SPORTS LOISIRS CHAPELLE FOUG,Associations,35520,LA CHAPELLE-DES-FOUGERETZ,35,ILLE ET VILAINE,BRETAGNE
884284282,LA SAUCE 42,Associations,35135,CHANTEPIE,35,ILLE ET VILAINE,BRETAGNE
479991614,ASSOCIATION CHRETIENNE DE SOUTIEN A L 'ENFANCE,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
522837533,COMPAGNIE BRUITS ET HISTOIRES DU MONDE,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
799530647,LUMIERES D'OMBRES,Associations,35136,SAINT-JACQUES-DE-LA-LANDE,35,ILLE ET VILAINE,BRETAGNE
909308744,VOLT'ILLE,Associations,35250,CHEVAIGNE,35,ILLE ET VILAINE,BRETAGNE
453018129,ASSOCIATION INNOV'ATLANTIC,Associations,35700,RENNES,35,ILLE ET VILAINE,BRETAGNE
492846860,US BOURGBARRE BASKET,Associations,35230,BOURGBARRE,35,ILLE ET VILAINE,BRETAGNE
838417004,COMME CA,Associations,35740,PACE,35,ILLE ET VILAINE,BRETAGNE
452421274,EVERYDAY PEOPLE,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
910509082,VILAJOA,Associations,35132,VEZIN-LE-COQUET,35,ILLE ET VILAINE,BRETAGNE
920414166,IMAGE FABRIK ASSOCIATION,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
797743721,LA PIE GOURMANDE,Associations,35135,CHANTEPIE,35,ILLE ET VILAINE,BRETAGNE
838674877,L INTERVALLE YOGA,Associations,35510,CESSON-SEVIGNE,35,ILLE ET VILAINE,BRETAGNE
