date_mesure,geocode_commune,libelle_commune,type_transport_en_commun,valeur
2025-01-01T00:00:00.000,35334,Thorigné-Fouillard,tramway,0.0
2025-01-01T00:00:00.000,35235,Rannée,train,0.0
2025-01-01T00:00:00.000,35132,Hirel,train,0.0
2025-01-01T00:00:00.000,35055,Chantepie,tramway,0.0
2025-01-01T00:00:00.000,35190,Monthault,train,0.0
2025-01-01T00:00:00.000,35058,La Chapelle-Chaussée,tramway,0.0
2025-01-01T00:00:00.000,35088,Corps-Nuds,tramway,0.0
2025-01-01T00:00:00.000,35160,Loutehel,tramway,0.0
2025-01-01T00:00:00.000,35139,Laillé,train,0.0
2025-01-01T00:00:00.000,35135,Irodouër,tramway,0.0
2025-01-01T00:00:00.000,35047,Bruz,train,2.0
2025-01-01T00:00:00.000,35136,Janzé,train,1.0
2025-01-01T00:00:00.000,35066,Chartres-de-Bretagne,train,0.0
2025-01-01T00:00:00.000,35066,Chartres-de-Bretagne,tramway,0.0
2025-01-01T00:00:00.000,35235,Rannée,tramway,0.0
2025-01-01T00:00:00.000,35200,Moutiers,tramway,0.0
2025-01-01T00:00:00.000,35131,L'Hermitage,tramway,0.0
2025-01-01T00:00:00.000,35076,Chavagne,train,0.0
2025-01-01T00:00:00.000,35363,Pont-Péan,train,0.0
2025-01-01T00:00:00.000,35032,Bourgbarré,train,0.0
2025-01-01T00:00:00.000,35120,Gévezé,train,0.0
2025-01-01T00:00:00.000,35039,Brécé,tramway,0.0
2025-01-01T00:00:00.000,35059,La Chapelle-des-Fougeretz,train,0.0
2025-01-01T00:00:00.000,35001,Acigné,train,0.0
2025-01-01T00:00:00.000,35079,Chevaigné,tramway,0.0
2025-01-01T00:00:00.000,35278,Saint-Grégoire,train,0.0
2025-01-01T00:00:00.000,35144,Langan,tramway,0.0
2025-01-01T00:00:00.000,35245,Romillé,train,0.0
2025-01-01T00:00:00.000,35352,Vern-sur-Seiche,tramway,0.0
2025-01-01T00:00:00.000,35024,Betton,tramway,0.0
2025-01-01T00:00:00.000,35180,Miniac-sous-Bécherel,train,0.0
2025-01-01T00:00:00.000,35080,Cintré,tramway,0.0
2025-01-01T00:00:00.000,35170,Mecé,tramway,0.0
2025-01-01T00:00:00.000,35139,Laillé,tramway,0.0
2025-01-01T00:00:00.000,35196,Mordelles,train,0.0
2025-01-01T00:00:00.000,35170,Mecé,train,0.0
2025-01-01T00:00:00.000,35216,Parthenay-de-Bretagne,train,0.0
2025-01-01T00:00:00.000,35245,Romillé,tramway,0.0
2025-01-01T00:00:00.000,35047,Bruz,tramway,0.0
2025-01-01T00:00:00.000,35351,Le Verger,train,0.0
2025-01-01T00:00:00.000,35051,Cesson-Sévigné,tramway,0.0
2025-01-01T00:00:00.000,35204,Nouvoitou,tramway,0.0
2025-01-01T00:00:00.000,35310,Saint-Sauveur-des-Landes,tramway,0.0
2025-01-01T00:00:00.000,35189,Montgermont,train,0.0
2025-01-01T00:00:00.000,35275,Saint-Gilles,train,0.0
2025-01-01T00:00:00.000,35080,Cintré,train,0.0
2025-01-01T00:00:00.000,35059,La Chapelle-des-Fougeretz,tramway,0.0
2025-01-01T00:00:00.000,35081,Clayes,tramway,0.0
2025-01-01T00:00:00.000,35250,Saint-Armel,tramway,0.0
2025-01-01T00:00:00.000,35210,Pacé,tramway,0.0
2025-01-01T00:00:00.000,35353,Vezin-le-Coquet,tramway,0.0
2025-01-01T00:00:00.000,35230,Poilley,train,0.0
2025-01-01T00:00:00.000,35275,Saint-Gilles,tramway,0.0
2025-01-01T00:00:00.000,35278,Saint-Grégoire,tramway,0.0
2025-01-01T00:00:00.000,35120,Gévezé,tramway,0.0
2025-01-01T00:00:00.000,35022,Bécherel,train,0.0
2025-01-01T00:00:00.000,35150,Lécousse,train,0.0
2025-01-01T00:00:00.000,35200,Moutiers,train,0.0
2025-01-01T00:00:00.000,35266,Saint-Erblon,train,0.0
2025-01-01T00:00:00.000,35189,Montgermont,tramway,0.0
2025-01-01T00:00:00.000,35136,Janzé,tramway,0.0
2025-01-01T00:00:00.000,35144,Langan,train,0.0
2025-01-01T00:00:00.000,35352,Vern-sur-Seiche,train,1.0
2025-01-01T00:00:00.000,35160,Loutehel,train,0.0
2025-01-01T00:00:00.000,35250,Saint-Armel,train,1.0
2025-01-01T00:00:00.000,35088,Corps-Nuds,train,1.0
2025-01-01T00:00:00.000,35065,La Chapelle-Thouarault,tramway,0.0
2025-01-01T00:00:00.000,35206,Noyal-Châtillon-sur-Seiche,train,0.0
2025-01-01T00:00:00.000,35310,Saint-Sauveur-des-Landes,train,0.0
2025-01-01T00:00:00.000,35315,Saint-Sulpice-la-Forêt,train,0.0
2025-01-01T00:00:00.000,35001,Acigné,tramway,0.0
2025-01-01T00:00:00.000,35131,L'Hermitage,train,1.0
2025-01-01T00:00:00.000,35065,La Chapelle-Thouarault,train,0.0
2025-01-01T00:00:00.000,35281,Saint-Jacques-de-la-Lande,tramway,0.0
2025-01-01T00:00:00.000,35216,Parthenay-de-Bretagne,tramway,0.0
2025-01-01T00:00:00.000,35081,Clayes,train,0.0
2025-01-01T00:00:00.000,35135,Irodouër,train,0.0
2025-01-01T00:00:00.000,35051,Cesson-Sévigné,train,1.0
2025-01-01T00:00:00.000,35206,Noyal-Châtillon-sur-Seiche,tramway,0.0
2025-01-01T00:00:00.000,35240,Le Rheu,tramway,0.0
2025-01-01T00:00:00.000,35058,La Chapelle-Chaussée,train,0.0
2025-01-01T00:00:00.000,35022,Bécherel,tramway,0.0
2025-01-01T00:00:00.000,35039,Brécé,train,0.0
2025-01-01T00:00:00.000,35196,Mordelles,tramway,0.0
2025-01-01T00:00:00.000,35351,Le Verger,tramway,0.0
2025-01-01T00:00:00.000,35240,Le Rheu,train,0.0
2025-01-01T00:00:00.000,35208,Orgères,tramway,0.0
2025-01-01T00:00:00.000,35238,Rennes,train,3.0
2025-01-01T00:00:00.000,35180,Miniac-sous-Bécherel,tramway,0.0
2025-01-01T00:00:00.000,35150,Lécousse,tramway,0.0
2025-01-01T00:00:00.000,35334,Thorigné-Fouillard,train,0.0
2025-01-01T00:00:00.000,35238,Rennes,tramway,0.0
2025-01-01T00:00:00.000,35353,Vezin-le-Coquet,train,0.0
2025-01-01T00:00:00.000,35032,Bourgbarré,tramway,0.0
2025-01-01T00:00:00.000,35266,Saint-Erblon,tramway,0.0
2025-01-01T00:00:00.000,35315,Saint-Sulpice-la-Forêt,tramway,0.0
2025-01-01T00:00:00.000,35190,Monthault,tramway,0.0
2025-01-01T00:00:00.000,35076,Chavagne,tramway,0.0
2025-01-01T00:00:00.000,35204,Nouvoitou,train,0.0
2025-01-01T00:00:00.000,35079,Chevaigné,train,1.0
2025-01-01T00:00:00.000,35055,Chantepie,train,0.0
2025-01-01T00:00:00.000,35208,Orgères,train,0.0
2025-01-01T00:00:00.000,35363,Pont-Péan,tramway,0.0
2025-01-01T00:00:00.000,35230,Poilley,tramway,0.0
2025-01-01T00:00:00.000,35024,Betton,train,1.0
2025-01-01T00:00:00.000,35281,Saint-Jacques-de-la-Lande,train,1.0
