date_mesure,geocode_commune,libelle_commune,type_eau,usage,valeur
2008-01-01,35079,Chevaigné,eaux douces souterraines,eau potable,0.0
2008-01-01,35079,Chevaigné,eaux douces souterraines,industrie et autres usages économiques,0.0
2008-01-01,35079,Chevaigné,eaux douces souterraines,refroidissement des centrales électriques,0.0
2008-01-01,35079,Chevaigné,eaux douces superficielles,agriculture,0.0
2008-01-01,35079,Chevaigné,eaux douces superficielles,eau potable,0.0
2008-01-01,35079,Chevaigné,eaux douces superficielles,industrie et autres usages économiques,0.0
2008-01-01,35079,Chevaigné,eaux douces superficielles,refroidissement des centrales électriques,0.0
2008-01-01,35079,Chevaigné,eaux saumâtres,refroidissement des centrales électriques,0.0
2008-01-01,35080,Cintré,eaux douces souterraines,agriculture,0.0
2008-01-01,35080,Cintré,eaux douces souterraines,eau potable,0.0
2008-01-01,35080,Cintré,eaux douces souterraines,industrie et autres usages économiques,0.0
2008-01-01,35080,Cintré,eaux douces souterraines,refroidissement des centrales électriques,0.0
2008-01-01,35080,Cintré,eaux douces superficielles,agriculture,0.0
2008-01-01,35080,Cintré,eaux douces superficielles,eau potable,0.0
2008-01-01,35080,Cintré,eaux douces superficielles,industrie et autres usages économiques,0.0
2008-01-01,35080,Cintré,eaux douces superficielles,refroidissement des centrales électriques,0.0
2008-01-01,35080,Cintré,eaux saumâtres,refroidissement des centrales électriques,0.0
2008-01-01,35081,Clayes,eaux douces souterraines,agriculture,0.0
2008-01-01,35081,Clayes,eaux douces souterraines,eau potable,0.0
2008-01-01,35081,Clayes,eaux douces souterraines,industrie et autres usages économiques,0.0
2008-01-01,35081,Clayes,eaux douces souterraines,refroidissement des centrales électriques,0.0
2008-01-01,35081,Clayes,eaux douces superficielles,agriculture,0.0
2008-01-01,35081,Clayes,eaux douces superficielles,eau potable,0.0
2008-01-01,35081,Clayes,eaux douces superficielles,industrie et autres usages économiques,0.0
2008-01-01,35081,Clayes,eaux douces superficielles,refroidissement des centrales électriques,0.0
2008-01-01,35081,Clayes,eaux saumâtres,refroidissement des centrales électriques,0.0
2008-01-01,35088,Corps-Nuds,eaux douces souterraines,agriculture,0.0
2008-01-01,35088,Corps-Nuds,eaux douces souterraines,eau potable,0.0
2008-01-01,35088,Corps-Nuds,eaux douces souterraines,industrie et autres usages économiques,0.0
2008-01-01,35088,Corps-Nuds,eaux douces souterraines,refroidissement des centrales électriques,0.0
2008-01-01,35088,Corps-Nuds,eaux douces superficielles,agriculture,0.0
2008-01-01,35088,Corps-Nuds,eaux douces superficielles,eau potable,0.0
2008-01-01,35088,Corps-Nuds,eaux douces superficielles,industrie et autres usages économiques,0.0
2008-01-01,35088,Corps-Nuds,eaux douces superficielles,refroidissement des centrales électriques,0.0
2008-01-01,35088,Corps-Nuds,eaux saumâtres,refroidissement des centrales électriques,0.0
2008-01-01,35120,Gévezé,eaux douces souterraines,agriculture,2900.0
2008-01-01,35120,Gévezé,eaux douces souterraines,eau potable,0.0
2008-01-01,35120,Gévezé,eaux douces souterraines,industrie et autres usages économiques,0.0
2008-01-01,35120,Gévezé,eaux douces souterraines,refroidissement des centrales électriques,0.0
2008-01-01,35120,Gévezé,eaux douces superficielles,agriculture,0.0
2008-01-01,35120,Gévezé,eaux douces superficielles,eau potable,0.0
2008-01-01,35120,Gévezé,eaux douces superficielles,industrie et autres usages économiques,0.0
2008-01-01,35120,Gévezé,eaux douces superficielles,refroidissement des centrales électriques,0.0
2008-01-01,35120,Gévezé,eaux saumâtres,refroidissement des centrales électriques,0.0
2008-01-01,35131,L'Hermitage,eaux douces souterraines,agriculture,4000.0
2008-01-01,35131,L'Hermitage,eaux douces souterraines,eau potable,0.0
2008-01-01,35131,L'Hermitage,eaux douces souterraines,industrie et autres usages économiques,0.0
2008-01-01,35131,L'Hermitage,eaux douces souterraines,refroidissement des centrales électriques,0.0
2008-01-01,35131,L'Hermitage,eaux douces superficielles,agriculture,0.0
2008-01-01,35131,L'Hermitage,eaux douces superficielles,eau potable,0.0
2008-01-01,35131,L'Hermitage,eaux douces superficielles,industrie et autres usages économiques,0.0
2008-01-01,35131,L'Hermitage,eaux douces superficielles,refroidissement des centrales électriques,0.0
2008-01-01,35131,L'Hermitage,eaux saumâtres,refroidissement des centrales électriques,0.0
2008-01-01,35132,Hirel,eaux douces souterraines,agriculture,0.0
2008-01-01,35132,Hirel,eaux douces souterraines,eau potable,0.0
2008-01-01,35132,Hirel,eaux douces souterraines,industrie et autres usages économiques,0.0
2008-01-01,35132,Hirel,eaux douces souterraines,refroidissement des centrales électriques,0.0
2008-01-01,35132,Hirel,eaux douces superficielles,agriculture,0.0
2008-01-01,35132,Hirel,eaux douces superficielles,eau potable,0.0
