Barreau,avNom,avPrenom,cbRaisonSociale,cbSiretSiren,cbAdresse1,cbAdresse2,cbCp,cbVille,spLibelle1,spLibelle2,spLibelle3,acDateSerment,AvLang
RENNES,CAHU,Tania,CAHU TANIA,890992084,15 rue du Puits Mauger,,35000,RENNES,,,,,"Allemand,Anglais,Français,Langue des signes française"
RENNES,CAILLERE,Christophe,KERLEGIS,819349705,Immeuble EQUINOXE,1 rue Robert Duvivier,35000,RENNES,Droit immobilier,,,,"Anglais,Français"
RENNES,CALLOT,Laura,CALLOT LAURA,899824031,78 A rue Saint-Hélier,,35000,RENNES,,,,,"Anglais,Français"
RENNES,CANTIN-NYITRAY,Lauranne,CANTIN-NYITRAY LAURANNE,808991905,23 Rue de la Monnaie,,35000,RENNES,,,,,Français
RENNES,CARMES,Anne,CARMES ANNE,501450258,12-14 rue Claude Bernard,,35000,RENNES,,,,,"Anglais,Français"
RENNES,CARO,Anne-Marie,CARO ANNE-MARIE,982999922,40 boulevard de la Tour d'Auvergne,,35000,RENNES,,,,,Français
RENNES,CARO,Delphine,CARO DELPHINE,510003759,1 place Maréchal Juin,,35000,RENNES,Droit pénal,,,,Français
RENNES,CASSETTE,Rémi,CASSETTE RÉMI,881183339,Centre d'affaires les Trois Soleils,20 rue d'Isly,35000,RENNES,,,,,"Anglais,Français"
RENNES,CASTEL-PAGÈS,Valérie,CASTEL-PAGÈS VALÉRIE,532883394,39 boulevard de la Liberté,,35000,RENNES,,,,,Français
RENNES,CASTRES,Emmanuel,CASTRES EMMANUEL,793606781,9 place Général Koënig,,35000,RENNES,,,,,Français
RENNES,CASTRES,Hugo,HUGO CASTRES,777744053,2 rue d'Orléans,,35000,RENNES,,,,,Français
RENNES,CELERIER,Isabelle,CELERIER,440189637,4 Bd Saint Conwoion,,35000,RENNES,"Droit de la famille, des personnes et de leur patrimoine",Droit des assurances,,,Français
RENNES,CERAN,Mikail,CERAN MIKAIL,849268297,20 rue Jules Vallès,,35000,RENNES,,,,,Français
