UAI,Libellé,Adresse,Enseignements,Langues,Code departement,Département,Code region,Région,Code academie,Académie,Commune,Type d'établissement,Position,Secteur de l'établissement
0352959B,Collège Marie Curie,5 rue de la Buterne,LV2,Espagnol,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Laille,Collège,"47.98208062263773, -1.7140524721419692",Public
0350965J,Collège le Landry,29 avenue de Cork,LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Collège,"48.09753788927972, -1.6489805465114107",Public
0350710G,Lycée Chateaubriand,136 boulevard de Vitré,LV1,Allemand,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.1233633632789, -1.6494796949846533",Public
0350024L,Lycée Émile Zola,2 avenue Janvier,LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.106629422819154, -1.6731696810760333",Public
0350024L,Lycée Émile Zola,2 avenue Janvier,LV2,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.106629422819154, -1.6731696810760333",Public
0350024L,Lycée Émile Zola,2 avenue Janvier,LV2,Espagnol,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.106629422819154, -1.6731696810760333",Public
0352304P,Lycée Sévigné,2 rue de la Chalotais,LCA,Latin,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Cesson-Sévigné,Lycée,"48.1160991960509, -1.5991704230501025",Public
0351907H,Lycée René Descartes,14 Chemin de Ronde,LV2,Allemand,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.08839581314323, -1.642879342483228",Public
0351907H,Lycée René Descartes,14 Chemin de Ronde,LV2,Italien,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.08839581314323, -1.642879342483228",Public
0351907H,Lycée René Descartes,14 Chemin de Ronde,LV2,Japonais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.08839581314323, -1.642879342483228",Public
0350777E,Lycée Saint-Martin - quartier Sainte-Anne,31 rue d'Antrain,LCA,Latin,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.1166293748915, -1.6791295723203956",Privé
0350777E,Lycée Saint-Martin - quartier Sainte-Anne,31 rue d'Antrain,LV2,Allemand,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.1166293748915, -1.6791295723203956",Privé
0350777E,Lycée Saint-Martin - quartier Sainte-Anne,31 rue d'Antrain,LV2,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.1166293748915, -1.6791295723203956",Privé
0350793X,Lycée polyvalent Frédéric Ozanam,99 rue de la Chalotais,LCA,Latin,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Cesson-Sévigné,Lycée,"48.12999050182102, -1.598099543380704",Privé
0350801F,Lycée Jean-Paul II,2 rue Antoine de St Exupéry,LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Saint-Grégoire,Lycée,"48.15986449029303, -1.6749995885276903",Privé
0350801F,Lycée Jean-Paul II,2 rue Antoine de St Exupéry,LV2,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Saint-Grégoire,Lycée,"48.15986449029303, -1.6749995885276903",Privé
0350801F,Lycée Jean-Paul II,2 rue Antoine de St Exupéry,LV2,Italien,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Saint-Grégoire,Lycée,"48.15986449029303, -1.6749995885276903",Privé
0350029S,Lycée Joliot Curie,144 boulevard de Vitré,LCA,Latin,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.125687227428486, -1.6481306020702366",Public
0350029S,Lycée Joliot Curie,144 boulevard de Vitré,LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.125687227428486, -1.6481306020702366",Public
0350029S,Lycée Joliot Curie,144 boulevard de Vitré,LV2,Espagnol,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.125687227428486, -1.6481306020702366",Public
0352009U,Lycée Victor et Hélène Basch,15 avenue Charles Tillon,LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.126584334179064, -1.6893397892166615",Public
0352009U,Lycée Victor et Hélène Basch,15 avenue Charles Tillon,LV2,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.126584334179064, -1.6893397892166615",Public
0350778F,Lycée la Mennais,18 boulevard Painlevé,LV2,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.122379250771374, -1.6589194034352441",Privé
0351047Y,Lycée Saint-Exupéry de Rennes - The Land,Rue Fernand Robert,LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.131899007420806, -1.7111699381214776",Privé
0351047Y,Lycée Saint-Exupéry de Rennes - The Land,Rue Fernand Robert,LV2,Espagnol,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.131899007420806, -1.7111699381214776",Privé
0350030T,Lycée polyvalent Pierre Mendès France,34 rue Bahon Rault,LV1,Allemand,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.13456382981909, -1.6824696947334972",Public
0350030T,Lycée polyvalent Pierre Mendès France,34 rue Bahon Rault,LV2,Chinois,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.13456382981909, -1.6824696947334972",Public
0351847T,Collège Georges Brassens,Rue Georges Brassens,LV2,Espagnol,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Le Rheu,Collège,"48.099666673032004, -1.7998499599513993",Public
0350797B,Lycée polyvalent Jeanne d'Arc,61 rue la Fontaine,LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.11924524245059, -1.6540806074427075",Privé
0350797B,Lycée polyvalent Jeanne d'Arc,61 rue la Fontaine,LV2,Espagnol,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.11924524245059, -1.6540806074427075",Privé
0352867B,Lycée général Théodore Monod,55 avenue de la Bouvardière,LV1,Allemand,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Le Rheu,Lycée,"48.09957406339709, -1.8084604571139695",Public
0352867B,Lycée général Théodore Monod,55 avenue de la Bouvardière,LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Le Rheu,Lycée,"48.09957406339709, -1.8084604571139695",Public
0352867B,Lycée général Théodore Monod,55 avenue de la Bouvardière,LV2,Allemand,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Le Rheu,Lycée,"48.09957406339709, -1.8084604571139695",Public
0352867B,Lycée général Théodore Monod,55 avenue de la Bouvardière,LV2,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Le Rheu,Lycée,"48.09957406339709, -1.8084604571139695",Public
0350026N,Lycée Jean Macé,10 rue Jean Macé,LV2,Breton,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.11708078639708, -1.6702996079259038",Public
0350801F,Lycée Jean-Paul II,2 rue Antoine de St Exupéry,LV1,Allemand,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Saint-Grégoire,Lycée,"48.15986449029303, -1.6749995885276903",Privé
0350029S,Lycée Joliot Curie,144 boulevard de Vitré,LV2,Allemand,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.125687227428486, -1.6481306020702366",Public
0350783L,Lycée Saint-Martin - quartier Sainte-Geneviève,14 D rue Ginguené,LV2,Allemand,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.099055736554845, -1.6854604057056215",Privé
0350783L,Lycée Saint-Martin - quartier Sainte-Geneviève,14 D rue Ginguené,LV2,Italien,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.099055736554845, -1.6854604057056215",Privé
0352009U,Lycée Victor et Hélène Basch,15 avenue Charles Tillon,LV2,Italien,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.126584334179064, -1.6893397892166615",Public
0350778F,Lycée la Mennais,18 boulevard Painlevé,LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.122379250771374, -1.6589194034352441",Privé
0350778F,Lycée la Mennais,18 boulevard Painlevé,LV2,Italien,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.122379250771374, -1.6589194034352441",Privé
0350795Z,Lycée de La Salle,5 rue de la Motte-Brûlon,LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.125360297739775, -1.6686393691236225",Privé
0350795Z,Lycée de La Salle,5 rue de la Motte-Brûlon,LV2,Italien,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.125360297739775, -1.6686393691236225",Privé
0350028R,Lycée Bréquigny,7 avenue Georges Graff,LV2,Espagnol,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.08457249925098, -1.688419551002567",Public
0350028R,Lycée Bréquigny,7 avenue Georges Graff,LV2,Italien,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.08457249925098, -1.688419551002567",Public
0352341E,Lycée Saint-Joseph,3 avenue Alphonse Legault,LCA,Grec,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Bruz,Lycée,"48.02503125665702, -1.7455206077313452",Privé
