UAI,Libellé,Adresse,Enseignements,Langues,Code departement,Département,Code region,Région,Code academie,Académie,Commune,Type d'établissement,Position,Secteur de l'établissement
0350057X,Collège Jacques Prévert,Rue René Cutte,LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Romillé,Collège,"48.219106849799665, -1.894700191160429",Public
0350057X,Collège Jacques Prévert,Rue René Cutte,LV2,Allemand,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Romillé,Collège,"48.219106849799665, -1.894700191160429",Public
0351638R,Collège Anne de Bretagne,15 rue Martenot,LV2,Allemand,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Collège,"48.11327142418572, -1.6719805345060357",Public
0350710G,Lycée Chateaubriand,136 boulevard de Vitré,LCA,Grec,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.1233633632789, -1.6494796949846533",Public
0350710G,Lycée Chateaubriand,136 boulevard de Vitré,LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.1233633632789, -1.6494796949846533",Public
0350710G,Lycée Chateaubriand,136 boulevard de Vitré,LV2,Arabe,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.1233633632789, -1.6494796949846533",Public
0350024L,Lycée Émile Zola,2 avenue Janvier,LCA,Latin,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.106629422819154, -1.6731696810760333",Public
0352304P,Lycée Sévigné,2 rue de la Chalotais,LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Cesson-Sévigné,Lycée,"48.1160991960509, -1.5991704230501025",Public
0352304P,Lycée Sévigné,2 rue de la Chalotais,LV2,Allemand,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Cesson-Sévigné,Lycée,"48.1160991960509, -1.5991704230501025",Public
0352304P,Lycée Sévigné,2 rue de la Chalotais,LV2,Italien,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Cesson-Sévigné,Lycée,"48.1160991960509, -1.5991704230501025",Public
0352274G,Collège Françoise Dolto,53 avenue le Brix,LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Pacé,Collège,"48.15269869519049, -1.7712695048918636",Public
0352319F,Collège Saint-Gabriel,59 avenue le Brix,LV2,Espagnol,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Pacé,Collège,"48.15345837379055, -1.7723000917146485",Privé
0350835T,Collège La Tour d'Auvergne La Salle,6 rue de la Santé,LV2,Chinois,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Collège,"48.10870279883151, -1.6857804410226962",Privé
0352069J,Collège Saint-Vincent Providence,57 rue de Paris,LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Collège,"48.11363570912166, -1.6651100452186143",Privé
0350033W,Collège les Ormeaux,30 rue des Ormeaux,LV2,Espagnol,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Collège,"48.098650278359116, -1.6697994008226291",Public
0350801F,Lycée Jean-Paul II,2 rue Antoine de St Exupéry,LCA,Latin,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Saint-Grégoire,Lycée,"48.15986449029303, -1.6749995885276903",Privé
0350029S,Lycée Joliot Curie,144 boulevard de Vitré,LV1,Allemand,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.125687227428486, -1.6481306020702366",Public
0350029S,Lycée Joliot Curie,144 boulevard de Vitré,LV2,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.125687227428486, -1.6481306020702366",Public
0350783L,Lycée Saint-Martin - quartier Sainte-Geneviève,14 D rue Ginguené,LCA,Latin,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.099055736554845, -1.6854604057056215",Privé
0350778F,Lycée la Mennais,18 boulevard Painlevé,LCA,Latin,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.122379250771374, -1.6589194034352441",Privé
0350778F,Lycée la Mennais,18 boulevard Painlevé,LV1,Allemand,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.122379250771374, -1.6589194034352441",Privé
0350778F,Lycée la Mennais,18 boulevard Painlevé,LV2,Allemand,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.122379250771374, -1.6589194034352441",Privé
0350030T,Lycée polyvalent Pierre Mendès France,34 rue Bahon Rault,LV2,Espagnol,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.13456382981909, -1.6824696947334972",Public
0350795Z,Lycée de La Salle,5 rue de la Motte-Brûlon,LV2,Allemand,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.125360297739775, -1.6686393691236225",Privé
0350700W,Lycée agricole Théodore Monod,55 avenue de la Bouvardière,LV2,Espagnol,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Le Rheu,Lycée,"48.09938946437969, -1.8092498270455981",Public
0350700W,Lycée agricole Théodore Monod,55 avenue de la Bouvardière,LV2,Italien,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Le Rheu,Lycée,"48.09938946437969, -1.8092498270455981",Public
0352686E,Lycée Anita Conti,Esplanade Anita Conti,LCA,Latin,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Bruz,Lycée,"48.03334269031083, -1.733614089815954",Public
0352686E,Lycée Anita Conti,Esplanade Anita Conti,LV2,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Bruz,Lycée,"48.03334269031083, -1.733614089815954",Public
0352686E,Lycée Anita Conti,Esplanade Anita Conti,LV2,Italien,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Bruz,Lycée,"48.03334269031083, -1.733614089815954",Public
0350028R,Lycée Bréquigny,7 avenue Georges Graff,LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.08457249925098, -1.688419551002567",Public
0352341E,Lycée Saint-Joseph,3 avenue Alphonse Legault,LV1,Allemand,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Bruz,Lycée,"48.02503125665702, -1.7455206077313452",Privé
