Rentrée scolaire,Académie,Code du département,Département,UAI,Nom de l'établissment,Code INSEE de la commune,Nom de la commune,Secteur,Type de lycée,IPS voie GT,IPS voie PRO,IPS Ensemble GT-PRO,Ecart-type de l'IPS voie GT,Ecart-type de l'IPS voie PRO
2021-2022,RENNES,35,ILLE-ET-VILAINE,0350778F,LYCEE GENERAL PRIVE ASSOMPTION,35238,RENNES,privé sous contrat,LEGT,136.8,,136.8,30.8,
2021-2022,RENNES,35,ILLE-ET-VILAINE,0351878B,LYCEE PROFESSIONNEL COETLOGON,35238,RENNES,public,LP,,83.8,83.8,,31.5
2021-2022,RENNES,35,ILLE-ET-VILAINE,0352867B,SGT EDUCATION NATIONALE DU LYCEE AGRICOLE THEODORE MONOD,35240,LE RHEU,public,LEGT,129.3,,129.3,32.2,
2020-2021,RENNES,35,ILLE-ET-VILAINE,0350710G,LYCEE GENERAL FRANCOIS RENE DE CHATEAUBRIAND,35238,RENNES,public,LPO,139.2,105.0,138.8,32.2,34.2
2018-2019,RENNES,35,ILLE-ET-VILAINE,0350030T,LYCEE POLYVALENT PIERRE MENDES FRANCE LYCEE DES METIERS DU BATIMENT ET DE L ENERGETIQUE,35238,RENNES,public,LPO,121.6,88.4,104.9,,
2018-2019,RENNES,35,ILLE-ET-VILAINE,0350059Z,LYCEE PROFESSIONNEL BREQUIGNY,35238,RENNES,public,LP,,90.4,90.4,,
2018-2019,RENNES,35,ILLE-ET-VILAINE,0350801F,LYCEE GENERAL PRIVE JEAN PAUL II,35278,SAINT GREGOIRE,privé sous contrat,LEGT,135.6,,135.6,,
2018-2019,RENNES,35,ILLE-ET-VILAINE,0352686E,LYCEE GENERAL ET TECHNOLOGIQUE ANITA CONTI,35047,BRUZ,public,LEGT,123.9,,123.9,,
2018-2019,RENNES,35,ILLE-ET-VILAINE,0352867B,SGT EDUCATION NATIONALE DU LYCEE AGRICOLE THEODORE MONOD,35240,LE RHEU,public,LEGT,125.3,,125.3,,
2018-2019,RENNES,35,ILLE-ET-VILAINE,0351907H,LYCEE GENERAL ET TECHNOLOGIQUE RENE DESCARTES,35238,RENNES,public,LEGT,116.5,,116.5,,
2018-2019,RENNES,35,ILLE-ET-VILAINE,0352304P,LYCEE GENERAL ET TECHNOLOGIQUE SEVIGNE,35051,CESSON SEVIGNE,public,LEGT,134.8,,134.8,,
2019-2020,RENNES,35,ILLE-ET-VILAINE,0350030T,LYCEE POLYVALENT PIERRE MENDES FRANCE LYCEE DES METIERS DU BATIMENT ET DE L ENERGETIQUE,35238,RENNES,public,LPO,119.9,86.8,102.7,36.5,31.3
2019-2020,RENNES,35,ILLE-ET-VILAINE,0350059Z,LYCEE PROFESSIONNEL BREQUIGNY,35238,RENNES,public,LP,,88.7,88.7,,31.2
2019-2020,RENNES,35,ILLE-ET-VILAINE,0350710G,LYCEE GENERAL FRANCOIS RENE DE CHATEAUBRIAND,35238,RENNES,public,LPO,138.8,97.6,138.3,31.9,25.9
2019-2020,RENNES,35,ILLE-ET-VILAINE,0350778F,LYCEE GENERAL PRIVE ASSOMPTION,35238,RENNES,privé sous contrat,LEGT,133.8,,133.8,31.2,
2019-2020,RENNES,35,ILLE-ET-VILAINE,0350797B,LYCEE POLYVALENT PRIVE JEANNE D ARC LYCEE DES METIERS DU TOURISME LYCEE DES METIERS DU SECTEUR SANITAIRE ET DE L INTERVENTION SOCIALE,35238,RENNES,privé sous contrat,LPO,118.1,88.7,105.1,36.3,35.0
2019-2020,RENNES,35,ILLE-ET-VILAINE,0351878B,LYCEE PROFESSIONNEL COETLOGON,35238,RENNES,public,LP,,83.1,83.1,,30.6
2020-2021,RENNES,35,ILLE-ET-VILAINE,0350024L,LYCEE GENERAL EMILE ZOLA,35238,RENNES,public,LEGT,134.6,,134.6,35.3,
2020-2021,RENNES,35,ILLE-ET-VILAINE,0350029S,LYCEE GENERAL ET TECHNOLOGIQUE JOLIOT CURIE,35238,RENNES,public,LEGT,121.0,,121.0,34.9,
2020-2021,RENNES,35,ILLE-ET-VILAINE,0350032V,LYCEE PROFESSIONNEL LOUIS GUILLOUX LYCEE DES METIERS DE L HOTELLERIE RESTAURATION LYCEE DES METIERS DE LA MODE,35238,RENNES,public,LP,,90.1,90.1,,32.7
2020-2021,RENNES,35,ILLE-ET-VILAINE,0350778F,LYCEE GENERAL PRIVE ASSOMPTION,35238,RENNES,privé sous contrat,LEGT,136.0,,136.0,30.5,
2020-2021,RENNES,35,ILLE-ET-VILAINE,0351907H,LYCEE GENERAL ET TECHNOLOGIQUE RENE DESCARTES,35238,RENNES,public,LEGT,115.6,,115.6,39.1,
2020-2021,RENNES,35,ILLE-ET-VILAINE,0352341E,LYCEE GENERAL PRIVE SAINT JOSEPH,35047,BRUZ,privé sous contrat,LEGT,135.4,,135.4,30.2,
2021-2022,RENNES,35,ILLE-ET-VILAINE,0350024L,LYCEE GENERAL EMILE ZOLA,35238,RENNES,public,LEGT,134.4,,134.4,35.8,
2021-2022,RENNES,35,ILLE-ET-VILAINE,0350059Z,LYCEE PROFESSIONNEL BREQUIGNY,35238,RENNES,public,LP,,81.5,81.5,,28.1
2021-2022,RENNES,35,ILLE-ET-VILAINE,0350710G,LYCEE GENERAL FRANCOIS RENE DE CHATEAUBRIAND,35238,RENNES,public,LPO,139.6,110.2,139.2,33.2,38.3
2021-2022,RENNES,35,ILLE-ET-VILAINE,0350777E,LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT MARTIN,35238,RENNES,privé sous contrat,LEGT,130.1,,130.1,33.1,
2021-2022,RENNES,35,ILLE-ET-VILAINE,0351907H,LYCEE GENERAL ET TECHNOLOGIQUE RENE DESCARTES,35238,RENNES,public,LEGT,115.7,,115.7,39.3,
2016-2017,RENNES,35,ILLE-ET-VILAINE,0350024L,LYCEE GENERAL EMILE ZOLA,35238,RENNES,public,LEGT,133.8,,133.8,,
2016-2017,RENNES,35,ILLE-ET-VILAINE,0350029S,LYCEE GENERAL ET TECHNOLOGIQUE JOLIOT CURIE,35238,RENNES,public,LEGT,121.5,,121.5,,
2016-2017,RENNES,35,ILLE-ET-VILAINE,0350797B,LYCEE POLYVALENT PRIVE JEANNE D ARC LYCEE DES METIERS DU TOURISME LYCEE DES METIERS DU SECTEUR SANITAIRE ET DE L INTERVENTION SOCIALE,35238,RENNES,privé sous contrat,LPO,120.2,92.8,106.5,,
2016-2017,RENNES,35,ILLE-ET-VILAINE,0352341E,LYCEE GENERAL PRIVE SAINT JOSEPH,35047,BRUZ,privé sous contrat,LEGT,128.8,,128.8,,
2017-2018,RENNES,35,ILLE-ET-VILAINE,0350026N,LYCEE GENERAL ET TECHNOLOGIQUE JEAN MACE,35238,RENNES,public,LEGT,127.3,,127.3,,
2017-2018,RENNES,35,ILLE-ET-VILAINE,0350031U,LYCEE PROFESSIONNEL JEAN JAURES,35238,RENNES,public,LP,,92.7,92.7,,
2017-2018,RENNES,35,ILLE-ET-VILAINE,0350778F,LYCEE GENERAL PRIVE ASSOMPTION,35238,RENNES,privé sous contrat,LEGT,131.4,,131.4,,
