Rentrée scolaire,Académie,Code du département,Département,UAI,Nom de l'établissment,Code INSEE de la commune,Nom de la commune,Secteur,Type de lycée,IPS voie GT,IPS voie PRO,IPS Ensemble GT-PRO,Ecart-type de l'IPS voie GT,Ecart-type de l'IPS voie PRO
2016-2017,RENNES,35,ILLE-ET-VILAINE,0350793X,LYCEE POLYVALENT PRIVE SAINT ETIENNE,35051,CESSON SEVIGNE,privé sous contrat,LPO,128.9,103.4,117.0,,
2016-2017,RENNES,35,ILLE-ET-VILAINE,0350795Z,LYCEE POLYVALENT PRIVE DE LA SALLE LYCEE DES METIERS DE LA GESTION ET DU COMMERCE,35238,RENNES,privé sous contrat,LPO,118.9,106.3,110.5,,
2016-2017,RENNES,35,ILLE-ET-VILAINE,0352009U,LYCEE GENERAL ET TECHNOLOGIQUE VICTOR ET HELENE BASCH,35238,RENNES,public,LEGT,123.4,,123.4,,
2019-2020,RENNES,35,ILLE-ET-VILAINE,0350024L,LYCEE GENERAL EMILE ZOLA,35238,RENNES,public,LEGT,133.0,,133.0,35.6,
2019-2020,RENNES,35,ILLE-ET-VILAINE,0350029S,LYCEE GENERAL ET TECHNOLOGIQUE JOLIOT CURIE,35238,RENNES,public,LEGT,121.3,,121.3,34.3,
2019-2020,RENNES,35,ILLE-ET-VILAINE,0350776D,LYCEE POLYVALENT PRIVE SAINT VINCENT PROVIDENCE,35238,RENNES,privé sous contrat,LPO,138.2,89.0,134.5,30.3,32.9
2019-2020,RENNES,35,ILLE-ET-VILAINE,0351054F,LYCEE PROFESSIONNEL CHARLES TILLON,35238,RENNES,public,LP,,89.0,89.0,,31.5
2019-2020,RENNES,35,ILLE-ET-VILAINE,0352304P,LYCEE GENERAL ET TECHNOLOGIQUE SEVIGNE,35051,CESSON SEVIGNE,public,LEGT,134.8,,134.8,31.2,
2019-2020,RENNES,35,ILLE-ET-VILAINE,0352341E,LYCEE GENERAL PRIVE SAINT JOSEPH,35047,BRUZ,privé sous contrat,LEGT,136.3,,136.3,30.4,
2020-2021,RENNES,35,ILLE-ET-VILAINE,0350793X,LYCEE POLYVALENT PRIVE FREDERIC OZANAM,35051,CESSON SEVIGNE,privé sous contrat,LPO,126.0,114.7,120.7,32.5,31.3
2020-2021,RENNES,35,ILLE-ET-VILAINE,0350795Z,LYCEE POLYVALENT PRIVE DE LA SALLE LYCEE DES METIERS DE LA GESTION ET DU COMMERCE,35238,RENNES,privé sous contrat,LPO,114.2,104.3,107.5,34.6,33.9
2020-2021,RENNES,35,ILLE-ET-VILAINE,0350801F,LYCEE GENERAL PRIVE JEAN PAUL II,35278,SAINT GREGOIRE,privé sous contrat,LEGT,135.0,,135.0,31.5,
2020-2021,RENNES,35,ILLE-ET-VILAINE,0351054F,LYCEE PROFESSIONNEL CHARLES TILLON,35238,RENNES,public,LP,,88.7,88.7,,31.7
2021-2022,RENNES,35,ILLE-ET-VILAINE,0350028R,LYCEE GENERAL ET TECHNOLOGIQUE BREQUIGNY,35238,RENNES,public,LEGT,114.7,,114.7,38.8,
2021-2022,RENNES,35,ILLE-ET-VILAINE,0350029S,LYCEE GENERAL ET TECHNOLOGIQUE JOLIOT CURIE,35238,RENNES,public,LEGT,120.3,,120.3,35.8,
2021-2022,RENNES,35,ILLE-ET-VILAINE,0350031U,LYCEE PROFESSIONNEL JEAN JAURES LYCEE DES METIERS,35238,RENNES,public,LP,,91.3,91.3,,34.5
2021-2022,RENNES,35,ILLE-ET-VILAINE,0351054F,LYCEE PROFESSIONNEL CHARLES TILLON,35238,RENNES,public,LP,,89.5,89.5,,32.6
2021-2022,RENNES,35,ILLE-ET-VILAINE,0352304P,LYCEE GENERAL ET TECHNOLOGIQUE SEVIGNE,35051,CESSON SEVIGNE,public,LEGT,136.1,,136.1,30.8,
