Dispositif,Type de structure,Année d'agrément,Type,Désignation,Sigle,Activité,Localisation,Début d'agrément,Fin d'agrément,Numéro SIREN,Base SIRENE : Catégorie de l'établissement siège,Base SIRENE : Code APE de l'établissement siège,Base SIRENE : Activité principale exercée (APE) par l'établissement siège,Code postal,Ville,Téléphone,Lien vers la fiche scanR,Commune,Unité urbaine,Département,Académie,Région,Pays,Code commune (France),Code de l'unité urbaine (France),Code du département (France),Code de l'académie (France),Code de la région (France),Code ISO du Pays,Géolocalisation,type
CII,Organismes privés agréés,"2015,2016,2017,2018,2019",Organisme,WHYPI,WHYPI,Informatique,Bretagne>Rennes>Ille-et-Vilaine>Rennes,2015,2019,432105948,PME,6202A,Conseil en systèmes et logiciels informatiques,35000,RENNES,,,Rennes,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35238,UU35701,D035,A14,R53,FR,"48.1119791219, -1.68186449144",OPA
CII,Organismes privés agréés,"2015,2016,2017,2018,2019",Organisme,GROUPE W,,Informatique,Bretagne>Rennes>Ille-et-Vilaine>Rennes>Montgermont,2015,2019,750415820,PME,6420Z,Activités des sociétés holding,35760,MONTGERMONT,,,Montgermont,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35189,UU35701,D035,A14,R53,FR,"48.1538376773, -1.71729477816",OPA
CII,Organismes privés agréés,"2017,2018,2019",Organisme,BA TECHNICS,,Electronique,Bretagne>Rennes>Ille-et-Vilaine>Rennes>Pacé,2017,2019,529850000,PME,7112B,"Ingénierie, études techniques",35740,PACE,,,Pacé,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35210,UU35701,D035,A14,R53,FR,"48.152548244, -1.77716643787",OPA
CII,Organismes privés agréés,"2018,2019,2020",Organisme,VEONUM,SAS,Informatique,Bretagne>Rennes>Ille-et-Vilaine>Rennes,2018,2020,839319605,,,,35700,RENNES,,,Rennes,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35238,UU35701,D035,A14,R53,FR,"48.1119791219, -1.68186449144",OPA
CII,Organismes privés agréés,"2020,2021,2022",Organisme,SAVOIR-FAIRE LINUX,,Informatique,Bretagne>Rennes>Ille-et-Vilaine>Rennes,2020,2022,804583938,PME,6202A,Conseil en systèmes et logiciels informatiques,35000,RENNES,,,Rennes,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35238,UU35701,D035,A14,R53,FR,"48.1119791219, -1.68186449144",OPA
CII,Organismes privés agréés,"2020,2021,2022",Organisme,KASTOR SOLUTIONS - CHRISTOPHE CAZETTES,,Informatique,Bretagne>Rennes>Ille-et-Vilaine>Rennes>Noyal-Châtillon-sur-Seiche,2020,2022,510243603,,,,35230,NOYAL CHATILLON SUR SEICHE,,,Noyal-Châtillon-sur-Seiche,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35206,UU35701,D035,A14,R53,FR,"48.052319685, -1.662728532",OPA
CII,Organismes privés agréés,"2021,2022,2023",Organisme,O2M LAB,,"Océan, Atmosphère, Terre, Environnement naturel",Bretagne>Rennes>Ille-et-Vilaine>Rennes,2021,2023,893173831,,,,35000,RENNES,,,Rennes,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35238,UU35701,D035,A14,R53,FR,"48.1119791219, -1.68186449144",OPA
CII,Organismes privés agréés,"2021,2022,2023",Organisme,KERMAP,SAS,Informatique,Bretagne>Rennes>Ille-et-Vilaine>Rennes>Cesson-Sévigné,2021,2023,832361471,,,,35510,CESSON SEVIGNE,,,Cesson-Sévigné,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35051,UU35701,D035,A14,R53,FR,"48.1202268032, -1.59714447272",OPA
CII,Organismes privés agréés,"2021,2022,2023,2024,2025",Organisme,Rémi Godet Ingénierie,,Mécanique,Bretagne>Rennes>Ille-et-Vilaine>Rennes,2021,2025,888738697,,,,35000,RENNES,,,Rennes,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35238,UU35701,D035,A14,R53,FR,"48.1119791219, -1.68186449144",OPA
CII,Organismes privés agréés,"2021,2022,2023,2024,2025",Organisme,YES WE DEV,,Informatique,Bretagne>Rennes>Ille-et-Vilaine>Rennes,2021,2025,801172776,,,,35000,RENNES,,,Rennes,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35238,UU35701,D035,A14,R53,FR,"48.1119791219, -1.68186449144",OPA
