date_mesure,geocode_commune,libelle_commune,numerateur,denominateur,valeur
2023-01-01T00:00:00.000,35200,Moutiers,0.0,1.0,0.0
2025-01-01T00:00:00.000,35180,Miniac-sous-Bécherel,0.0,1.0,0.0
2024-01-01T00:00:00.000,35196,Mordelles,0.0,1.0,0.0
2024-01-01T00:00:00.000,35088,Corps-Nuds,0.0,1.0,0.0
2024-01-01T00:00:00.000,35238,Rennes,0.0,1.0,0.0
2025-01-01T00:00:00.000,35120,Gévezé,0.0,1.0,0.0
2024-01-01T00:00:00.000,35240,Le Rheu,0.0,1.0,0.0
2025-01-01T00:00:00.000,35047,Bruz,0.0,1.0,0.0
2023-01-01T00:00:00.000,35208,Orgères,0.0,1.0,0.0
2025-01-01T00:00:00.000,35250,Saint-Armel,0.0,1.0,0.0
2023-01-01T00:00:00.000,35230,Poilley,1.0,1.0,100.0
2025-01-01T00:00:00.000,35022,Bécherel,0.0,1.0,0.0
2024-01-01T00:00:00.000,35180,Miniac-sous-Bécherel,0.0,1.0,0.0
2023-01-01T00:00:00.000,35024,Betton,0.0,1.0,0.0
2024-01-01T00:00:00.000,35136,Janzé,0.0,1.0,0.0
2024-01-01T00:00:00.000,35066,Chartres-de-Bretagne,0.0,1.0,0.0
2024-01-01T00:00:00.000,35204,Nouvoitou,0.0,1.0,0.0
2025-01-01T00:00:00.000,35196,Mordelles,0.0,1.0,0.0
2025-01-01T00:00:00.000,35139,Laillé,0.0,1.0,0.0
2025-01-01T00:00:00.000,35144,Langan,0.0,1.0,0.0
2024-01-01T00:00:00.000,35059,La Chapelle-des-Fougeretz,0.0,1.0,0.0
2023-01-01T00:00:00.000,35135,Irodouër,0.0,1.0,0.0
2025-01-01T00:00:00.000,35363,Pont-Péan,0.0,1.0,0.0
2024-01-01T00:00:00.000,35039,Brécé,0.0,1.0,0.0
2024-01-01T00:00:00.000,35170,Mecé,0.0,1.0,0.0
2025-01-01T00:00:00.000,35160,Loutehel,0.0,1.0,0.0
2025-01-01T00:00:00.000,35210,Pacé,0.0,1.0,0.0
2025-01-01T00:00:00.000,35051,Cesson-Sévigné,0.0,1.0,0.0
2024-01-01T00:00:00.000,35281,Saint-Jacques-de-la-Lande,0.0,1.0,0.0
2024-01-01T00:00:00.000,35032,Bourgbarré,0.0,1.0,0.0
2025-01-01T00:00:00.000,35059,La Chapelle-des-Fougeretz,0.0,1.0,0.0
2024-01-01T00:00:00.000,35080,Cintré,0.0,1.0,0.0
2023-01-01T00:00:00.000,35363,Pont-Péan,0.0,1.0,0.0
2024-01-01T00:00:00.000,35334,Thorigné-Fouillard,0.0,1.0,0.0
2023-01-01T00:00:00.000,35160,Loutehel,0.0,1.0,0.0
2023-01-01T00:00:00.000,35032,Bourgbarré,0.0,1.0,0.0
2025-01-01T00:00:00.000,35150,Lécousse,1.0,1.0,100.0
2024-01-01T00:00:00.000,35190,Monthault,1.0,1.0,100.0
2025-01-01T00:00:00.000,35351,Le Verger,0.0,1.0,0.0
2023-01-01T00:00:00.000,35190,Monthault,1.0,1.0,100.0
2025-01-01T00:00:00.000,35080,Cintré,0.0,1.0,0.0
2025-01-01T00:00:00.000,35136,Janzé,0.0,1.0,0.0
2024-01-01T00:00:00.000,35135,Irodouër,0.0,1.0,0.0
2024-01-01T00:00:00.000,35245,Romillé,0.0,1.0,0.0
2024-01-01T00:00:00.000,35076,Chavagne,0.0,1.0,0.0
2023-01-01T00:00:00.000,35076,Chavagne,0.0,1.0,0.0
2023-01-01T00:00:00.000,35120,Gévezé,0.0,1.0,0.0
2023-01-01T00:00:00.000,35206,Noyal-Châtillon-sur-Seiche,0.0,1.0,0.0
2024-01-01T00:00:00.000,35351,Le Verger,0.0,1.0,0.0
2025-01-01T00:00:00.000,35170,Mecé,0.0,1.0,0.0
2023-01-01T00:00:00.000,35240,Le Rheu,0.0,1.0,0.0
2025-01-01T00:00:00.000,35235,Rannée,0.0,1.0,0.0
2024-01-01T00:00:00.000,35150,Lécousse,1.0,1.0,100.0
2023-01-01T00:00:00.000,35170,Mecé,0.0,1.0,0.0
2024-01-01T00:00:00.000,35055,Chantepie,0.0,1.0,0.0
2025-01-01T00:00:00.000,35310,Saint-Sauveur-des-Landes,1.0,1.0,100.0
2024-01-01T00:00:00.000,35058,La Chapelle-Chaussée,0.0,1.0,0.0
2023-01-01T00:00:00.000,35238,Rennes,0.0,1.0,0.0
2025-01-01T00:00:00.000,35353,Vezin-le-Coquet,0.0,1.0,0.0
2024-01-01T00:00:00.000,35275,Saint-Gilles,0.0,1.0,0.0
2023-01-01T00:00:00.000,35351,Le Verger,0.0,1.0,0.0
2025-01-01T00:00:00.000,35032,Bourgbarré,0.0,1.0,0.0
2025-01-01T00:00:00.000,35132,Hirel,1.0,1.0,100.0
2023-01-01T00:00:00.000,35047,Bruz,0.0,1.0,0.0
2025-01-01T00:00:00.000,35058,La Chapelle-Chaussée,0.0,1.0,0.0
2023-01-01T00:00:00.000,35278,Saint-Grégoire,0.0,1.0,0.0
2023-01-01T00:00:00.000,35001,Acigné,0.0,1.0,0.0
2023-01-01T00:00:00.000,35266,Saint-Erblon,0.0,1.0,0.0
2023-01-01T00:00:00.000,35216,Parthenay-de-Bretagne,0.0,1.0,0.0
2024-01-01T00:00:00.000,35079,Chevaigné,0.0,1.0,0.0
2025-01-01T00:00:00.000,35055,Chantepie,0.0,1.0,0.0
2023-01-01T00:00:00.000,35150,Lécousse,1.0,1.0,100.0
2025-01-01T00:00:00.000,35066,Chartres-de-Bretagne,0.0,1.0,0.0
2025-01-01T00:00:00.000,35266,Saint-Erblon,0.0,1.0,0.0
2024-01-01T00:00:00.000,35353,Vezin-le-Coquet,0.0,1.0,0.0
2024-01-01T00:00:00.000,35001,Acigné,0.0,1.0,0.0
2023-01-01T00:00:00.000,35281,Saint-Jacques-de-la-Lande,0.0,1.0,0.0
2025-01-01T00:00:00.000,35079,Chevaigné,0.0,1.0,0.0
2023-01-01T00:00:00.000,35196,Mordelles,0.0,1.0,0.0
2024-01-01T00:00:00.000,35131,L'Hermitage,0.0,1.0,0.0
2023-01-01T00:00:00.000,35245,Romillé,0.0,1.0,0.0
2024-01-01T00:00:00.000,35047,Bruz,0.0,1.0,0.0
2025-01-01T00:00:00.000,35189,Montgermont,0.0,1.0,0.0
2023-01-01T00:00:00.000,35080,Cintré,0.0,1.0,0.0
2024-01-01T00:00:00.000,35315,Saint-Sulpice-la-Forêt,0.0,1.0,0.0
2023-01-01T00:00:00.000,35315,Saint-Sulpice-la-Forêt,0.0,1.0,0.0
2025-01-01T00:00:00.000,35281,Saint-Jacques-de-la-Lande,0.0,1.0,0.0
2023-01-01T00:00:00.000,35132,Hirel,1.0,1.0,100.0
2023-01-01T00:00:00.000,35204,Nouvoitou,0.0,1.0,0.0
2024-01-01T00:00:00.000,35363,Pont-Péan,0.0,1.0,0.0
2024-01-01T00:00:00.000,35132,Hirel,1.0,1.0,100.0
2024-01-01T00:00:00.000,35120,Gévezé,0.0,1.0,0.0
2025-01-01T00:00:00.000,35039,Brécé,0.0,1.0,0.0
2024-01-01T00:00:00.000,35210,Pacé,0.0,1.0,0.0
2023-01-01T00:00:00.000,35180,Miniac-sous-Bécherel,0.0,1.0,0.0
2024-01-01T00:00:00.000,35208,Orgères,0.0,1.0,0.0
2023-01-01T00:00:00.000,35055,Chantepie,0.0,1.0,0.0
2024-01-01T00:00:00.000,35310,Saint-Sauveur-des-Landes,1.0,1.0,100.0
2025-01-01T00:00:00.000,35238,Rennes,0.0,1.0,0.0
2025-01-01T00:00:00.000,35216,Parthenay-de-Bretagne,0.0,1.0,0.0
2023-01-01T00:00:00.000,35334,Thorigné-Fouillard,0.0,1.0,0.0
2024-01-01T00:00:00.000,35051,Cesson-Sévigné,0.0,1.0,0.0
2023-01-01T00:00:00.000,35210,Pacé,0.0,1.0,0.0
2024-01-01T00:00:00.000,35200,Moutiers,0.0,1.0,0.0
2025-01-01T00:00:00.000,35190,Monthault,1.0,1.0,100.0
2023-01-01T00:00:00.000,35066,Chartres-de-Bretagne,0.0,1.0,0.0
2023-01-01T00:00:00.000,35051,Cesson-Sévigné,0.0,1.0,0.0
2025-01-01T00:00:00.000,35081,Clayes,0.0,1.0,0.0
2024-01-01T00:00:00.000,35230,Poilley,1.0,1.0,100.0
2024-01-01T00:00:00.000,35081,Clayes,0.0,1.0,0.0
2023-01-01T00:00:00.000,35353,Vezin-le-Coquet,0.0,1.0,0.0
2025-01-01T00:00:00.000,35275,Saint-Gilles,0.0,1.0,0.0
2023-01-01T00:00:00.000,35088,Corps-Nuds,0.0,1.0,0.0
2025-01-01T00:00:00.000,35206,Noyal-Châtillon-sur-Seiche,0.0,1.0,0.0
2023-01-01T00:00:00.000,35022,Bécherel,0.0,1.0,0.0
2025-01-01T00:00:00.000,35245,Romillé,0.0,1.0,0.0
2023-01-01T00:00:00.000,35058,La Chapelle-Chaussée,0.0,1.0,0.0
2025-01-01T00:00:00.000,35230,Poilley,1.0,1.0,100.0
2025-01-01T00:00:00.000,35088,Corps-Nuds,0.0,1.0,0.0
2024-01-01T00:00:00.000,35024,Betton,0.0,1.0,0.0
2025-01-01T00:00:00.000,35240,Le Rheu,0.0,1.0,0.0
2025-01-01T00:00:00.000,35076,Chavagne,0.0,1.0,0.0
2024-01-01T00:00:00.000,35160,Loutehel,0.0,1.0,0.0
2025-01-01T00:00:00.000,35065,La Chapelle-Thouarault,0.0,1.0,0.0
2024-01-01T00:00:00.000,35216,Parthenay-de-Bretagne,0.0,1.0,0.0
2023-01-01T00:00:00.000,35059,La Chapelle-des-Fougeretz,0.0,1.0,0.0
2023-01-01T00:00:00.000,35310,Saint-Sauveur-des-Landes,1.0,1.0,100.0
2023-01-01T00:00:00.000,35139,Laillé,0.0,1.0,0.0
2024-01-01T00:00:00.000,35144,Langan,0.0,1.0,0.0
2025-01-01T00:00:00.000,35131,L'Hermitage,0.0,1.0,0.0
