Rentrée scolaire,Académie,Code du département,Département,UAI,Nom de l'établissment,Code INSEE de la commune,Nom de la commune,Secteur,IPS,Ecart-type de l'IPS
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350760L,COLLEGE CLEUNAY,35238,RENNES,public,102.0,
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350839X,COLLEGE PRIVE SAINT HELIER,35238,RENNES,privé sous contrat,125.9,
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350913C,COLLEGE CLOTILDE VAUTIER,35238,RENNES,public,82.9,
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350965J,COLLEGE LE LANDRY,35238,RENNES,public,117.8,
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352589Z,COLLEGE JEAN MOULIN,35281,SAINT JACQUES DE LA LANDE,public,99.7,
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350759K,COLLEGE ECHANGE,35238,RENNES,public,119.5,
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350780H,COLLEGE PRIVE IMMACULEE,35278,SAINT GREGOIRE,privé sous contrat,133.6,
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350836U,COLLEGE PRIVE SAINT MARTIN QUARTIER SAINTE GENEVIEVE,35238,RENNES,privé sous contrat,108.9,
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351851X,COLLEGE LA BINQUENAIS,35238,RENNES,public,81.6,
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352071L,COLLEGE PRIVE SAINTE THERESE,35238,RENNES,privé sous contrat,80.1,
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352260S,COLLEGE FRANCOIS TRUFFAUT,35024,BETTON,public,129.9,
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350895H,COLLEGE ROSA PARKS,35238,RENNES,public,75.0,29.4
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350963G,COLLEGE DES HAUTES OURMES,35238,RENNES,public,87.3,35.1
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351053E,COLLEGE JEAN MONNET,35136,JANZE,public,106.9,34.2
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351851X,COLLEGE LA BINQUENAIS,35238,RENNES,public,80.4,35.7
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350874K,COLLEGE PRIVE SAINT YVES,35196,MORDELLES,privé sous contrat,118.8,28.3
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351796M,COLLEGE EMILE ZOLA,35238,RENNES,public,106.1,43.0
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351851X,COLLEGE LA BINQUENAIS,35238,RENNES,public,80.6,37.0
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352071L,COLLEGE PRIVE JOSEPHINE BAKHITA,35238,RENNES,privé sous contrat,80.4,26.4
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352691K,COLLEGE ANDREE RECIPON,35208,ORGERES,public,115.2,36.1
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352972R,COLLEGE PRIVE SAINT MICHEL,35051,CESSON SEVIGNE,privé sous contrat,99.8,32.8
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350963G,COLLEGE DES HAUTES OURMES,35238,RENNES,public,81.4,
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351638R,COLLEGE ANNE DE BRETAGNE,35238,RENNES,public,128.9,
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351852Y,COLLEGE DE FONTENAY,35066,CHARTRES DE BRETAGNE,public,114.0,
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350002M,COLLEGE PIERRE BROSSOLETTE,35047,BRUZ,public,117.2,
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350027P,COLLEGE LES GAYEULLES,35238,RENNES,public,112.2,
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350734H,COLLEGE LES CHALAIS,35238,RENNES,public,78.5,
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350002M,COLLEGE PIERRE BROSSOLETTE,35047,BRUZ,public,113.8,37.8
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350027P,COLLEGE LES GAYEULLES,35238,RENNES,public,100.3,46.9
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350057X,COLLEGE JACQUES PREVERT,35245,ROMILLE,public,115.1,34.4
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350874K,COLLEGE PRIVE SAINT YVES,35196,MORDELLES,privé sous contrat,118.3,29.0
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351796M,COLLEGE EMILE ZOLA,35238,RENNES,public,109.1,43.2
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352069J,COLLEGE PRIVE SAINT VINCENT PROVIDENCE,35238,RENNES,privé sous contrat,133.5,35.6
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350734H,COLLEGE LES CHALAIS,35238,RENNES,public,76.2,
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350760L,COLLEGE CLEUNAY,35238,RENNES,public,99.5,
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350866B,COLLEGE PRIVE SAINT JOSEPH,35136,JANZE,privé sous contrat,117.0,
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350895H,COLLEGE ROSA PARKS,35238,RENNES,public,76.6,
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350913C,COLLEGE CLOTILDE VAUTIER,35238,RENNES,public,82.5,
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352030S,COLLEGE MORVAN LEBESQUE,35196,MORDELLES,public,115.1,
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352691K,COLLEGE ANDREE RECIPON,35208,ORGERES,public,120.1,
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350002M,COLLEGE PIERRE BROSSOLETTE,35047,BRUZ,public,113.9,39.3
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350734H,COLLEGE LES CHALAIS,35238,RENNES,public,77.2,33.3
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350913C,COLLEGE CLOTILDE VAUTIER,35238,RENNES,public,80.4,40.3
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351638R,COLLEGE ANNE DE BRETAGNE,35238,RENNES,public,125.7,41.6
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351847T,COLLEGE GEORGES BRASSENS,35240,LE RHEU,public,115.5,38.7
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352030S,COLLEGE MORVAN LEBESQUE,35196,MORDELLES,public,112.3,37.3
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352069J,COLLEGE PRIVE SAINT VINCENT PROVIDENCE,35238,RENNES,privé sous contrat,133.6,35.8
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352541X,COLLEGE THEODORE MONOD,35352,VERN SUR SEICHE,public,119.8,33.8
