Exercice,Outre-mer,Code Insee 2024 Région,Nom 2024 Région,Code Insee 2024 Département,Nom 2024 Département,Code Siren 2024 EPCI,Nom 2024 EPCI,Strate population 2024,Commune rurale,Commune de montagne,Commune touristique,Tranche revenu par habitant,Présence QPV,Code Insee 2024 Commune,Nom 2024 Commune,Catégorie,Code Siren Collectivité,Code Insee Collectivité,Siret Budget,Libellé Budget,Type de budget,Nomenclature,Agrégat,Montant,Montant en millions,Population totale,Montant en € par habitant,Compte 2024 Disponible,code_type_budget,ordre_analyse1_section1,ordre_analyse1_section2,ordre_analyse1_section3,ordre_analyse2_section1,ordre_analyse2_section2,ordre_analyse2_section3,ordre_analyse3_section1,ordre_analyse3_section2,ordre_analyse3_section3,ordre_analyse4_section1,annee_join,Population totale du dernier exercice
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,7,Non,Non,Non,2,Non,35024,Betton,Commune,213500242,35024,21350024200234,LOT BASSE RENAUDAIS - BETTON,Budget annexe,M14,Impôts et taxes,0.0,0.0,11038,0.0,1,3,,,,2,,,,,,,2017,12959
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,7,Non,Non,Non,2,Non,35024,Betton,Commune,213500242,35024,21350024200242,LOT ROBINAIS - BETTON,Budget annexe,M14,Impôts et taxes,0.0,0.0,11038,0.0,1,3,,,,2,,,,,,,2017,12959
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,7,Non,Non,Non,2,Non,35024,Betton,Commune,213500242,35024,21350024200259,BETTON,Budget principal,M14,Impôts et taxes,6579535.29,6.57953529,11038,596.0803850335205,1,1,,,,2,,,,,,,2017,12959
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,5,Non,Non,Non,2,Non,35032,Bourgbarré,Commune,213500325,35032,21350032500062,BOURGBARRE,Budget principal,M14,Impôts et taxes,1849319.64,1.8493196399999998,3814,484.87667540639745,1,1,,,,2,,,,,,,2017,4646
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,4,Oui,Non,Non,2,Non,35039,Brécé,Commune,213500390,35039,21350039000017,BRECE,Budget principal,M14,Impôts et taxes,1030105.0,1.030105,2141,481.13264829518914,1,1,,,,2,,,,,,,2017,2191
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,4,Oui,Non,Non,2,Non,35039,Brécé,Commune,213500390,35039,21350039000033,ZA - BRECE,Budget annexe,M14,Impôts et taxes,0.0,0.0,2141,0.0,1,3,,,,2,,,,,,,2017,2191
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,4,Oui,Non,Non,2,Non,35039,Brécé,Commune,213500390,35039,21350039000066,CELLULES COMMERCIALES - BRECE,Budget annexe,M14,Impôts et taxes,0.0,0.0,2141,0.0,1,3,,,,2,,,,,,,2017,2191
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,4,Oui,Non,Non,2,Non,35039,Brécé,Commune,213500390,35039,21350039000082,ZAC VALLON - BRECE,Budget annexe,M14,Impôts et taxes,0.0,0.0,2141,0.0,1,3,,,,2,,,,,,,2017,2191
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,4,Oui,Non,Non,2,Non,35039,Brécé,Commune,213500390,35039,21350039000090,ZAC CENTRE BOURG LA LOIRIE - BRECE,Budget annexe,M14,Impôts et taxes,0.0,0.0,2141,0.0,1,3,,,,2,,,,,,,2017,2191
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,4,Oui,Non,Non,2,Non,35039,Brécé,Commune,213500390,35039,21350039000108,LES PRES HAUTS - BRECE,Budget annexe,M14,Impôts et taxes,0.0,0.0,2141,0.0,1,3,,,,2,,,,,,,2017,2191
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,8,Non,Non,Non,2,Non,35047,Bruz,Commune,213500473,35047,21350047300011,BRUZ,Budget principal,M14,Impôts et taxes,11904373.98,11.90437398,17863,666.4263550355483,1,1,,,,2,,,,,,,2017,20118
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,8,Non,Non,Non,2,Non,35047,Bruz,Commune,213500473,35047,21350047300177,PARC GRANDES ECOLES KERN LANN - BRUZ,Budget annexe,M14,Impôts et taxes,0.0,0.0,17863,0.0,1,3,,,,2,,,,,,,2017,20118
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,8,Non,Non,Non,2,Non,35047,Bruz,Commune,213500473,35047,21350047300201,CANT SCOL - BRUZ,Budget annexe,M14,Impôts et taxes,0.0,0.0,17863,0.0,1,3,,,,2,,,,,,,2017,20118
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,8,Non,Non,Non,2,Non,35047,Bruz,Commune,213500473,35047,21350047300227,ZAC EPERON - BRUZ,Budget annexe,M14,Impôts et taxes,0.0,0.0,17863,0.0,1,3,,,,2,,,,,,,2017,20118
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,7,Non,Non,Non,3,Non,35051,Cesson-Sévigné,Commune,213500515,35051,21350051500019,CESSON-SEVIGNE,Budget principal,M14,Impôts et taxes,12375779.69,12.37577969,17934,690.0735859261737,1,1,,,,2,,,,,,,2017,18212
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,7,Non,Non,Non,2,Non,35055,Chantepie,Commune,213500556,35055,21350055600013,CHANTEPIE,Budget principal,M14,Impôts et taxes,7285551.92,7.28555192,10904,668.154064563463,1,1,,,,2,,,,,,,2017,10391
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,7,Non,Non,Non,2,Non,35055,Chantepie,Commune,213500556,35055,21350055600146,ZAC RIVES BLOSNE BC - CHANTEPIE,Budget annexe,M14,Impôts et taxes,0.0,0.0,10904,0.0,1,3,,,,2,,,,,,,2017,10391
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,7,Non,Non,Non,2,Non,35055,Chantepie,Commune,213500556,35055,21350055600153,ZAC CENTRE VILLE - CHANTEPIE,Budget annexe,M14,Impôts et taxes,696.21,0.0006962100000000001,10904,0.06384904622157007,1,3,,,,2,,,,,,,2017,10391
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,3,Oui,Non,Non,1,Non,35058,La Chapelle-Chaussée,Commune,213500580,35058,21350058000013,CHAPELLE-CHAUSSEE (LA ),Budget principal,M14,Impôts et taxes,518015.87,0.51801587,1282,404.06854134165366,1,1,,,,2,,,,,,,2017,1323
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,5,Non,Non,Non,2,Non,35059,La Chapelle-des-Fougeretz,Commune,213500598,35059,21350059800015,CHAPELLE-DES-FOUGERETZ (LA ),Budget principal,M14,Impôts et taxes,3006160.29,3.00616029,4836,621.6212344913151,1,1,,,,2,,,,,,,2017,4696
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,5,Non,Non,Non,2,Non,35059,La Chapelle-des-Fougeretz,Commune,213500598,35059,21350059800114,ZA CROIX ROUGE - LA CHAPELLE-DES FOUGERE,Budget annexe,M14,Impôts et taxes,0.0,0.0,4836,0.0,1,3,,,,2,,,,,,,2017,4696
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,5,Non,Non,Non,2,Non,35059,La Chapelle-des-Fougeretz,Commune,213500598,35059,21350059800122,ZA HAUT DENTE - LA CHAPELLE-DES-FOUGERET,Budget annexe,M14,Impôts et taxes,0.0,0.0,4836,0.0,1,3,,,,2,,,,,,,2017,4696
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,5,Non,Non,Non,2,Non,35059,La Chapelle-des-Fougeretz,Commune,213500598,35059,21350059800130,LOT CLOS PASQUIER - LA CHAPELLE-DES-FOUG,Budget annexe,M14,Impôts et taxes,0.0,0.0,4836,0.0,1,3,,,,2,,,,,,,2017,4696
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,4,Non,Non,Non,2,Non,35065,La Chapelle-Thouarault,Commune,213500655,35065,21350065500013,CHAPELLE-THOUARAULT (LA ),Budget principal,M14,Impôts et taxes,897396.64,0.89739664,2034,441.19795476892824,1,1,,,,2,,,,,,,2017,2294
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,4,Non,Non,Non,2,Non,35065,La Chapelle-Thouarault,Commune,213500655,35065,21350065500070,GARDERIE - LA CHAPELLE-THOUARAULT,Budget annexe,M14,Impôts et taxes,0.0,0.0,2034,0.0,1,3,,,,2,,,,,,,2017,2294
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,4,Non,Non,Non,2,Non,35065,La Chapelle-Thouarault,Commune,213500655,35065,21350065500088,CANT SCOL - LA CHAPELLE THOUARAULT,Budget annexe,M14,Impôts et taxes,0.0,0.0,2034,0.0,1,3,,,,2,,,,,,,2017,2294
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,6,Non,Non,Non,2,Non,35066,Chartres-de-Bretagne,Commune,213500663,35066,21350066300017,CHARTRES-DE-BRETAGNE,Budget principal,M14,Impôts et taxes,7484537.15,7.48453715,7504,997.4063366204691,1,1,,,,2,,,,,,,2017,8377
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,6,Non,Non,Non,2,Non,35066,Chartres-de-Bretagne,Commune,213500663,35066,21350066300132,ZAC PORTES SEICHE - CHARTRES DE BRETAGNE,Budget annexe,M14,Impôts et taxes,0.0,0.0,7504,0.0,1,3,,,,2,,,,,,,2017,8377
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,5,Non,Non,Non,2,Non,35076,Chavagne,Commune,213500762,35076,21350076200017,CHAVAGNE,Budget principal,M14,Impôts et taxes,2057770.66,2.05777066,3768,546.1174787685775,1,1,,,,2,,,,,,,2017,4476
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,5,Non,Non,Non,2,Non,35076,Chavagne,Commune,213500762,35076,21350076200066,LOT BOSQUET - CHAVAGNE,Budget annexe,M14,Impôts et taxes,0.0,0.0,3768,0.0,1,3,,,,2,,,,,,,2017,4476
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,5,Non,Non,Non,2,Non,35076,Chavagne,Commune,213500762,35076,21350076200082,LOT PARC ACT VI - CHAVAGNE,Budget annexe,M14,Impôts et taxes,0.0,0.0,3768,0.0,1,3,,,,2,,,,,,,2017,4476
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,5,Non,Non,Non,2,Non,35076,Chavagne,Commune,213500762,35076,21350076200108,ZAC COEUR DE VILLE - CHAVAGNE,Budget annexe,M14,Impôts et taxes,0.0,0.0,3768,0.0,1,3,,,,2,,,,,,,2017,4476
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,4,Non,Non,Non,2,Non,35079,Chevaigné,Commune,213500796,35079,21350079600015,CHEVAIGNE,Budget principal,M14,Impôts et taxes,1182195.69,1.18219569,2100,562.9503285714286,1,1,,,,2,,,,,,,2017,2414
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,4,Non,Non,Non,2,Non,35079,Chevaigné,Commune,213500796,35079,21350079600072,ZAC BRANCHERE - CHEVAIGNE,Budget annexe,M14,Impôts et taxes,0.0,0.0,2100,0.0,1,3,,,,2,,,,,,,2017,2414
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,4,Non,Non,Non,2,Non,35079,Chevaigné,Commune,213500796,35079,21350079600080,ZAC DES TROIS LIEUX - CHEVAIGNE,Budget annexe,M14,Impôts et taxes,0.0,0.0,2100,0.0,1,3,,,,2,,,,,,,2017,2414
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,4,Non,Non,Non,2,Non,35079,Chevaigné,Commune,213500796,35079,21350079600098,PHOTOVOLTAIQUE - CHEVAIGNE,Budget annexe,M4,Impôts et taxes,0.0,0.0,2100,0.0,1,3,,,,2,,,,,,,2017,2414
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,4,Oui,Non,Non,2,Non,35080,Cintré,Commune,213500804,35080,21350080400082,CELLULE COMMERCIALE - CINTRE,Budget annexe,M14,Impôts et taxes,0.0,0.0,2254,0.0,1,3,,,,2,,,,,,,2017,2600
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,4,Oui,Non,Non,2,Non,35080,Cintré,Commune,213500804,35080,21350080400108,CINTRE,Budget principal,M14,Impôts et taxes,1114008.25,1.11400825,2254,494.2361357586513,1,1,,,,2,,,,,,,2017,2600
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,3,Oui,Non,Non,2,Non,35081,Clayes,Commune,213500812,35081,21350081200010,CLAYES,Budget principal,M14,Impôts et taxes,356999.0,0.356999,778,458.8676092544987,1,1,,,,2,,,,,,,2017,969
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,5,Non,Non,Non,2,Non,35088,Corps-Nuds,Commune,213500887,35088,21350088700103,CORPS-NUDS,Budget principal,M14,Impôts et taxes,1577078.0,1.577078,3249,485.4041243459526,1,1,,,,2,,,,,,,2017,3621
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,5,Non,Non,Non,2,Non,35088,Corps-Nuds,Commune,213500887,35088,21350088700111,CENTRE DE SECOURS LOCATION - CORPS-NUD,Budget annexe,M14,Impôts et taxes,0.0,0.0,3249,0.0,1,3,,,,2,,,,,,,2017,3621
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,6,Non,Non,Non,2,Non,35120,Gévezé,Commune,213501208,35120,21350120800010,GEVEZE,Budget principal,M14,Impôts et taxes,2560180.06,2.56018006,5246,488.0251734654975,1,1,,,,2,,,,,,,2017,6000
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,6,Non,Non,Non,2,Non,35120,Gévezé,Commune,213501208,35120,21350120800093,LOT FERME COUALEUC - GEVEZE,Budget annexe,M14,Impôts et taxes,0.0,0.0,5246,0.0,1,3,,,,2,,,,,,,2017,6000
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,6,Non,Non,Non,2,Non,35120,Gévezé,Commune,213501208,35120,21350120800127,ZA DOUVE - GEVEZE,Budget annexe,M14,Impôts et taxes,0.0,0.0,5246,0.0,1,3,,,,2,,,,,,,2017,6000
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,6,Non,Non,Non,2,Non,35120,Gévezé,Commune,213501208,35120,21350120800143,LOT VIEILLE RUE - GEVEZE,Budget annexe,M14,Impôts et taxes,0.0,0.0,5246,0.0,1,3,,,,2,,,,,,,2017,6000
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,6,Non,Non,Non,2,Non,35120,Gévezé,Commune,213501208,35120,21350120800150,LOT CHAMP MAUVY - GEVEZE,Budget annexe,M14,Impôts et taxes,0.0,0.0,5246,0.0,1,3,,,,2,,,,,,,2017,6000
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,5,Non,Non,Non,2,Non,35131,L'Hermitage,Commune,213501315,35131,21350131500013,HERMITAGE (L' ),Budget principal,M14,Impôts et taxes,2441720.6,2.4417206,4216,579.1557400379506,1,1,,,,2,,,,,,,2017,4767
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,5,Non,Non,Non,2,Non,35131,L'Hermitage,Commune,213501315,35131,21350131500096,ZAC HAUTIERE - L HERMITAGE,Budget annexe,M14,Impôts et taxes,0.0,0.0,4216,0.0,1,3,,,,2,,,,,,,2017,4767
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,5,Non,Non,Non,2,Non,35131,L'Hermitage,Commune,213501315,35131,21350131500112,ZA TERTRAIS II - L HERMITAGE,Budget annexe,M14A,Impôts et taxes,0.0,0.0,4216,0.0,1,3,,,,2,,,,,,,2017,4767
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,5,Non,Non,Non,2,Non,35131,L'Hermitage,Commune,213501315,35131,21350131500120,LOT FAUCONNIERE - L'HERMITAGE,Budget annexe,M14,Impôts et taxes,0.0,0.0,4216,0.0,1,3,,,,2,,,,,,,2017,4767
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,5,Non,Non,Non,2,Non,35131,L'Hermitage,Commune,213501315,35131,21350131500138,CELLULES COMMERCIALES/ L'HERMITAGE,Budget annexe,M14,Impôts et taxes,0.0,0.0,4216,0.0,1,3,,,,2,,,,,,,2017,4767
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500782,Communauté d'agglomération du Pays de Saint Malo Agglomération,3,Oui,Non,Non,2,Non,35132,Hirel,Commune,213501323,35132,21350132300017,HIREL,Budget principal,M14,Impôts et taxes,448503.31,0.44850331,1391,322.4322861250899,1,1,,,,2,,,,,,,2017,1415
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500782,Communauté d'agglomération du Pays de Saint Malo Agglomération,3,Oui,Non,Non,2,Non,35132,Hirel,Commune,213501323,35132,21350132300041,ASST - HIREL,Budget annexe,M49A,Impôts et taxes,0.0,0.0,1391,0.0,1,3,,,,2,,,,,,,2017,1415
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500782,Communauté d'agglomération du Pays de Saint Malo Agglomération,3,Oui,Non,Non,2,Non,35132,Hirel,Commune,213501323,35132,21350132300082,COMMERCE RESTAURANT - HIREL,Budget annexe,M14,Impôts et taxes,0.0,0.0,1391,0.0,1,3,,,,2,,,,,,,2017,1415
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500782,Communauté d'agglomération du Pays de Saint Malo Agglomération,3,Oui,Non,Non,2,Non,35132,Hirel,Commune,213501323,35132,21350132300090,CELLULES COMMERCIALES - HIREL,Budget annexe,M14,Impôts et taxes,0.0,0.0,1391,0.0,1,3,,,,2,,,,,,,2017,1415
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500782,Communauté d'agglomération du Pays de Saint Malo Agglomération,3,Oui,Non,Non,2,Non,35132,Hirel,Commune,213501323,35132,21350132300108,SUPERETTE - HIREL,Budget annexe,M14,Impôts et taxes,0.0,0.0,1391,0.0,1,3,,,,2,,,,,,,2017,1415
2017,Non,53,Bretagne,35,Ille-et-Vilaine,200038990,Communauté de communes de Saint-Méen Montauban,4,Oui,Non,Non,1,Non,35135,Irodouër,Commune,213501356,35135,21350135600017,IRODOUER,Budget principal,M14,Impôts et taxes,669427.75,0.66942775,2229,300.326491700314,1,1,,,,2,,,,,,,2017,2318
2017,Non,53,Bretagne,35,Ille-et-Vilaine,200038990,Communauté de communes de Saint-Méen Montauban,4,Oui,Non,Non,1,Non,35135,Irodouër,Commune,213501356,35135,21350135600041,ASST - IRODOUER,Budget annexe,M49A,Impôts et taxes,0.0,0.0,2229,0.0,1,3,,,,2,,,,,,,2017,2318
2017,Non,53,Bretagne,35,Ille-et-Vilaine,200038990,Communauté de communes de Saint-Méen Montauban,4,Oui,Non,Non,1,Non,35135,Irodouër,Commune,213501356,35135,21350135600058,COMMERCES - IRODOUER,Budget annexe,M14,Impôts et taxes,0.0,0.0,2229,0.0,1,3,,,,2,,,,,,,2017,2318
2017,Non,53,Bretagne,35,Ille-et-Vilaine,200038990,Communauté de communes de Saint-Méen Montauban,4,Oui,Non,Non,1,Non,35135,Irodouër,Commune,213501356,35135,21350135600082,LOT LANDE CARESMEL - IRODOUER,Budget annexe,M14,Impôts et taxes,0.0,0.0,2229,0.0,1,3,,,,2,,,,,,,2017,2318
2017,Non,53,Bretagne,35,Ille-et-Vilaine,200038990,Communauté de communes de Saint-Méen Montauban,4,Oui,Non,Non,1,Non,35135,Irodouër,Commune,213501356,35135,21350135600090,LOT PRE BOURG - IRODOUER,Budget annexe,M14,Impôts et taxes,0.0,0.0,2229,0.0,1,3,,,,2,,,,,,,2017,2318
2017,Non,53,Bretagne,35,Ille-et-Vilaine,200038990,Communauté de communes de Saint-Méen Montauban,4,Oui,Non,Non,1,Non,35135,Irodouër,Commune,213501356,35135,21350135600108,LOT LE PLACIS PLISSON - IRODOUER,Budget annexe,M14,Impôts et taxes,0.0,0.0,2229,0.0,1,3,,,,2,,,,,,,2017,2318
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500634,Communauté de communes Roche aux Fées Communauté,6,Non,Non,Non,2,Non,35136,Janzé,Commune,213501364,35136,21350136400011,JANZE,Budget principal,M14,Impôts et taxes,4228439.33,4.2284393300000005,8426,501.83234393543796,1,1,,,,2,,,,,,,2017,8744
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500634,Communauté de communes Roche aux Fées Communauté,6,Non,Non,Non,2,Non,35136,Janzé,Commune,213501364,35136,21350136400060,ASST - JANZE,Budget annexe,M49A,Impôts et taxes,0.0,0.0,8426,0.0,1,3,,,,2,,,,,,,2017,8744
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500634,Communauté de communes Roche aux Fées Communauté,6,Non,Non,Non,2,Non,35136,Janzé,Commune,213501364,35136,21350136400136,LOT FORGES - JANZE,Budget annexe,M14,Impôts et taxes,0.0,0.0,8426,0.0,1,3,,,,2,,,,,,,2017,8744
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500634,Communauté de communes Roche aux Fées Communauté,6,Non,Non,Non,2,Non,35136,Janzé,Commune,213501364,35136,21350136400144,LOT LANDE AU BRUN - JANZE,Budget annexe,M14,Impôts et taxes,0.0,0.0,8426,0.0,1,3,,,,2,,,,,,,2017,8744
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,6,Non,Non,Non,2,Non,35139,Laillé,Commune,213501398,35139,21350139800019,LAILLE,Budget principal,M14,Impôts et taxes,2786046.48,2.78604648,5168,539.0956811145511,1,1,,,,2,,,,,,,2017,5276
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,6,Non,Non,Non,2,Non,35139,Laillé,Commune,213501398,35139,21350139800126,CELLULE COMMERCIALE - LAILLE,Budget annexe,M14,Impôts et taxes,0.0,0.0,5168,0.0,1,3,,,,2,,,,,,,2017,5276
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,6,Non,Non,Non,2,Non,35139,Laillé,Commune,213501398,35139,21350139800134,INSTALLATION PHOTOVOLTAIQUE - LAILLE,Budget annexe,M4,Impôts et taxes,0.0,0.0,5168,0.0,1,3,,,,2,,,,,,,2017,5276
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,3,Oui,Non,Non,1,Non,35144,Langan,Commune,213501448,35144,21350144800012,LANGAN,Budget principal,M14,Impôts et taxes,388172.0,0.388172,936,414.71367521367523,1,1,,,,2,,,,,,,2017,1094
2017,Non,53,Bretagne,35,Ille-et-Vilaine,200072452,Communauté d'agglomération Fougères Agglomération,4,Non,Non,Non,3,Non,35150,Lécousse,Commune,213501505,35150,21350150500076,EAUX - LECOUSSE,Budget annexe,M49A,Impôts et taxes,0.0,0.0,3222,0.0,1,3,,,,2,,,,,,,2017,3423
