date_mesure,geocode_commune,libelle_commune,type_transport_en_commun,numerateur,denominateur,valeur
2025-01-01T00:00:00.000,35310,Saint-Sauveur-des-Landes,métro,0.0,1565.0,0.0
2025-01-01T00:00:00.000,35076,Chavagne,bus,6.0,4562.0,1.31521262604121
2025-01-01T00:00:00.000,35059,La Chapelle-des-Fougeretz,autres,0.0,4603.0,0.0
2025-01-01T00:00:00.000,35080,Cintré,métro,0.0,2614.0,0.0
2025-01-01T00:00:00.000,35136,Janzé,métro,0.0,8618.0,0.0
2025-01-01T00:00:00.000,35047,Bruz,bus,34.0,19667.0,1.728784257893934
2025-01-01T00:00:00.000,35275,Saint-Gilles,métro,0.0,5489.0,0.0
2025-01-01T00:00:00.000,35230,Poilley,métro,0.0,380.0,0.0
2025-01-01T00:00:00.000,35022,Bécherel,bus,3.0,685.0,4.37956204379562
2025-01-01T00:00:00.000,35024,Betton,bus,27.0,12775.0,2.1135029354207435
2025-01-01T00:00:00.000,35352,Vern-sur-Seiche,autres,0.0,8272.0,0.0
2025-01-01T00:00:00.000,35216,Parthenay-de-Bretagne,bus,7.0,1802.0,3.8845726970033296
2025-01-01T00:00:00.000,35081,Clayes,métro,0.0,941.0,0.0
2025-01-01T00:00:00.000,35363,Pont-Péan,métro,0.0,4289.0,0.0
2025-01-01T00:00:00.000,35190,Monthault,autres,0.0,250.0,0.0
2025-01-01T00:00:00.000,35047,Bruz,métro,0.0,19667.0,0.0
2025-01-01T00:00:00.000,35080,Cintré,bus,9.0,2614.0,3.442999234889059
2025-01-01T00:00:00.000,35208,Orgères,autres,0.0,5602.0,0.0
2025-01-01T00:00:00.000,35278,Saint-Grégoire,autres,0.0,9992.0,0.0
2025-01-01T00:00:00.000,35310,Saint-Sauveur-des-Landes,bus,1.0,1565.0,0.6389776357827476
2025-01-01T00:00:00.000,35065,La Chapelle-Thouarault,métro,0.0,2266.0,0.0
2025-01-01T00:00:00.000,35281,Saint-Jacques-de-la-Lande,autres,0.0,13593.0,0.0
2025-01-01T00:00:00.000,35131,L'Hermitage,bus,12.0,4683.0,2.5624599615631003
2025-01-01T00:00:00.000,35206,Noyal-Châtillon-sur-Seiche,métro,0.0,7995.0,0.0
2025-01-01T00:00:00.000,35275,Saint-Gilles,bus,16.0,5489.0,2.9149207505920933
2025-01-01T00:00:00.000,35055,Chantepie,métro,0.0,10378.0,0.0
2025-01-01T00:00:00.000,35150,Lécousse,autres,0.0,3423.0,0.0
2025-01-01T00:00:00.000,35180,Miniac-sous-Bécherel,autres,0.0,788.0,0.0
2025-01-01T00:00:00.000,35032,Bourgbarré,métro,0.0,4692.0,0.0
2025-01-01T00:00:00.000,35180,Miniac-sous-Bécherel,bus,1.0,788.0,1.2690355329949237
2025-01-01T00:00:00.000,35024,Betton,autres,0.0,12775.0,0.0
2025-01-01T00:00:00.000,35352,Vern-sur-Seiche,métro,0.0,8272.0,0.0
2025-01-01T00:00:00.000,35160,Loutehel,métro,0.0,235.0,0.0
2025-01-01T00:00:00.000,35055,Chantepie,autres,0.0,10378.0,0.0
2025-01-01T00:00:00.000,35196,Mordelles,autres,0.0,7831.0,0.0
