codeDepartement,nomDepartement,codeCirconscription,nomCirconscription,codeCommune,nomCommune,numeroBureauVote,codeBureauVote
35,Ille-et-Vilaine,3505,5ème circonscription,35204,Nouvoitou,0003,35204_0003
35,Ille-et-Vilaine,3501,1ère circonscription,35206,Noyal-Châtillon-sur-Seiche,0001,35206_0001
35,Ille-et-Vilaine,3501,1ère circonscription,35206,Noyal-Châtillon-sur-Seiche,0002,35206_0002
35,Ille-et-Vilaine,3501,1ère circonscription,35206,Noyal-Châtillon-sur-Seiche,0003,35206_0003
35,Ille-et-Vilaine,3501,1ère circonscription,35206,Noyal-Châtillon-sur-Seiche,0004,35206_0004
35,Ille-et-Vilaine,3501,1ère circonscription,35206,Noyal-Châtillon-sur-Seiche,0005,35206_0005
35,Ille-et-Vilaine,3501,1ère circonscription,35206,Noyal-Châtillon-sur-Seiche,0006,35206_0006
35,Ille-et-Vilaine,3501,1ère circonscription,35208,Orgères,0001,35208_0001
35,Ille-et-Vilaine,3501,1ère circonscription,35208,Orgères,0002,35208_0002
35,Ille-et-Vilaine,3501,1ère circonscription,35208,Orgères,0003,35208_0003
35,Ille-et-Vilaine,3501,1ère circonscription,35208,Orgères,0004,35208_0004
35,Ille-et-Vilaine,3501,1ère circonscription,35208,Orgères,0005,35208_0005
35,Ille-et-Vilaine,3503,3ème circonscription,35210,Pacé,0001,35210_0001
35,Ille-et-Vilaine,3503,3ème circonscription,35210,Pacé,0002,35210_0002
35,Ille-et-Vilaine,3503,3ème circonscription,35210,Pacé,0003,35210_0003
35,Ille-et-Vilaine,3503,3ème circonscription,35210,Pacé,0004,35210_0004
35,Ille-et-Vilaine,3503,3ème circonscription,35210,Pacé,0005,35210_0005
35,Ille-et-Vilaine,3503,3ème circonscription,35210,Pacé,0006,35210_0006
35,Ille-et-Vilaine,3503,3ème circonscription,35210,Pacé,0007,35210_0007
35,Ille-et-Vilaine,3503,3ème circonscription,35210,Pacé,0008,35210_0008
35,Ille-et-Vilaine,3503,3ème circonscription,35216,Parthenay-de-Bretagne,0001,35216_0001
35,Ille-et-Vilaine,3506,6ème circonscription,35230,Poilley,0001,35230_0001
35,Ille-et-Vilaine,3505,5ème circonscription,35235,Rannée,0001,35235_0001
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0251,35238_0251
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0252,35238_0252
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0253,35238_0253
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0254,35238_0254
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0311,35238_0311
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0312,35238_0312
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0313,35238_0313
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0314,35238_0314
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0321,35238_0321
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0322,35238_0322
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0323,35238_0323
