seqe_id,account_holder_name,installation_name,parent_company,latitude,longitude,address1,address2,city,zip_code,country,main_activity_type_code,year,emissions,main_activity
193,En'Rnov,En'Rnov,ENGIE ENERGIE SERVICES,0,0,22 Avenue Charles Tillon,NA,Rennes,35000,FR,20,2011,3734,Combustion of fuels
193,En'Rnov,En'Rnov,ENGIE ENERGIE SERVICES,0,0,22 Avenue Charles Tillon,NA,Rennes,35000,FR,20,2012,4532,Combustion of fuels
193,En'Rnov,En'Rnov,ENGIE ENERGIE SERVICES,0,0,22 Avenue Charles Tillon,NA,Rennes,35000,FR,20,2013,6298,Combustion of fuels
193,En'Rnov,En'Rnov,ENGIE ENERGIE SERVICES,0,0,22 Avenue Charles Tillon,NA,Rennes,35000,FR,20,2014,1981,Combustion of fuels
193,En'Rnov,En'Rnov,ENGIE ENERGIE SERVICES,0,0,22 Avenue Charles Tillon,NA,Rennes,35000,FR,20,2015,2017,Combustion of fuels
193,En'Rnov,En'Rnov,ENGIE ENERGIE SERVICES,0,0,22 Avenue Charles Tillon,NA,Rennes,35000,FR,20,2016,3353,Combustion of fuels
193,En'Rnov,En'Rnov,ENGIE ENERGIE SERVICES,0,0,22 Avenue Charles Tillon,NA,Rennes,35000,FR,20,2017,3394,Combustion of fuels
193,En'Rnov,En'Rnov,ENGIE ENERGIE SERVICES,0,0,22 Avenue Charles Tillon,NA,Rennes,35000,FR,20,2018,5118,Combustion of fuels
193,En'Rnov,En'Rnov,ENGIE ENERGIE SERVICES,0,0,22 Avenue Charles Tillon,NA,Rennes,35000,FR,20,2019,2399,Combustion of fuels
193,En'Rnov,En'Rnov,ENGIE ENERGIE SERVICES,0,0,22 Avenue Charles Tillon,NA,Rennes,35000,FR,20,2020,3071,Combustion of fuels
193,En'Rnov,En'Rnov,ENGIE ENERGIE SERVICES,0,0,22 Avenue Charles Tillon,NA,Rennes,35000,FR,20,2021,9224,Combustion of fuels
193,En'Rnov,En'Rnov,ENGIE ENERGIE SERVICES,0,0,22 Avenue Charles Tillon,NA,Rennes,35000,FR,20,2022,18647,Combustion of fuels
193,En'Rnov,En'Rnov,ENGIE ENERGIE SERVICES,0,0,22 Avenue Charles Tillon,NA,Rennes,35000,FR,20,2023,29737,Combustion of fuels
191,ESEO BARRE THOMAS,ESEO BARRE THOMAS - CF GOMMA,ESEO BARRE THOMAS,0,0,194 route de Lorient,NA,Rennes,35000,FR,1,2005,7288,Combustion installations with a rated thermal input exceeding 20 MW
191,ESEO BARRE THOMAS,ESEO BARRE THOMAS - CF GOMMA,ESEO BARRE THOMAS,0,0,194 route de Lorient,NA,Rennes,35000,FR,1,2006,5904,Combustion installations with a rated thermal input exceeding 20 MW
