Rentrée scolaire,Code région,Région,Code de l'académie,Académie,Code du département,Département,Code INSEE de la commune,Nom de la commune,UAI,Nom de l'établissement,Secteur,IPS,IPS national privé,IPS national public,IPS national,IPS académique privé,IPS académique public,IPS académique,IPS départemental privé,IPS départemental public,IPS départemental,num_ligne
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35275,SAINT GILLES,0351369Y,ECOLE PRIMAIRE PRIVEE LE SACRE COEUR,privé sous contrat,128,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41879.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35278,SAINT GREGOIRE,0351372B,ECOLE PRIMAIRE PRIVEE NOTRE DAME,privé sous contrat,139.3,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41880.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0351502T,ECOLE PRIMAIRE PRIVEE ST VINCENT PROVIDENCE,privé sous contrat,143.8,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41919.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0351512D,ECOLE PRIMAIRE PRIVEE STE JEANNE D ARC,privé sous contrat,139.1,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41921.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0351516H,ECOLE PRIMAIRE PRIVEE ST JOSEPH,privé sous contrat,123.1,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41923.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35353,VEZIN LE COQUET,0351619V,ECOLE ELEMENTAIRE PUBLIQUE ERIC TABARLY,public,108.6,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41956.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35144,LANGAN,0351659N,ECOLE PRIMAIRE PUBLIQUE LE VIEUX MUR,public,108.7,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41971.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35334,THORIGNE FOUILLARD,0351765D,ECOLE ELEMENTAIRE PUBLIQUE LES GRANDS PRES VERTS,public,124.6,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,42028.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35131,L HERMITAGE,0351823S,ECOLE ELEMENTAIRE PUBLIQUE EUGENE ALLANIC,public,110.3,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,42041.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35200,MOUTIERS,0351826V,ECOLE PRIMAIRE PRIVEE STE THERESE,privé sous contrat,95.2,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,42042.0
