annee,coderegion,region,codedepartement,departement,codeepci,epci,codeinseecommune,codepostalcommune,commune,code_groupe,groupe_production,sous_groupe_production,production,nb_exp,surfab,surfc1,surfc2,surfc3,surfc123,surfbio
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35001,35690,ACIGNÉ,GCU,Céréales et oléoprotéagineux (yc légumes secs),Céréales,Blé tendre,2,8.91,0,0,0,0,8.91
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35001,35690,ACIGNÉ,GCU,Céréales et oléoprotéagineux (yc légumes secs),Céréales,Mélanges Céréales-légumineuses,1,11.57,0,0,0,0,11.57
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35001,35690,ACIGNÉ,GCU,Céréales et oléoprotéagineux (yc légumes secs),Céréales,Triticale,1,8.1,0,0,0,0,8.1
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35001,35690,ACIGNÉ,LE,Légumes frais,Légumes frais,Légumes frais plein champ,1,0,0,0.8,0,0.8,0.8
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35001,35690,ACIGNÉ,LE,Légumes frais,Légumes frais,Légumes frais sous abris,1,0,0,0.1,0,0.1,0.1
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35001,35690,ACIGNÉ,SF,Surfaces et cultures fourragères,Cultures fourragères,Maïs fourrager,2,7.46,0,0,0,0,7.46
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35001,35690,ACIGNÉ,SF,Surfaces et cultures fourragères,Cultures fourragères,Mélanges fourragers,1,3.68,0,1.37,0,1.37,5.05
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35001,35690,ACIGNÉ,SF,Surfaces et cultures fourragères,Cultures fourragères,Prairie temporaire,3,120.69,0,4.05,0,4.05,124.74
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35001,35690,ACIGNÉ,SF,Surfaces et cultures fourragères,Surfaces toujours en herbe,Prairie permanente,1,8.85,0,0,0,0,8.85
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35024,35830,BETTON,FR,Fruits (yc à coque),Fruits à noyau et à pépins,Autres fruits à pépins et à noyau n.c.a.,1,0.2,0,0,0,0,0.2
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35024,35830,BETTON,GCU,Céréales et oléoprotéagineux (yc légumes secs),Céréales,Mélanges Céréaliers (sans légumineuses),1,11.18,0,0,0,0,11.18
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35024,35830,BETTON,LE,Légumes frais,Légumes frais,Légumes frais plein champ,1,1.7,0,0,0,0,1.7
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35024,35830,BETTON,SF,Surfaces et cultures fourragères,Cultures fourragères,Autres plantes et surfaces fourragères n.c.a.,1,1.2,0,0,0,0,1.2
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35024,35830,BETTON,SF,Surfaces et cultures fourragères,Cultures fourragères,Maïs fourrager,1,3,0,0,0,0,3
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35024,35830,BETTON,SF,Surfaces et cultures fourragères,Cultures fourragères,Prairie temporaire,1,25.08,0,0,0,0,25.08
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35024,35830,BETTON,SF,Surfaces et cultures fourragères,Surfaces toujours en herbe,Prairie permanente,1,15.55,0,0,0,0,15.55
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35032,35230,BOURGBARRÉ,AU,Autres surfaces,Hors liste,"Autres surfaces, parcours collectifs et zones de cueillette",3,1.33,0,0,0,0,1.33
