commune,insee_commune,population,surface_en_ha,couverture_lcz,details_couverture_lcz,epci,siren_epci,departement,insee_departement,region,insee_region
Rennes,35238,220488,5039,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Le Rheu,35240,8932,1889,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Romillé,35245,4032,2867,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Saint-Armel,35250,2206,775,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Saint-Erblon,35266,3311,1093,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Saint-Gilles,35275,5178,2072,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Saint-Grégoire,35278,9890,1730,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Saint-Jacques-de-la-Lande,35281,13948,1183,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Saint-Sauveur-des-Landes,35310,1531,1884,0.00,[hors couverture],CA Fougères Agglomération,200072452,Ille-et-Vilaine,35,Bretagne,53
Saint-Sulpice-la-Forêt,35315,1382,672,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Thorigné-Fouillard,35334,8575,1358,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Le Verger,35351,1436,687,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Vern-sur-Seiche,35352,8169,1970,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Vezin-le-Coquet,35353,6114,786,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Pont-Péan,35363,4413,876,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
