Code Insee,Code postal,latitude,longitude,nom commune,département,région,population 2015,population 2021
35135,35850,48.246152189,-1.95021443067,Irodouër,Ille-et-Vilaine,Bretagne,2231,2284
35136,35150,47.9428950804,-1.50038718382,Janzé,Ille-et-Vilaine,Bretagne,8268,8570
35139,35890,47.9672360017,-1.71452676529,Laillé,Ille-et-Vilaine,Bretagne,5117,5131
35144,35850,48.2363756072,-1.84565830249,Langan,Ille-et-Vilaine,Bretagne,917,1075
35150,35133,48.3600018318,-1.22059471096,Lécousse,Ille-et-Vilaine,Bretagne,3178,3322
35160,35330,47.9372074975,-2.08044398757,Loutehel,Ille-et-Vilaine,Bretagne,263,240
35170,35450,48.2407410676,-1.28545546756,Mecé,Ille-et-Vilaine,Bretagne,601,608
35180,35190,48.2810885875,-1.92727123797,Miniac-sous-Bécherel,Ille-et-Vilaine,Bretagne,755,796
35189,35760,48.1538376773,-1.71729477816,Montgermont,Ille-et-Vilaine,Bretagne,3283,3692
35190,35420,48.5121983633,-1.17562696085,Monthault,Ille-et-Vilaine,Bretagne,271,246
35196,35310,48.0857602983,-1.84210731238,Mordelles,Ille-et-Vilaine,Bretagne,7275,7658
35200,35130,47.9759859892,-1.2051682133,Moutiers,Ille-et-Vilaine,Bretagne,941,910
35204,35410,48.0299058856,-1.55180159639,Nouvoitou,Ille-et-Vilaine,Bretagne,2932,3554
35206,35230,48.0524815273,-1.6633106381,Noyal-Châtillon-sur-Seiche,Ille-et-Vilaine,Bretagne,6911,7631
35206,35230,48.0524815273,-1.6633106381,Noyal-Châtillon-sur-Seiche,Ille-et-Vilaine,Bretagne,6911,7631
35208,35230,47.9853322097,-1.66640026267,Orgères,Ille-et-Vilaine,Bretagne,4258,5471
35210,35740,48.152548244,-1.77716643787,Pacé,Ille-et-Vilaine,Bretagne,11531,11918
35216,35850,48.1884515911,-1.829797127,Parthenay-de-Bretagne,Ille-et-Vilaine,Bretagne,1652,1793
35230,35420,48.4663238804,-1.25699060086,Poilley,Ille-et-Vilaine,Bretagne,387,367
35235,35130,47.9006592126,-1.22652975633,Rannée,Ille-et-Vilaine,Bretagne,1110,1061
35238,35000,48.1119791219,-1.68186449144,Rennes,Ille-et-Vilaine,Bretagne,215366,225081
35238,35200,48.1119791219,-1.68186449144,Rennes,Ille-et-Vilaine,Bretagne,215366,225081
35238,35700,48.1119791219,-1.68186449144,Rennes,Ille-et-Vilaine,Bretagne,215366,225081
35240,35650,48.097397419,-1.78149989185,Le Rheu,Ille-et-Vilaine,Bretagne,8365,9535
35240,35650,48.097397419,-1.78149989185,Le Rheu,Ille-et-Vilaine,Bretagne,8365,9535
35245,35850,48.2223488257,-1.87904298142,Romillé,Ille-et-Vilaine,Bretagne,3878,4119
35250,35230,48.0133072658,-1.58086136058,Saint-Armel,Ille-et-Vilaine,Bretagne,1845,2271
35266,35230,48.019118287,-1.64173794803,Saint-Erblon,Ille-et-Vilaine,Bretagne,2879,3466
35275,35590,48.1520929859,-1.85374690386,Saint-Gilles,Ille-et-Vilaine,Bretagne,4447,5402
35278,35760,48.1588840471,-1.68571943452,Saint-Grégoire,Ille-et-Vilaine,Bretagne,9376,9837
35281,35136,48.0755625884,-1.72405381322,Saint-Jacques-de-la-Lande,Ille-et-Vilaine,Bretagne,12587,13656
35310,35133,48.3469024339,-1.31411458673,Saint-Sauveur-des-Landes,Ille-et-Vilaine,Bretagne,1513,1551
35315,35250,48.21225732,-1.57663512362,Saint-Sulpice-la-Forêt,Ille-et-Vilaine,Bretagne,1339,1499
35334,35235,48.1566082899,-1.58409867633,Thorigné-Fouillard,Ille-et-Vilaine,Bretagne,8381,8582
35351,35160,48.0658260742,-1.93692739781,Le Verger,Ille-et-Vilaine,Bretagne,1445,1419
35352,35770,48.0525245014,-1.60521106164,Vern-sur-Seiche,Ille-et-Vilaine,Bretagne,7871,8233
35353,35132,48.1171829255,-1.74956473355,Vezin-le-Coquet,Ille-et-Vilaine,Bretagne,5401,6337
35363,35131,48.0111348801,-1.69601676125,Pont-Péan,Ille-et-Vilaine,Bretagne,4128,4335
