codgeo,nb_vp,nb_vp_rechargeables_el,date_arrete
35079,2235,64,2023-09-30
35081,807,4,2021-06-30
35081,819,7,2022-03-31
35081,810,13,2022-12-31
35081,830,18,2023-06-30
35081,841,21,2023-09-30
35081,849,26,2023-12-31
35088,3181,25,2021-03-31
35088,3273,46,2022-12-31
35088,3299,46,2023-03-31
35088,3314,46,2023-06-30
35088,3326,53,2023-09-30
35120,4957,37,2021-06-30
35120,5037,55,2022-03-31
35120,5082,73,2022-09-30
35120,5245,119,2023-09-30
35131,4184,19,2021-06-30
35131,4216,27,2021-12-31
35131,4248,31,2022-03-31
35131,4264,53,2022-12-31
35131,4277,62,2023-09-30
35131,4317,76,2023-12-31
35132,1615,5,2020-12-31
35132,1623,6,2021-03-31
35132,1673,10,2022-09-30
35132,1659,14,2023-03-31
35132,1676,17,2023-06-30
35132,1701,19,2023-09-30
35135,2269,6,2021-03-31
35135,2306,9,2021-09-30
35135,2320,18,2022-09-30
35135,2315,22,2023-03-31
35135,2327,31,2023-09-30
35136,8525,140,2023-12-31
35139,5038,70,2022-06-30
35139,5101,89,2023-06-30
35144,1122,4,2021-09-30
35144,1134,5,2022-03-31
35144,1139,7,2022-06-30
35144,1130,11,2023-06-30
35144,1132,16,2023-09-30
35150,3502,31,2021-09-30
35150,3519,35,2021-12-31
35150,3552,44,2022-03-31
35150,3636,56,2022-12-31
35150,3660,67,2023-03-31
35160,277,2,2022-12-31
35160,279,3,2023-03-31
35160,288,3,2023-09-30
35160,283,4,2023-12-31
35170,619,6,2021-09-30
35170,621,7,2022-06-30
35180,811,0,2021-03-31
35180,819,3,2022-12-31
35189,3505,34,2020-12-31
35189,3533,47,2021-09-30
35189,3570,60,2022-06-30
35189,3547,68,2022-09-30
35189,3570,74,2022-12-31
35189,3567,82,2023-03-31
35189,3560,94,2023-06-30
35189,3548,91,2023-09-30
35190,287,1,2021-03-31
35190,284,1,2021-06-30
35190,284,1,2021-12-31
35190,293,3,2023-12-31
35196,7184,34,2020-12-31
35196,7253,47,2021-06-30
35196,7367,78,2022-06-30
35196,7478,109,2023-03-31
35200,908,1,2020-12-31
35200,899,2,2021-03-31
35200,900,3,2021-06-30
35200,904,3,2021-12-31
35200,929,9,2023-06-30
35204,3340,29,2021-03-31
35204,3375,38,2021-09-30
35204,3383,40,2021-12-31
35206,7056,41,2020-12-31
35206,7181,57,2021-06-30
35206,7321,80,2022-03-31
35206,7366,89,2022-06-30
35206,7388,97,2022-09-30
35206,7534,121,2023-03-31
35208,4834,61,2021-12-31
35208,4914,78,2022-12-31
35210,11139,126,2021-06-30
35210,11160,145,2021-09-30
35210,10992,266,2023-03-31
35210,11004,289,2023-06-30
35210,11005,309,2023-09-30
35216,1500,8,2021-06-30
35216,1491,11,2021-12-31
35216,1527,25,2022-12-31
35216,1540,30,2023-09-30
35216,1547,35,2023-12-31
35230,405,3,2021-06-30
35230,396,3,2021-09-30
35230,412,6,2022-09-30
35230,419,10,2023-09-30
35235,1200,2,2021-03-31
35235,1202,3,2021-09-30
35235,1209,6,2022-03-31
35235,1221,12,2023-06-30
35235,1227,13,2023-12-31
35238,155952,888,2020-12-31
35238,156485,1020,2021-03-31
35238,157136,1206,2021-06-30
35238,157170,1340,2021-09-30
35238,157260,1646,2022-03-31
35240,8214,71,2021-06-30
35240,8359,126,2022-09-30
35240,8468,167,2023-06-30
35245,3988,59,2022-06-30
35245,4014,70,2023-03-31
35245,4062,91,2023-12-31
35250,2150,19,2021-12-31
35250,2151,20,2022-03-31
35266,2975,12,2020-12-31
35266,3052,17,2021-09-30
35266,3069,25,2021-12-31
35266,3095,29,2022-03-31
35266,3177,59,2023-09-30
35266,3227,69,2023-12-31
35275,4556,22,2020-12-31
35275,4617,28,2021-03-31
35275,4688,46,2021-12-31
35275,4773,105,2023-09-30
35275,4789,116,2023-12-31
35278,10603,275,2021-03-31
35278,10561,317,2021-06-30
35278,10619,446,2022-09-30
35278,10672,477,2022-12-31
35278,10679,513,2023-03-31
35281,13294,143,2020-12-31
35281,13301,151,2021-03-31
35281,14106,347,2022-06-30
35281,14088,360,2022-09-30
35281,14121,387,2022-12-31
35281,14252,439,2023-06-30
35310,1301,8,2020-12-31
35310,1338,9,2021-12-31
35310,1343,9,2022-03-31
35310,1339,10,2022-06-30
35310,1353,11,2022-09-30
35315,1533,13,2021-06-30
35315,1546,18,2021-09-30
35315,1543,27,2022-03-31
35315,1557,36,2023-03-31
35315,1554,41,2023-12-31
35334,7555,109,2021-12-31
35334,7554,142,2022-06-30
35351,1345,3,2021-03-31
35351,1346,3,2021-06-30
35351,1339,10,2022-12-31
35351,1337,14,2023-06-30
35351,1345,15,2023-09-30
35351,1349,15,2023-12-31
35352,8420,56,2020-12-31
35352,8506,111,2021-12-31
35352,8525,165,2022-09-30
35352,8531,202,2023-03-31
35352,8577,225,2023-06-30
35352,8636,235,2023-09-30
35353,4679,33,2020-12-31
35353,4820,64,2022-06-30
35353,4840,67,2022-09-30
35353,4898,93,2023-06-30
35363,4053,39,2021-06-30
35363,4081,44,2021-12-31
35363,4099,49,2022-03-31
35363,4101,75,2022-12-31
35363,4104,86,2023-06-30
35001,6243,56,2020-12-31
35001,6350,98,2021-12-31
35001,6348,108,2022-03-31
35001,6350,116,2022-09-30
35001,6350,123,2022-12-31
35001,6413,149,2023-06-30
35001,6423,159,2023-09-30
35022,819,1,2021-09-30
35022,851,7,2022-03-31
35022,846,9,2023-03-31
35024,11158,122,2021-09-30
35024,11313,185,2022-09-30
35024,11496,270,2023-09-30
35032,4258,29,2020-12-31
35032,4365,53,2021-12-31
35032,4386,60,2022-03-31
35032,4407,75,2022-09-30
35032,4483,91,2023-03-31
35039,2028,15,2021-03-31
35039,2096,37,2022-03-31
35039,2117,49,2022-06-30
35039,2181,74,2023-03-31
35039,2203,85,2023-09-30
35039,2216,91,2023-12-31
35047,17616,313,2021-09-30
35047,17927,397,2021-12-31
35047,18029,577,2023-03-31
35047,17988,592,2023-06-30
35047,18011,638,2023-09-30
35047,18072,690,2023-12-31
35051,20420,472,2021-06-30
35051,20380,493,2021-09-30
35051,20289,550,2021-12-31
35051,20423,559,2022-06-30
35051,21007,785,2023-03-31
35051,21156,861,2023-06-30
35055,9121,66,2020-12-31
35055,9286,81,2021-06-30
35055,9438,110,2021-12-31
