date_mesure,geocode_commune,libelle_commune,valeur
2022-01-01T00:00:00.000,35230,Poilley,167.6316312264995
2011-01-01T00:00:00.000,35081,Clayes,227.9646017699111
2016-01-01T00:00:00.000,35081,Clayes,296.85271514344413
2011-01-01T00:00:00.000,35160,Loutehel,95.4232558139533
2011-01-01T00:00:00.000,35059,La Chapelle-des-Fougeretz,1514.967395758762
2016-01-01T00:00:00.000,35080,Cintré,789.39571388215
2016-01-01T00:00:00.000,35088,Corps-Nuds,1182.8494756323262
2022-01-01T00:00:00.000,35144,Langan,409.8953968288
2011-01-01T00:00:00.000,35208,Orgères,1448.64572425829
2016-01-01T00:00:00.000,35139,Laillé,1837.614864993791
2022-01-01T00:00:00.000,35352,Vern-sur-Seiche,3363.99340535207
2016-01-01T00:00:00.000,35216,Parthenay-de-Bretagne,570.667089266656
2016-01-01T00:00:00.000,35204,Nouvoitou,1116.8525492339909
2016-01-01T00:00:00.000,35079,Chevaigné,816.5516281589239
2011-01-01T00:00:00.000,35136,Janzé,2914.0
2011-01-01T00:00:00.000,35351,Le Verger,500.40290639438604
2011-01-01T00:00:00.000,35066,Chartres-de-Bretagne,3015.53395249015
2016-01-01T00:00:00.000,35066,Chartres-de-Bretagne,3257.61133649197
2011-01-01T00:00:00.000,35039,Brécé,656.451482974999
2016-01-01T00:00:00.000,35238,Rennes,78614.5743007246
2016-01-01T00:00:00.000,35059,La Chapelle-des-Fougeretz,1786.759490892802
2016-01-01T00:00:00.000,35150,Lécousse,1264.273203302356
2011-01-01T00:00:00.000,35210,Pacé,3884.44881021157
2011-01-01T00:00:00.000,35235,Rannée,432.699375557537
2022-01-01T00:00:00.000,35353,Vezin-le-Coquet,2262.0
2011-01-01T00:00:00.000,35131,L'Hermitage,1459.708335659599
2022-01-01T00:00:00.000,35315,Saint-Sulpice-la-Forêt,580.0
2022-01-01T00:00:00.000,35190,Monthault,109.311862333995
2022-01-01T00:00:00.000,35240,Le Rheu,3895.0
2011-01-01T00:00:00.000,35170,Mecé,213.8596491228063
2016-01-01T00:00:00.000,35266,Saint-Erblon,1135.0194798635812
2011-01-01T00:00:00.000,35240,Le Rheu,2892.0
2016-01-01T00:00:00.000,35076,Chavagne,1510.6745792300221
2022-01-01T00:00:00.000,35039,Brécé,799.913135427614
2011-01-01T00:00:00.000,35200,Moutiers,310.0
2016-01-01T00:00:00.000,35206,Noyal-Châtillon-sur-Seiche,2807.02933333387
2016-01-01T00:00:00.000,35196,Mordelles,2940.0
2011-01-01T00:00:00.000,35032,Bourgbarré,1216.291142627776
2022-01-01T00:00:00.000,35278,Saint-Grégoire,4039.90139760083
2022-01-01T00:00:00.000,35200,Moutiers,337.0
2022-01-01T00:00:00.000,35351,Le Verger,516.087545324022
2011-01-01T00:00:00.000,35001,Acigné,2262.0
2016-01-01T00:00:00.000,35200,Moutiers,317.0
2011-01-01T00:00:00.000,35315,Saint-Sulpice-la-Forêt,490.0
2022-01-01T00:00:00.000,35208,Orgères,2125.6229832580398
2011-01-01T00:00:00.000,35238,Rennes,76912.9426699582
2016-01-01T00:00:00.000,35235,Rannée,442.423572744016
2016-01-01T00:00:00.000,35051,Cesson-Sévigné,7002.6160771469495
2011-01-01T00:00:00.000,35206,Noyal-Châtillon-sur-Seiche,2486.897408373
2011-01-01T00:00:00.000,35190,Monthault,98.8142292490119
2016-01-01T00:00:00.000,35131,L'Hermitage,1635.960620167485
2022-01-01T00:00:00.000,35245,Romillé,1568.294270247423
2022-01-01T00:00:00.000,35235,Rannée,453.495166439865
2022-01-01T00:00:00.000,35079,Chevaigné,911.7847171223559
2016-01-01T00:00:00.000,35065,La Chapelle-Thouarault,810.3065996340999
2016-01-01T00:00:00.000,35047,Bruz,6991.37733700465
2011-01-01T00:00:00.000,35076,Chavagne,1397.692027115772
2022-01-01T00:00:00.000,35055,Chantepie,4363.81924937081
2011-01-01T00:00:00.000,35065,La Chapelle-Thouarault,691.2772585669791
2011-01-01T00:00:00.000,35216,Parthenay-de-Bretagne,473.094339622641
2011-01-01T00:00:00.000,35135,Irodouër,706.767245657569
2016-01-01T00:00:00.000,35210,Pacé,4469.751517165299
2011-01-01T00:00:00.000,35281,Saint-Jacques-de-la-Lande,4247.0
2022-01-01T00:00:00.000,35022,Bécherel,275.514223030518
2016-01-01T00:00:00.000,35334,Thorigné-Fouillard,3117.9474808569303
2011-01-01T00:00:00.000,35230,Poilley,151.0753246753246
2022-01-01T00:00:00.000,35076,Chavagne,1812.841954042176
2016-01-01T00:00:00.000,35180,Miniac-sous-Bécherel,274.190051020408
2011-01-01T00:00:00.000,35080,Cintré,702.6192794547251
2011-01-01T00:00:00.000,35196,Mordelles,2827.0
2016-01-01T00:00:00.000,35039,Brécé,735.768210753796
2022-01-01T00:00:00.000,35088,Corps-Nuds,1341.580812638943
2011-01-01T00:00:00.000,35051,Cesson-Sévigné,6206.73963586263
2016-01-01T00:00:00.000,35250,Saint-Armel,766.348057424233
2011-01-01T00:00:00.000,35079,Chevaigné,651.708378672471
2011-01-01T00:00:00.000,35310,Saint-Sauveur-des-Landes,458.185125192712
2022-01-01T00:00:00.000,35135,Irodouër,849.707215009919
2022-01-01T00:00:00.000,35120,Gévezé,2258.477140284886
2022-01-01T00:00:00.000,35216,Parthenay-de-Bretagne,643.883891821439
2022-01-01T00:00:00.000,35001,Acigné,2787.0
2011-01-01T00:00:00.000,35150,Lécousse,1173.1552473018169
2016-01-01T00:00:00.000,35024,Betton,4339.09003176589
2022-01-01T00:00:00.000,35059,La Chapelle-des-Fougeretz,1790.8681122712119
2011-01-01T00:00:00.000,35250,Saint-Armel,686.3507972665129
2022-01-01T00:00:00.000,35081,Clayes,337.121506900308
2022-01-01T00:00:00.000,35363,Pont-Péan,1727.356724373244
2016-01-01T00:00:00.000,35208,Orgères,1672.803676051802
2022-01-01T00:00:00.000,35132,Hirel,597.798272751256
2016-01-01T00:00:00.000,35240,Le Rheu,3304.0
2011-01-01T00:00:00.000,35334,Thorigné-Fouillard,2625.9287999217604
2016-01-01T00:00:00.000,35352,Vern-sur-Seiche,2992.49304002695
2022-01-01T00:00:00.000,35139,Laillé,1936.689829189147
2022-01-01T00:00:00.000,35150,Lécousse,1424.3520300801028
2022-01-01T00:00:00.000,35266,Saint-Erblon,1441.570249994923
2022-01-01T00:00:00.000,35180,Miniac-sous-Bécherel,291.689764841574
2011-01-01T00:00:00.000,35352,Vern-sur-Seiche,2896.08779741729
2016-01-01T00:00:00.000,35230,Poilley,159.75401069518642
2016-01-01T00:00:00.000,35315,Saint-Sulpice-la-Forêt,486.0
2016-01-01T00:00:00.000,35055,Chantepie,4323.35604497896
2016-01-01T00:00:00.000,35120,Gévezé,1912.990025778431
2022-01-01T00:00:00.000,35066,Chartres-de-Bretagne,3776.57242580391
2022-01-01T00:00:00.000,35170,Mecé,233.38790631534567
2022-01-01T00:00:00.000,35065,La Chapelle-Thouarault,877.700767743308
2022-01-01T00:00:00.000,35024,Betton,5098.77666192779
2016-01-01T00:00:00.000,35310,Saint-Sauveur-des-Landes,477.76607503560297
2011-01-01T00:00:00.000,35024,Betton,3864.0
2011-01-01T00:00:00.000,35204,Nouvoitou,1001.317699579178
2016-01-01T00:00:00.000,35132,Hirel,551.1760760440679
2016-01-01T00:00:00.000,35058,La Chapelle-Chaussée,429.93391030684495
2022-01-01T00:00:00.000,35032,Bourgbarré,1750.870757269875
2016-01-01T00:00:00.000,35136,Janzé,3073.0
2016-01-01T00:00:00.000,35278,Saint-Grégoire,3738.51723540909
2016-01-01T00:00:00.000,35160,Loutehel,100.03156644052561
2016-01-01T00:00:00.000,35281,Saint-Jacques-de-la-Lande,5194.9897737721
2022-01-01T00:00:00.000,35281,Saint-Jacques-de-la-Lande,5677.15276353749
2011-01-01T00:00:00.000,35132,Hirel,525.94375892891
2022-01-01T00:00:00.000,35058,La Chapelle-Chaussée,464.52478398282096
2022-01-01T00:00:00.000,35310,Saint-Sauveur-des-Landes,512.519165939985
2022-01-01T00:00:00.000,35051,Cesson-Sévigné,7965.43422734217
2011-01-01T00:00:00.000,35278,Saint-Grégoire,3390.66453893266
2016-01-01T00:00:00.000,35351,Le Verger,497.000156935976
2022-01-01T00:00:00.000,35080,Cintré,897.596810999052
2011-01-01T00:00:00.000,35139,Laillé,1517.469505194491
2022-01-01T00:00:00.000,35210,Pacé,4674.76813200027
2011-01-01T00:00:00.000,35047,Bruz,6116.07446061012
2022-01-01T00:00:00.000,35238,Rennes,82493.3948997269
2016-01-01T00:00:00.000,35275,Saint-Gilles,1826.9809250427938
2011-01-01T00:00:00.000,35363,Pont-Péan,1296.8939765873051
2022-01-01T00:00:00.000,35334,Thorigné-Fouillard,3401.61941215159
2022-01-01T00:00:00.000,35250,Saint-Armel,960.233991257362
2011-01-01T00:00:00.000,35144,Langan,329.440347071584
