batiment_groupe_id;code_departement_insee;millesime;nb_pdl_res;nb_pdl_pro;nb_pdl_tot;conso_res;conso_pro;conso_tot;conso_res_par_pdl;conso_pro_par_pdl;conso_tot_par_pdl
bdnb-bg-1MDL-6QET-3MDU;35;2020;61.000;0.000;61.000;40491.700;0.000;40491.700;663.798;;663.798
bdnb-bg-1MDL-6QET-3MDU;35;2021;59.000;0.000;59.000;39113.000;0.000;39113.000;662.932;;662.932
bdnb-bg-1MDL-6QET-3MDU;35;2022;58.000;0.000;58.000;31885.700;0.000;31885.700;549.753;;549.753
bdnb-bg-1MDL-6QET-3MDU;35;2023;53.000;0.000;53.000;31154.100;0.000;31154.100;587.813;;587.813
bdnb-bg-1MDL-6QET-3MDU;35;2024;55.000;0.000;55.000;31035.900;0.000;31035.900;564.289;;564.289
bdnb-bg-1MXL-LAA3-9TRA;35;2018;22.000;0.000;22.000;127562.900;0.000;127562.900;5798.314;;5798.314
bdnb-bg-1MXL-LAA3-9TRA;35;2019;22.000;0.000;22.000;130676.900;0.000;130676.900;5939.859;;5939.859
bdnb-bg-1MXL-LAA3-9TRA;35;2020;22.000;0.000;22.000;123257.100;0.000;123257.100;5602.595;;5602.595
bdnb-bg-1MXL-LAA3-9TRA;35;2021;22.000;0.000;22.000;142971.500;0.000;142971.500;6498.705;;6498.705
bdnb-bg-1MXL-LAA3-9TRA;35;2022;22.000;0.000;22.000;110508.800;0.000;110508.800;5023.127;;5023.127
bdnb-bg-1MXL-LAA3-9TRA;35;2023;22.000;0.000;22.000;108971.000;0.000;108971.000;4953.227;;4953.227
bdnb-bg-1MXL-LAA3-9TRA;35;2024;22.000;0.000;22.000;114656.600;0.000;114656.600;5211.664;;5211.664
bdnb-bg-1NLN-GPDG-TGDX;35;2018;23.000;0.000;23.000;123245.700;0.000;123245.700;5358.509;;5358.509
bdnb-bg-1NLN-GPDG-TGDX;35;2019;23.000;0.000;23.000;118681.600;0.000;118681.600;5160.070;;5160.070
bdnb-bg-1NLN-GPDG-TGDX;35;2020;23.000;0.000;23.000;111853.600;0.000;111853.600;4863.200;;4863.200
bdnb-bg-1NLN-GPDG-TGDX;35;2021;23.000;0.000;23.000;123152.500;0.000;123152.500;5354.457;;5354.457
bdnb-bg-1NLN-GPDG-TGDX;35;2022;23.000;0.000;23.000;104911.900;0.000;104911.900;4561.387;;4561.387
bdnb-bg-1NLN-GPDG-TGDX;35;2023;23.000;0.000;23.000;105132.000;0.000;105132.000;4570.957;;4570.957
bdnb-bg-1NLN-GPDG-TGDX;35;2024;23.000;0.000;23.000;105238.700;0.000;105238.700;4575.596;;4575.596
bdnb-bg-1P6P-XSRP-DB4F;35;2018;13.000;1.000;14.000;1992.200;452256.900;454249.100;153.246;452256.900;32446.364
bdnb-bg-1P6P-XSRP-DB4F;35;2019;12.000;1.000;13.000;2055.100;453724.000;455779.100;171.258;453724.000;35059.931
bdnb-bg-1P6P-XSRP-DB4F;35;2020;12.000;1.000;13.000;2102.800;431487.600;433590.400;175.233;431487.600;33353.108
bdnb-bg-1P6P-XSRP-DB4F;35;2021;11.000;0.000;11.000;465163.500;0.000;465163.500;42287.591;;42287.591
bdnb-bg-1P6P-XSRP-DB4F;35;2022;1.000;0.000;1.000;400608.100;0.000;400608.100;400608.100;;400608.100
bdnb-bg-1P6P-XSRP-DB4F;35;2023;1.000;0.000;1.000;407322.500;0.000;407322.500;407322.500;;407322.500
bdnb-bg-1P6P-XSRP-DB4F;35;2024;1.000;0.000;1.000;438021.900;0.000;438021.900;438021.900;;438021.900
bdnb-bg-1PSJ-XCQB-N1SA;35;2018;12.000;0.000;12.000;78165.300;0.000;78165.300;6513.775;;6513.775
bdnb-bg-1PSJ-XCQB-N1SA;35;2019;12.000;0.000;12.000;72614.700;0.000;72614.700;6051.225;;6051.225
bdnb-bg-1PSJ-XCQB-N1SA;35;2020;12.000;0.000;12.000;69755.800;0.000;69755.800;5812.983;;5812.983
bdnb-bg-1PSJ-XCQB-N1SA;35;2021;12.000;0.000;12.000;84433.400;0.000;84433.400;7036.117;;7036.117
