batiment_groupe_id;code_departement_insee;nb_classe_bilan_dpe_a;nb_classe_bilan_dpe_b;nb_classe_bilan_dpe_c;nb_classe_bilan_dpe_d;nb_classe_bilan_dpe_e;nb_classe_bilan_dpe_f;nb_classe_bilan_dpe_g;nb_classe_conso_energie_arrete_2012_a;nb_classe_conso_energie_arrete_2012_b;nb_classe_conso_energie_arrete_2012_c;nb_classe_conso_energie_arrete_2012_d;nb_classe_conso_energie_arrete_2012_e;nb_classe_conso_energie_arrete_2012_f;nb_classe_conso_energie_arrete_2012_g;nb_classe_conso_energie_arrete_2012_nc
bdnb-bg-JKEN-BX9Z-YQAA;35;0;18;85;0;0;0;0;0;13;7;0;0;0;0;0
bdnb-bg-JY1V-8CDH-A21N;35;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
bdnb-bg-87QK-72BC-6V4D;35;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
bdnb-bg-8WEN-TDGU-KFBB;35;0;0;32;32;7;0;0;0;0;9;22;6;2;0;3
bdnb-bg-KJPZ-94KH-B2J8;35;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0
bdnb-bg-J7QX-RMZH-DQTP;35;0;0;3;3;0;0;0;0;0;0;5;2;0;0;0
bdnb-bg-LNH1-P8LX-K9VQ;35;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
bdnb-bg-T45D-61BF-5XH4;35;0;0;0;15;5;1;0;0;1;1;9;6;3;0;0
bdnb-bg-6EH9-6N7C-5Y9U;35;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
bdnb-bg-Z748-LK97-JZW8;35;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
bdnb-bg-FGKU-QDRQ-4AUQ;35;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
bdnb-bg-7SKL-F3WS-TABA;35;0;1;8;0;0;0;0;0;3;0;5;3;0;0;0
bdnb-bg-UTGC-BFQN-CJ7M;35;0;0;6;3;0;0;0;0;1;4;0;0;0;0;0
bdnb-bg-75J9-DZ1Z-7ZLH;35;1;0;0;0;0;0;0;0;1;1;0;3;0;0;1
bdnb-bg-FRNC-ANLN-BFRZ;35;1;0;0;0;0;0;0;0;1;1;0;3;0;0;1
bdnb-bg-UTNV-RVPX-J8DX;35;1;0;0;0;0;0;0;0;1;1;0;3;0;0;1
bdnb-bg-R2WV-DD1N-ALQ4;35;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
bdnb-bg-U3W9-QYKT-VUGT;35;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
bdnb-bg-1Z58-DYFZ-3HAA;35;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
bdnb-bg-GVXF-NM9S-ACC1;35;0;1;8;6;1;4;0;0;0;6;6;0;1;0;3
bdnb-bg-18LH-EK6G-XQJS;35;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
bdnb-bg-218U-NXJM-QKAM;35;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
bdnb-bg-9CNA-P8SM-JU9X;35;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
