batiment_groupe_id;code_departement_insee;identifiant_dpe;type_dpe_tertiaire;source_nouvelle_base_ademe;version;date_etablissement_dpe;date_reception_dpe;annee_construction_dpe;shon;surface_utile;classe_conso_energie_dpe_tertiaire;classe_emission_ges_dpe_tertiaire;conso_dpe_tertiaire_ep_m2;emission_ges_dpe_tertiaire_m2;categorie_erp_dpe_tertiaire;periode_construction_dpe;type_erp_dpe_tertiaire;methode_application_dpe_tertiaire;sous_modele_dpe_tertiaire;type_energie_chauffage;type_energie_ecs;type_energie_climatisation;derniere_annee_consommation;conso_autre_fossile;conso_bois;conso_electricite;conso_fioul;conso_gaz;conso_gpl_butane_propane;conso_reseau_chaleur;conso_reseau_froid
bdnb-bg-M8EW-SB5U-RHMW;35;1735V4000068S;dpe 2006 tertiaire et erp;0;;;2017/04/21 00:00:00;1947;810;;B;C;85;20;;avant 1948;;dpe tertiaire facture;;;;;;;;;;;;;
bdnb-bg-M9LB-G76X-P93A;35;2335T0247159D;dpe 2006 tertiaire et erp;1;2.2;2023/01/25 23:00:00;2023/01/26 07:47:41.534;2006;317;;;;;;5ème catégorie;2006-2012;autres tertiaires non erp;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-M9QT-LP5Q-LCHA;35;1935V4000234P;dpe 2006 tertiaire et erp;0;;;2019/10/02 00:00:00;1947;72;;;;;;;avant 1948;;dpe tertiaire vierge;;gaz;electricite;;;;;;;;;;
bdnb-bg-MAJF-2T6M-GDPB;35;2035V7000041G;dpe 2006 tertiaire et erp;0;;;2020/02/26 00:00:00;1947;1880;;;;;;;avant 1948;;dpe tertiaire vierge;;gaz;gaz;;;;;;;;;;
bdnb-bg-MEPF-WL9Q-ACWP;35;1835V8000523T;dpe 2006 tertiaire et erp;0;;;2018/11/29 00:00:00;1947;137.5;;;;;;;avant 1948;;dpe tertiaire vierge;;electricite;electricite;electricite;;;;;;;;;
bdnb-bg-MF5E-GFC6-6E48;35;2235T1368871W;dpe 2006 tertiaire et erp;1;2.1;2022/06/19 22:00:00;2022/06/20 09:57:23.435;;48;;;;;;5ème catégorie;1948-1974;j : structures d’accueil pour personnes âgées ou personnes handicapées;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-MFUB-4JGY-R4LJ;35;2435T3797894X;dpe 2006 tertiaire et erp;1;2.4;2024/10/27 23:00:00;2024/10/28 16:50:45.635;;186.7;;;;;;5ème catégorie;avant 1948;locaux d'entreprise (bureaux);dpe tertiaire vierge dans un bâtiment de logement;bureaux, services administratifs, enseignement;;;;;;;;;;;;
bdnb-bg-MN1U-BMJX-MAWT;35;1635P6000003C;dpe 2006 tertiaire et erp;0;;;2016/06/24 00:00:00;1988;;409.09;;;;;;1983-1988;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-MPBV-Q16J-UR2R;35;2435T1115842B;dpe 2006 tertiaire et erp;1;2.3;2024/03/26 23:00:00;2024/03/27 16:38:12.541;;330;;;;;;5ème catégorie;avant 1948;autres tertiaires non erp;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-MQ4W-WNCU-APSN;35;2235T0592969M;dpe 2006 tertiaire et erp;1;2.1;2022/03/22 23:00:00;2022/03/23 17:17:37.245;1948;400;;;;;;5ème catégorie;1948-1974;u : établissements de soins;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-MVWX-9L4Y-RHFY;35;2435T1552462D;dpe 2006 tertiaire et erp;1;2.3;2024/04/28 22:00:00;2024/04/29 17:20:07.893;1982;36.02;;;;;;5ème catégorie;1978-1982;locaux d'entreprise (bureaux);dpe tertiaire vierge dans un bâtiment de logement;;;;;;;;;;;;;
bdnb-bg-MW52-ALJE-K9S6;35;2535T3907237L;dpe 2006 tertiaire et erp;1;2.5;2025/12/11 23:00:00;2025/12/12 16:46:06.761;2019;262;222;C;B;134;4;;2013-2021;autres tertiaires non erp;dpe tertiaire facture;autres;;electricite;;2025;;;12951;;;;;
bdnb-bg-MWSQ-ML5X-Q5J6;35;1435V8000473T;dpe 2006 tertiaire et erp;0;;;2014/12/29 00:00:00;1947;;17;;;;;;avant 1948;m : magasins de vente, centres commerciaux;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-MX7A-HK7L-DX87;35;2235T2681176D;dpe 2006 tertiaire et erp;1;2.2;2022/11/13 23:00:00;2022/11/14 08:02:56.481;;453.1;;;;;;5ème catégorie;2013-2021;locaux d'entreprise (bureaux);dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-MX9W-W4GQ-CWS9;35;2535T2016403B;dpe 2006 tertiaire et erp;1;2.4;2025/06/18 22:00:00;2025/06/19 15:04:04.572;;42.99;;;;;;5ème catégorie;2006-2012;m : magasins de vente, centres commerciaux;dpe tertiaire vierge dans un bâtiment de logement;autres;;;;;;;;;;;;
bdnb-bg-MXYS-Y8QX-XCNL;35;1835V3000009;dpe 2006 tertiaire et erp;0;;;2018/02/19 00:00:00;1947;115;;;;;;;avant 1948;;dpe tertiaire vierge;;gaz;gaz;electricite;;;;;;;;;
bdnb-bg-M2D9-TRBE-7WRC;35;1435V8000176T;dpe 2006 tertiaire et erp;0;;;2014/05/15 00:00:00;1800;;72;;;;;;avant 1948;;dpe tertiaire vierge;;gaz;electricite;;;;;;;;;;
bdnb-bg-M2KL-UCVW-61H6;35;1935V4000225;dpe 2006 tertiaire et erp;0;;;2019/09/25 00:00:00;1947;;31.7;;;;;;avant 1948;m : magasins de vente, centres commerciaux;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-M2XH-YKEJ-3PYE;35;2535T1970317N;dpe 2006 tertiaire et erp;1;2.4;2025/06/15 22:00:00;2025/06/16 16:55:07.596;1949;27.57;27.57;;;;;;avant 1948;w : administrations, banques, bureaux;dpe tertiaire vierge dans un bâtiment de logement;bureaux, services administratifs, enseignement;;;;;;;;;;;;
bdnb-bg-M3CT-QCX8-HH6C;35;1735V7000066;dpe 2006 tertiaire et erp;0;;;2017/06/02 00:00:00;1978;;;;;;;;1978-1982;;dpe tertiaire vierge;;gaz;gaz;;;;;;;;;;
bdnb-bg-M457-2S98-VHRQ;35;1735V8000288A;dpe 2006 tertiaire et erp;0;;;2017/05/24 00:00:00;;240;;;;;;;;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-M4G5-S7Y5-M4SW;35;1535V4000279U;dpe 2006 tertiaire et erp;0;;;2015/12/23 00:00:00;1982;;;;;;;;1978-1982;;dpe tertiaire vierge;;gaz;electricite;;;;;;;;;;
bdnb-bg-M4HU-9L1D-7GM9;35;2235T3192593A;dpe 2006 tertiaire et erp;1;2.2;2022/12/29 23:00:00;2022/12/30 13:41:54.045;;111.63;;;;;;5ème catégorie;avant 1948;m : magasins de vente, centres commerciaux;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-MAZX-A29L-A5J9;35;1535V8000289@;dpe 2006 tertiaire et erp;0;;;2015/07/03 00:00:00;1974;;3229;;;;;1ère catégorie;1948-1974;;dpe tertiaire vierge;;electricite;electricite;electricite;;;;;;;;;
bdnb-bg-MB9B-3DBB-Z4HD;35;1835V8000086X;dpe 2006 tertiaire et erp;0;;;2018/03/01 00:00:00;1947;242.53;;;;;;;avant 1948;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-MDG9-952N-YRS7;35;2335T1970586U;dpe 2006 tertiaire et erp;1;2.2;2023/06/13 22:00:00;2023/06/14 06:23:52.987;;47;;;;;;5ème catégorie;avant 1948;m : magasins de vente, centres commerciaux;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-MH1T-SFNT-9511;35;2335T2367883L;dpe 2006 tertiaire et erp;1;2.3;2023/07/12 22:00:00;2023/07/13 07:11:12.668;;66;;;;;;5ème catégorie;2001-2005;w : administrations, banques, bureaux;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-MJWS-JRWW-6PDL;35;2235T0485668N;dpe 2006 tertiaire et erp;1;2.1;2022/03/09 23:00:00;2022/03/10 15:38:16.977;1948;1700;;;;;;5ème catégorie;1948-1974;autres tertiaires non erp;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-MK4Y-Y93Z-937J;35;1735V8000579D;dpe 2006 tertiaire et erp;0;;;2017/11/25 00:00:00;1947;25;;G;C;639;20;;avant 1948;;dpe tertiaire facture;;;electricite;;;;;;;;;;
bdnb-bg-MKMG-J5W8-8WZ4;35;1435V7000016L;dpe 2006 tertiaire et erp;0;;;2014/02/17 00:00:00;1947;56.15;;;;;;;avant 1948;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-MSSZ-ZXLR-A6B8;35;1535V8000407R;dpe 2006 tertiaire et erp;0;;;2015/09/23 00:00:00;1974;;1000;;;;;1ère catégorie;1948-1974;;dpe tertiaire vierge;;gaz;electricite;;;;;;;;;;
bdnb-bg-MT2E-7JPD-8MCG;35;2535T1458789J;dpe 2006 tertiaire et erp;1;2.4;2025/04/28 22:00:00;2025/04/29 18:56:31.806;;747.98;;;;;;5ème catégorie;2013-2021;j : structures d’accueil pour personnes âgées ou personnes handicapées;dpe tertiaire vierge;bâtiments à occupation continue;;;;;;;;;;;;
