id,id_ex,siret,rup_mi,gestion,date_creat,date_decla,date_publi,date_disso,nature,groupement,titre,titre_court,objet,objet_social1,objet_social2,adrs_complement,adrs_numvoie,adrs_repetition,adrs_typevoie,adrs_libvoie,adrs_distrib,adrs_codeinsee,adrs_codepostal,adrs_libcommune,adrg_declarant,adrg_complemid,adrg_complemgeo,adrg_libvoie,adrg_distrib,adrg_codepostal,adrg_achemine,adrg_pays,dir_civilite,siteweb,publiweb,observation,position,maj_time
W562006254,0562004395,,,353P,2001-04-27,2025-01-07,0001-01-01,0001-01-01,D,S,ATOO,ATOO,"apporter a ses adherents, son concours en vue de lelaboration des programmes de formation continue de leur personnel et de la mise en oeuvre de ces programmes. les moyens dactions de lassociation sont constitues par lorganisation de cours, conferences, stages et cycles de formation professionnelle de tous ordres a lusage de toutes les personnes et des adherents.",015000,002020,,2,,AV,de Ker Lann,,35047,35170,Bruz,,,CENTRE DAFFAIRES ODYSSeE,ZAC CICe-BLOSSAC,,35170,BRUZ,FRANCE,PF,,0,Reprise  =>  date ag=0000-00-00,A,2025-01-13 13:55:57
W563000354,0563341440,,,353P,2007-07-16,2019-11-19,2007-08-04,0001-01-01,D,S,SOFIA LABEL,SOFIA LABEL,"Developpement des carrieres de Lili Cros et thierry Chazelle , artistes. Utiliser tous les moyens de promotion , production et diffusion de leurs creations artistiques : production de spectacles vivants , production de disques , audio visuelle , edition musicale , fabrication et commercialisation dobjets promotionnels ...",014000,000000,,10 Bis,,SQ,de Nimegue,,35238,35200,Rennes,,,,La Ville Morvan,,56130,NIVILLAC,FRANCE,PF,,0,Reprise  =>  date ag=0000-00-00,A,2020-05-20 20:00:03
W563000755,0563338110,,,353P,1980-03-19,2023-03-16,1901-07-01,0001-01-01,D,S,UNION NATIONALE DES ASSOCIATIONS DE LAVIATION LEGERE DE LARMEE DE TERRE   GROUPEMENT OUEST,ASSOCIATION DES ANCIENS DE LAVIAT...,A,038000,000000,,4,,RUE,de lOrguenais,,35047,35170,Bruz,,,,4 RUE DE LORGUENAIS,,35170,BRUZ,FRANCE,PM,,0,Reprise  =>  date ag=0000-00-00,A,2023-09-15 18:00:02
W563000904,0563340922,,,353P,2006-03-06,2023-05-16,2006-04-08,0001-01-01,D,S,SAN  JYLA  SO,SAN  JYLA  SO,management de groupe et organisations de concerts,007000,000000,,22,,RUE,D Aiguillon,,35238,35200,Rennes,,,,150 RUE DE CHATEAUGIRON,,35000,RENNES,FRANCE,PF,,0,Reprise  =>  date ag=0000-00-00,A,2023-11-15 19:03:13
W563001036,0563341689,,,353P,2008-03-12,2019-11-20,2008-04-05,0001-01-01,D,S,ARS NOMADIS,ARS NOMADIS,"rassembler des personnes autour dun interet porte a la creation artistique, lespace public, et les rapports entre arts et societe  Ars Nomadis a pour objet : la creation et la diffusion duvres artistiques en France et a lEtranger  lorganisation devenements culturels, de projets de cooperation ou de solidarite internationale  la recherche en lien avec le secteur universitaire  laccompagnement, le conseil et la formation au montage et a la mise en oeuvre de projets culturels  elle peut mener toute operation lui permettant de realiser cet objet",014000,000000,,32,,BD,Villebois Mareuil,,35238,35000,Rennes,,,,32 BOULEVARD VILLEBOIS MAREUIL,,35000,RENNES,FRANCE,PM,,0,W563001035,A,2020-05-21 20:00:04
W563001572,0563340715,,,353P,2005-09-13,2023-07-03,2005-10-08,0001-01-01,D,S,ASPECT BRETAGNE - ASSOCIATION POUR LA PROMOTION DE LAPPRENTISSAGE DE LENSEIGNEMENT CATHOLIQUE TECHNOLOGIQUE PROFESSIONNEL ET AGRICOLE EN BRETAGNE,ASPECT BRETAGNE,"aider les etablissements et leurs associations responsables a concevoir et mettre en uvre les projets lies aux formations professionnelles, principalement par alternance, dans tous les secteurs professionnels pouvant etre realises et developpes dans les etablissements catholiques de bretagne  developper un cfa regional, permettant de creer des unites de formation par apprentissage ufa selon les dispositions legislatives et reglementaires en vigueur",014000,000000,,9,,RUE,Franz Heller,,35238,35700,Rennes,,,,9 RUE FRANZ HELLER,,35700,RENNES,FRANCE,PM,https:cfa-ecb.fr,0,Reprise  =>  date ag=0000-00-00,A,2024-01-02 19:02:57
W563002031,0563339717,,,353P,1973-05-23,2024-10-03,0001-01-01,0001-01-01,D,S,UNIRC BRETAGNE,UNIRC BRETAGNE,"regroupement des associations et des groupements de retraites non salaries de lindustrie et du commerce en une union nationale, neutre et independante, afin de coordonner leurs moyens, de recueillir leurs preoccupations et leurs propositions, representer en tous lieux et circonstances les retraites, de favoriser la representatin des associations et groupements de base devant les organisations et les institutins sociales et professionnelles, de soutenir leurs revendications",023040,000000,,3,,PL,Marechal Juin,,35238,35000,Rennes,,,,5 RUE DES PERRIERES,35000,35770,VERN SUR SEICHE,FRANCE,PM,,0,Reprise  =>  date ag=0000-00-00,A,2025-04-04 18:00:02
W563003008,62 84,,,353P,1984-04-19,2019-07-17,0001-01-01,0001-01-01,D,S,COMITE REGIONAL D AIDE A DOMICILE EN MILIEU RURAL DE BRETAGNE,COMITE REGIONAL D AIDE A DOMICILE...,regrouper les federations admr adherentes pour coordonner leur action et leur reflexion au plan de la region,014000,000000,,197,,AV,Patton,CS 90627,35238,35706,Rennes cedex 7,,,,197 AVENUE PATTON,CS 90627,35706,RENNES CEDEX 7,FRANCE,PM,,1,,A,2019-07-18 16:03:11
W563003082,0563338924,,,353P,2001-02-15,2025-12-16,2001-03-10,0001-01-01,D,S,FRACASSE DE 12,LES UNS DES CIES,promouvoir lart du spectacle et de la jonglerie par le biais dinitiations et de manifestations ,006000,000000,,59,,RUE,du Martin Pecheur,,35001,35690,Acigne,,,,17 HAMEAU DE PLESTERVEN,,56880,PLOEREN,FRANCE,PF,,0,Reprise  =>  date ag=0000-00-00,A,2026-06-17 18:00:02
W563003313,0563339591,,,353P,2002-10-07,2023-05-09,2002-11-02,0001-01-01,D,S,DREAMCATCHERS,DREAMCATCHERS,"faire connaitre et reconnaitre la danse contemporaine, favoriser la demarche de recherche et de creation dartistes de la danse contemporaine, produire et diffuser des spectacles vivants",006000,000000,,10 Bis,,SQ,de Nimegue,,35238,35200,Rennes,,,,,7 IMPASSE DE LANGLE.,56860,SENE,FRANCE,PF,,0,Reprise  =>  date ag=0000-00-00,A,2023-11-08 19:03:10
W563003721,0563302987,,,353P,1981-05-18,2017-03-23,1981-05-30,0001-01-01,D,S,GROUPEMENT DES SOCIETAIRES C.A.P.M.A. - C.A.P.M.I. DU MORBIHAN,GROUPEMENT DES SOCIETAIRES CAPMA-CAPMI,"assurer selon les modalites prevues par les statuts de CPAM et CAPMI, la representation de ses adherents a lassemblee generale de la Caisse. Cette assemblee generale represente conformement aux statuts de CAPMA et CAPMI, luniversalite des societaires. Elle a, notamment, la prerogative de nommer ou revoquer les Administrateurs. Elle est souveraine quant aux orientations prises par la Caisse, permettre a ses adherents dacceder a toutes informations relatives a CAPMA et CAPMI, favoriser les rencontres entre ses adherents pour echanger sur les themes de la preparation de la retraite, de la constitution et de la valorisation dune epargne, du maintien du niveau de vie a la retraite par la constitution dun revenu viager, de la transmission dun patrimoine et de la protection des proches, permettre lexpression de levolution des besoins des adherents, le cas echeant, selon leur appartenance professionnelle, dans les domaines mentionnes a lalinea 3 du present article afin de permettre a CAPMA et CAPMI dadapter, si necessaire, la gamme des contrats et services quelle diffuse, contribuer, par lorganisation de toutes actions, menees dans le respect de la politique developpee par CAPMA et CAPMI et des structures mises en place sur le terrain, a la meilleure connaissance possible des valeurs qui laniment. Ces actions pourront sexercer, tant aupres de personnes physiques ou morales que dorganisations professionnelles et dassociatins, dans le ou les departements vises a larticle 5 des presents statuts",022545,000000,,26,,AV,Henri Freville,,35238,35200,Rennes,,,,26 AVENUE HENRI FReVILLE,,35200,RENNES,FRANCE,PM,,0,Reprise  =>  date ag=0000-00-00,A,2017-04-11 09:55:43
