code UAI,n° SIRET,type d'établissement,nom,sigle,statut,tutelle,université de rattachement libellé et UAI,université de rattachement ID et URL Onisep,établissements liés libellés,établissements liés URL et ID Onisep,boîte postale,adresse,CP,commune,commune (COG),cedex,telephone,arrondissement,département,académie,région,région (COG),longitude (X),latitude (Y),journées portes ouvertes,langues enseignées,URL et ID Onisep,date création,date de modification
0350895H,19350895900015,collège,Collège Rosa Parks,,public,Ministère chargé de l'Éducation nationale,,,Unité pédagogique Robert Desnos CHU de Rennes à Rennes (35),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2696,,10 rue de Gascogne,35000,Rennes,35238,,02 99 59 21 33,,Ille-et-Vilaine,Rennes,Bretagne,53,-1.716636,48.1226274,,"Allemand, Anglais, Chinois, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5628,06/06/2020,04/01/2024
0350839X,30046041700029,collège,Collège Saint-Hélier,,privé sous contrat,Ministère chargé de l'Éducation nationale,,,,,,7 rue Frère Salomon,35000,Rennes,35238,,02 99 50 52 72,,Ille-et-Vilaine,Rennes,Bretagne,53,-1.66044,48.1032,,"Allemand, Anglais, Breton, Espagnol, Langues et cultures de l'Antiquité : latin, Langues et cultures européennes : anglais, Langues et cultures européennes : espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12070,06/06/2020,16/04/2026
0351926D,77568300600172,collège,Centre médical et pédagogique,CMP,public,Ministère chargé de l'Éducation nationale,,,Centre médical et pédagogique - annexe du lycée Chateaubriand à Rennes (35),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9377,,41 avenue des Buttes de Coësmes,35700,Rennes,35238,,02 99 25 19 11,,Ille-et-Vilaine,Rennes,Bretagne,53,-1.6377738,48.122592,,"Allemand, Anglais, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19075,06/06/2020,12/01/2024
0351926D,77568300600172,"lycée général, technologique ou polyvalent",Centre médical et pédagogique - annexe du lycée Chateaubriand,CMP,public,Ministère chargé de l'Éducation nationale,,,Centre médical et pédagogique à Rennes (35) | Lycée Chateaubriand à Rennes (35),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19075 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12095,,41 avenue des Buttes de Coësmes,35700,Rennes,35238,,02 99 25 19 11,,Ille-et-Vilaine,Rennes,Bretagne,53,-1.6383456,48.1225002,,"Allemand, Anglais, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9377,06/06/2020,20/11/2025
0353083L,77766017600010,collège,"Collège Saint-Paul (annexe du collège Saint-Joseph, Bruz)",,privé sous contrat,Ministère chargé de l'Éducation nationale,,,Collège Saint-Joseph à Bruz (35),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11318,,22 avenue de la Mare Guesclin,35230,Saint-Erblon,35266,,02 30 95 10 10,,Ille-et-Vilaine,Rennes,Bretagne,53,-1.658355,48.021465,,"Allemand, Anglais, Chinois, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17551,06/06/2020,16/04/2026
0352356W,77566202600829,centre de formation d'apprentis,CFA des Compagnons du Devoir et du Tour de France,,privé,Ministère chargé des Entreprises et du commerce,,,,,,76 boulevard la Haie des Cognets,35136,Saint-Jacques-de-la-Lande,35281,,02 99 65 14 00,,Ille-et-Vilaine,Rennes,Bretagne,53,-1.7410292,48.0783667,,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5015,06/06/2020,16/02/2026
0352589Z,19352474100017,collège,Collège Jean Moulin,,public,Ministère chargé de l'Éducation nationale,,,,,BP 49219,"Place Léopold Sédar Senghor, Saint Jacques de la Lande",35136,Saint-Jacques-de-la-Lande,35281,Cedex 09,02 99 30 03 13,,Ille-et-Vilaine,Rennes,Bretagne,53,-1.71441,48.0767,,"Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9376,06/06/2020,21/04/2026
0352260S,19352260400019,collège,Collège François Truffaut,,public,Ministère chargé de l'Éducation nationale,,,,,CS 893138,Rue de la Rabine,35830,Betton,35024,,02 99 55 06 06,,Ille-et-Vilaine,Rennes,Bretagne,53,-1.65088,48.1763,,"Allemand, Anglais, Espagnol, Italien, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4104,06/06/2020,02/03/2023
0352579N,77568013500826,centre de formation d'apprentis,Campus Promotrans Rennes,,privé,Ministère chargé des transports,,,,,,"Rue Urbain Leverrier, Campus de Ker-Lann",35170,Bruz,35047,,02 99 52 55 34,,Ille-et-Vilaine,Rennes,Bretagne,53,-1.74419,48.0501,,"Anglais, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13189,06/06/2020,06/03/2026
0350760L,19350760500015,collège,Collège Cleunay,,public,Ministère chargé de l'Éducation nationale,,,,,,26 rue Andrée Récipon,35000,Rennes,35238,,02 99 67 31 40,,Ille-et-Vilaine,Rennes,Bretagne,53,-1.70925,48.0988,,"Allemand, Anglais, Breton, Espagnol, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16503,06/06/2020,23/09/2024
0352952U,42968925000067,centre de formation d'apprentis,Lodima Ouest,,privé,,,,Lodima Ouest à Quimper (29) | Lodima Ouest à Lanester (56),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23063 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23062,,45 rue Louis Blériot,35170,Bruz,35047,,02 99 35 59 93,,Ille-et-Vilaine,Rennes,Bretagne,53,-1.7512514,48.0445189,,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23083,02/12/2022,14/10/2025
0350781J,77774967200047,collège,Collège Notre-Dame du Vieux cours,,privé sous contrat,Ministère chargé de l'Éducation nationale,,,,,,11 rue de Plélo,35000,Rennes,35238,,02 99 79 62 84,,Ille-et-Vilaine,Rennes,Bretagne,53,-1.6790662,48.1063623,,"Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : latin, Langues et cultures européennes : anglais, Langues et cultures européennes : espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17499,06/06/2020,21/04/2026
0350057X,19350057600015,collège,Collège Jacques Prévert,,public,Ministère chargé de l'Éducation nationale,,,,,BP 3,Rue René Cutte,35850,Romillé,35245,,02 99 23 24 94,,Ille-et-Vilaine,Rennes,Bretagne,53,-1.8947,48.2191,,"Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2934,06/06/2020,16/03/2023
0352475A,39305272500016,maison familiale rurale,Maison familiale urbaine,MFU,privé,"Ministère de l'agriculture, de l'agro-alimentaire et de la souveraineté alimentaire",,,CFTA de l'Abbaye de Montfort-sur-Meu à Montfort-sur-Meu (35) | Maison familiale rurale à Questembert (56) | Maison familiale rurale à Guilliers (56) | Maison familiale rurale à Landivisiau (29) | Maison familiale rurale à Saint-Méen-le-Grand (35) | Maison familiale rurale à Plérin (22) | Maison familiale rurale à Elliant (29) | Maison familiale rurale à Pleyben (29) | Maison familiale rurale à Plounévez-Lochrist (29) | Maison familiale rurale à Saint-Renan (29) | Maison familiale rurale à Baulon (35) | Maison familiale rurale à Fougères (35) | Maison familiale rurale à Goven (35) | Maison familiale rurale à Guipry-Messac (35) | Maison familiale rurale à Janzé (35) | Maison familiale rurale à Saint-Symphorien (35) | Maison familiale rurale - CFA à Saint-Aubin-d'Aubigné (35) | Maison familiale rurale - CFA à Loudéac (22) | Maison familiale rurale - CFA à Montauban-de-Bretagne (35) | Maison familiale rurale Formations Compétences Bretagne Centre à Lamballe-Armor (22) | Maison familiale rurale horticole à Saint-Grégoire (35) | Maison familiale rurale - IREO à Lesneven (29) | Maison familiale rurale Plabennec - Ploudaniel à Plabennec (29) | Maison familiale rurale Plabennec - Ploudaniel à Ploudaniel (29) | Maison familiale rurale - Rumengol à Le Faou (29),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3187 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11818 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13926 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2228 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8073 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5991 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11814 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16129 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6560 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9848 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14399 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11812 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5392 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6314 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18296 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9432 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11319 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2350 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11817 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24680 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15532 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16467 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2699 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16043 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6004,,12 Les Rabinardières,35760,Saint-Grégoire,35278,,02 23 25 01 66,,Ille-et-Vilaine,Rennes,Bretagne,53,-1.688177,48.1768646,,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16978,06/06/2020,07/01/2026
0351976H,77769814300024,maison familiale rurale,Maison familiale rurale horticole,MFR,privé sous contrat,"Ministère de l'agriculture, de l'agro-alimentaire et de la souveraineté alimentaire",,,CFTA de l'Abbaye de Montfort-sur-Meu à Montfort-sur-Meu (35) | Maison familiale rurale à Questembert (56) | Maison familiale rurale à Guilliers (56) | Maison familiale rurale à Landivisiau (29) | Maison familiale rurale à Saint-Méen-le-Grand (35) | Maison familiale rurale à Plérin (22) | Maison familiale rurale à Elliant (29) | Maison familiale rurale à Pleyben (29) | Maison familiale rurale à Plounévez-Lochrist (29) | Maison familiale rurale à Saint-Renan (29) | Maison familiale rurale à Baulon (35) | Maison familiale rurale à Fougères (35) | Maison familiale rurale à Goven (35) | Maison familiale rurale à Guipry-Messac (35) | Maison familiale rurale à Janzé (35) | Maison familiale rurale à Saint-Symphorien (35) | Maison familiale rurale - CFA à Saint-Aubin-d'Aubigné (35) | Maison familiale rurale - CFA à Loudéac (22) | Maison familiale rurale - CFA à Montauban-de-Bretagne (35) | Maison familiale rurale Formations Compétences Bretagne Centre à Lamballe-Armor (22) | Maison familiale rurale - IREO à Lesneven (29) | Maison familiale rurale Plabennec - Ploudaniel à Plabennec (29) | Maison familiale rurale Plabennec - Ploudaniel à Ploudaniel (29) | Maison familiale rurale - Rumengol à Le Faou (29) | Maison familiale urbaine à Saint-Grégoire (35),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3187 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11818 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13926 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2228 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8073 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5991 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11814 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16129 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6560 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9848 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14399 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11812 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5392 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6314 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18296 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9432 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11319 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2350 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11817 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24680 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16467 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2699 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16043 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6004 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16978,BP 46325,Les Rabinardières,35760,Saint-Grégoire,35278,Cedex,02 99 68 81 11,,Ille-et-Vilaine,Rennes,Bretagne,53,-1.6888,48.1782,,Anglais,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15532,06/06/2020,27/02/2026
