annee_consommation,zone_climatique,code_region,nom_region,code_departement,nom_departement,nom_commune,vecteur_energie,consommation_declaree
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,CHANTEPIE,Electricite,19982039
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,CHANTEPIE,Gaz,4882879
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,CHARTRES DE BRETAGNE,Electricite,3090568
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,CHARTRES DE BRETAGNE,Gaz,3496855
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,CHARTRES DE BRETAGNE,Reseau de chaleur,398317
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,CHARTRES DE BRETAGNE,Reseau de froid,18066
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,CORPS NUDS,Electricite,442776
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,CORPS NUDS,Gaz,539351
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,GEVEZE,Electricite,1377106
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,GEVEZE,Gaz,851162
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,LA CHAPELLE DES FOUGERETZ,Electricite,528239
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,LA CHAPELLE DES FOUGERETZ,Gaz,336283
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,LA CHAPELLE THOUARAULT,Electricite,209628
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,LAILLE,Electricite,1262127
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,LAILLE,Gaz,458478
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,LE RHEU,Electricite,10558523
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,LE RHEU,Gaz,5440191
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,MONTGERMONT,Electricite,1830207
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,MONTGERMONT,Gaz,676112
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,MORDELLES,Electricite,8794891
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,MORDELLES,Gaz,2538442
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,NOUVOITOU,Electricite,193922
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,NOUVOITOU,Gaz,460568
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,NOYAL CHATILLON SUR SEICHE,Electricite,7860500
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,NOYAL CHATILLON SUR SEICHE,Gaz,3238408
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,ORGERES,Electricite,1228942
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,ORGERES,Gaz,1272050
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,PACE,Electricite,9445465
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,PACE,Gaz,6968517
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,RENNES,Electricite,164942988
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,RENNES,Fioul,4151220
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,RENNES,Gaz,99746670
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,RENNES,Reseau de chaleur,64457933
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,ROMILLE,Electricite,1205210
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,ROMILLE,Gaz,809045
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,SAINT ERBLON,Electricite,371009
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,SAINT ERBLON,Gaz,620945
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,SAINT GILLES,Electricite,549347
