date_mesure,geocode_commune,libelle_commune,type_installation,vecteur,valeur
2009-01-01,35245,Romillé,Photovoltaïque,Solaire,0.74726
2009-01-01,35266,Saint-Erblon,Photovoltaïque,Solaire,0.06797
2009-01-01,35275,Saint-Gilles,Photovoltaïque,Solaire,0.293
2009-01-01,35278,Saint-Grégoire,Photovoltaïque,Solaire,0.33489
2009-01-01,35281,Saint-Jacques-de-la-Lande,Photovoltaïque,Solaire,0.24362000000000003
2009-01-01,35310,Saint-Sauveur-des-Landes,Photovoltaïque,Solaire,0.11832
2009-01-01,35315,Saint-Sulpice-la-Forêt,Photovoltaïque,Solaire,0.06405
2009-01-01,35334,Thorigné-Fouillard,Photovoltaïque,Solaire,0.30219
2009-01-01,35352,Vern-sur-Seiche,Photovoltaïque,Solaire,0.06866
2009-01-01,35353,Vezin-le-Coquet,Photovoltaïque,Solaire,0.33517
2009-01-01,35363,Pont-Péan,Photovoltaïque,Solaire,0.094
2010-01-01,35001,Acigné,Photovoltaïque,Solaire,0.62788
2010-01-01,35024,Betton,Photovoltaïque,Solaire,0.55398
2010-01-01,35032,Bourgbarré,Photovoltaïque,Solaire,0.76911
2010-01-01,35039,Brécé,Photovoltaïque,Solaire,0.08325
2010-01-01,35047,Bruz,Photovoltaïque,Solaire,0.76645
2010-01-01,35051,Cesson-Sévigné,Photovoltaïque,Solaire,0.7035899999999999
2010-01-01,35055,Chantepie,Photovoltaïque,Solaire,0.30832
2010-01-01,35058,La Chapelle-Chaussée,Photovoltaïque,Solaire,0.055299999999999995
2010-01-01,35059,La Chapelle-des-Fougeretz,Autre,Thermique non renouvelable,3.938
2010-01-01,35059,La Chapelle-des-Fougeretz,Photovoltaïque,Solaire,0.43516999999999995
2010-01-01,35065,La Chapelle-Thouarault,Photovoltaïque,Solaire,0.29249
2010-01-01,35066,Chartres-de-Bretagne,Photovoltaïque,Solaire,0.26149
2010-01-01,35076,Chavagne,Photovoltaïque,Solaire,0.26947000000000004
2010-01-01,35079,Chevaigné,Photovoltaïque,Solaire,0.22569
2010-01-01,35080,Cintré,Photovoltaïque,Solaire,0.08537
2010-01-01,35088,Corps-Nuds,Photovoltaïque,Solaire,0.55002
2010-01-01,35120,Gévezé,Photovoltaïque,Solaire,0.59723
2010-01-01,35131,L'Hermitage,Non renseigné,Thermique non renouvelable,7.424
2010-01-01,35131,L'Hermitage,Photovoltaïque,Solaire,0.13596
2010-01-01,35132,Hirel,Photovoltaïque,Solaire,0.14237
2010-01-01,35135,Irodouër,Photovoltaïque,Solaire,0.38038
2010-01-01,35136,Janzé,Photovoltaïque,Solaire,0.80908
2010-01-01,35139,Laillé,Photovoltaïque,Solaire,0.64652
2010-01-01,35144,Langan,Photovoltaïque,Solaire,0.19526
2010-01-01,35150,Lécousse,Photovoltaïque,Solaire,0.29194
2010-01-01,35160,Loutehel,Photovoltaïque,Solaire,0.04967
2010-01-01,35170,Mecé,Photovoltaïque,Solaire,0.05249
2010-01-01,35189,Montgermont,Photovoltaïque,Solaire,0.15678
2010-01-01,35190,Monthault,Photovoltaïque,Solaire,0.10695
2010-01-01,35196,Mordelles,Photovoltaïque,Solaire,0.49457000000000007
2010-01-01,35200,Moutiers,Photovoltaïque,Solaire,0.32282
2010-01-01,35204,Nouvoitou,Photovoltaïque,Solaire,0.27534000000000003
2010-01-01,35206,Noyal-Châtillon-sur-Seiche,Photovoltaïque,Solaire,0.6355299999999999
2010-01-01,35208,Orgères,Photovoltaïque,Solaire,0.40697000000000005
2010-01-01,35210,Pacé,Photovoltaïque,Solaire,0.7370099999999999
2010-01-01,35216,Parthenay-de-Bretagne,Photovoltaïque,Solaire,0.10745
2010-01-01,35230,Poilley,Photovoltaïque,Solaire,0.12837
2010-01-01,35235,Rannée,Photovoltaïque,Solaire,0.36697
2010-01-01,35238,Rennes,Autre,Thermique non renouvelable,8.5
2010-01-01,35238,Rennes,Cogénération à vapeur,Bioénergies,9.5
2010-01-01,35238,Rennes,Cogénération à vapeur,Thermique non renouvelable,1.454
2010-01-01,35238,Rennes,Photovoltaïque,Solaire,1.81125
2010-01-01,35240,Le Rheu,Photovoltaïque,Solaire,0.47805999999999993
2010-01-01,35245,Romillé,Photovoltaïque,Solaire,0.74726
2010-01-01,35250,Saint-Armel,Photovoltaïque,Solaire,0.046490000000000004
2010-01-01,35266,Saint-Erblon,Photovoltaïque,Solaire,0.06797
2010-01-01,35275,Saint-Gilles,Photovoltaïque,Solaire,0.56451
2010-01-01,35278,Saint-Grégoire,Photovoltaïque,Solaire,0.47964000000000007
