date_mesure,geocode_epci,libelle_epci,type_installation,vecteur,valeur
2023-01-01,243500139,Rennes Métropole,Photovoltaïque,Solaire,46.93164000000001
2023-01-01,243500139,Rennes Métropole,Turbine à combustion,Thermique non renouvelable,4.95
2024-01-01,243500139,Rennes Métropole,Autre,Bioénergies,10.627
2024-01-01,243500139,Rennes Métropole,Autre,Thermique non renouvelable,15.79
2024-01-01,243500139,Rennes Métropole,Batterie,Stockage non hydraulique,2.822
2024-01-01,243500139,Rennes Métropole,Cogénération à combustion,Bioénergies,0.16
2024-01-01,243500139,Rennes Métropole,Cogénération à combustion,Thermique non renouvelable,2.248
2024-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Bioénergies,9.5
2024-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Thermique non renouvelable,3.4539999999999997
2024-01-01,243500139,Rennes Métropole,Eclusée,Hydraulique,0.12064
2024-01-01,243500139,Rennes Métropole,Moteur à piston,Thermique non renouvelable,4.2
2024-01-01,243500139,Rennes Métropole,Non renseigné,Bioénergies,0.15
2024-01-01,243500139,Rennes Métropole,Non renseigné,Solaire,0.09487000000000001
2024-01-01,243500139,Rennes Métropole,Non renseigné,Thermique non renouvelable,30.091
2024-01-01,243500139,Rennes Métropole,Photovoltaïque,Solaire,54.39963999999999
2024-01-01,243500139,Rennes Métropole,Turbine à combustion,Thermique non renouvelable,4.95
2025-01-01,243500139,Rennes Métropole,Autre,Bioénergies,10.627
2025-01-01,243500139,Rennes Métropole,Autre,Thermique non renouvelable,15.79
2025-01-01,243500139,Rennes Métropole,Batterie,Stockage non hydraulique,17.468999999999998
2025-01-01,243500139,Rennes Métropole,Cogénération à combustion,Bioénergies,0.16
2025-01-01,243500139,Rennes Métropole,Cogénération à combustion,Thermique non renouvelable,2.248
2025-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Bioénergies,9.5
2025-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Thermique non renouvelable,3.4539999999999997
2025-01-01,243500139,Rennes Métropole,Eclusée,Hydraulique,0.12064
2025-01-01,243500139,Rennes Métropole,Moteur à piston,Thermique non renouvelable,4.2
2025-01-01,243500139,Rennes Métropole,Non renseigné,Bioénergies,0.15
2025-01-01,243500139,Rennes Métropole,Non renseigné,Solaire,0.09487000000000001
2025-01-01,243500139,Rennes Métropole,Non renseigné,Thermique non renouvelable,30.091
2025-01-01,243500139,Rennes Métropole,Photovoltaïque,Solaire,64.77054
2025-01-01,243500139,Rennes Métropole,Turbine à combustion,Thermique non renouvelable,4.95
