Code INSEE commune,commune,Code INSEE département,Département,Code INSEE région,Région,Type peuplement,Essence,Développement,Diamètre moyen,Surface travaux/longueur travaux,Année coupe,Hiérarchie géographique,Géo-point commune,COMMUNE_PRINCIPALE,Méthode de coupe,Nombre d'unités,Hmax CCG-LA,Courbes hauteurs (Désignation),Courbes hauteurs (Essence),Mise en oeuvre manuel (% manuel),Travaux tiers
35353,Vezin-le-Coquet,35,,,,Arbre isolé,Chêne commun,Actif,> 30,0,2026,,"48.1171829255, -1.74956473355",Vezin-le-Coquet,ECIMAGE,,13.0,C,Chêne commun,100,Non
35353,Vezin-le-Coquet,35,,,,Arbre isolé,Arbre de Judée (Gainier ou Cercis),Actif,15 - 30,0,2026,,"48.1171829255, -1.74956473355",Vezin-le-Coquet,ECIMAGE,1,7.5,C,Arbre de Judée (Gainier ou Cercis),100,Non
35353,Vezin-le-Coquet,35,,,,Arbre isolé,Aulne,Neutre,15 - 30,0,,,"48.1171829255, -1.74956473355",Vezin-le-Coquet,ABATTAGE,1,9.0,B,Aulne,100,Non
35353,Vezin-le-Coquet,35,,,,Arbre isolé,Laurier,Neutre,15 - 30,0,,,"48.1171829255, -1.74956473355",Vezin-le-Coquet,ABATTAGE,1,12.0,A,Laurier,100,Non
35353,Vezin-le-Coquet,35,,,,Arbre isolé,Fruitier,Neutre,15 - 30,0,,,"48.1171829255, -1.74956473355",Vezin-le-Coquet,ABATTAGE,1,8.5,B,Fruitier,100,Oui
35353,Vezin-le-Coquet,35,,,,Haie,"Charme commun (Charmille),Laurier,Noisetier (Coudrier, pourpre, tortueux)",Neutre,15 - 30,0,,,"48.1171829255, -1.74956473355",Vezin-le-Coquet,AUCUNE,,7.5,D,Charme commun (Charmille),,Non
35051,Cesson-Sévigné,35,,,,Haie,"Sureau,Charme commun (Charmille),Noisetier (Coudrier, pourpre, tortueux)",Neutre,< 15,0,,,"48.1202268032, -1.59714447272",Cesson-Sévigné,AUCUNE,,13.5,C,Charme commun (Charmille),,Non
35051,Cesson-Sévigné,35,,,,Haie,"Aulne,Ronces,Saule (blanc, argenté, vivier, Osier blanc)",Actif,< 15,0,2029,,"48.1202268032, -1.59714447272",Cesson-Sévigné,TAILLE,,7.5,B,Aulne,100,Non
35210,Pacé,35,,,,Arbre isolé,Chêne commun,Actif,> 30,0,2028,,"48.152548244, -1.77716643787",Pacé,ABATTAGE,1,9.0,E,Chêne commun,100,Non
35051,Cesson-Sévigné,35,,,,Taillis,"Saule marsault (des chèvres),Chêne commun,Prunier,Saule (blanc, argenté, vivier, Osier blanc)",Actif,,0,2028,,"48.1202268032, -1.59714447272",Cesson-Sévigné,DÉBROUSSAILLAGE,,6.0,E,"Saule (blanc, argenté, vivier, Osier blanc)",100,Oui
35196,Mordelles,35,,,,Arbre isolé,Chêne commun,Actif,15 - 30,0,2029,,"48.0857602983, -1.84210731238",Mordelles,ECIMAGE,,13.5,C,Chêne commun,100,Non
35196,Mordelles,35,,,,Arbre isolé,Frêne,Actif,> 30,0,2029,,"48.0857602983, -1.84210731238",Mordelles,ECIMAGE,,19.5,D,Frêne,100,Non
35139,Laillé,35,,,,Haie,"Laurier,Merisier",Actif,< 15,0,2099,,"47.9672360017, -1.71452676529",Laillé,TAILLE,,4.5,B,Merisier,0,Non
35055,Chantepie,35,,,,Futaie,Chêne commun,Actif,> 30,0,2099,,"48.0817134724, -1.6038253094",Chantepie,ABATTAGE,8,7.5,C,Chêne commun,100,Non
35240,Le Rheu,35,,,,Futaie,Pommier,Neutre,15 - 30,0,,,"48.097397419, -1.78149989185",Le Rheu,AUCUNE,15,9.5,B,Pommier,,Non
35139,Laillé,35,,,,Taillis,"Châtaignier,Ronces,Saule (blanc, argenté, vivier, Osier blanc)",Actif,< 15,0,2026,,"47.9672360017, -1.71452676529",Laillé,DÉBROUSSAILLAGE,,6.5,B,Châtaignier,100,Non
35240,Le Rheu,35,,,,Haie,"Bouleau,Saule marsault (des chèvres),Châtaignier",Actif,< 15,0,2027,,"48.097397419, -1.78149989185",Le Rheu,TAILLE,,3.5,C,Bouleau,100,Non
35150,Lécousse,35,,,,Haie,"Cornouiller (mâle ou sauvage),Ronces",Neutre,15 - 30,0,,,"48.3600018318, -1.22059471096",Lécousse,AUCUNE,,12.9,A,Cornouiller (mâle ou sauvage),0,Non
35150,Lécousse,35,,,,Futaie,"Érable,Noisetier (Coudrier, pourpre, tortueux)",Actif,15 - 30,0,2024,,"48.3600018318, -1.22059471096",Lécousse,ECIMAGE,4,6.1,B,Érable,100,Oui
35051,Cesson-Sévigné,35,,,,Taillis,Saule marsault (des chèvres),Neutre,< 15,0,,,"48.1202268032, -1.59714447272",Cesson-Sévigné,DÉBROUSSAILLAGE,,12.9,A,Saule marsault (des chèvres),0,Non
35051,Cesson-Sévigné,35,,,,Taillis,Saule marsault (des chèvres),Neutre,< 15,0,,,"48.1202268032, -1.59714447272",Cesson-Sévigné,DÉBROUSSAILLAGE,,10.5,B,Saule marsault (des chèvres),100,Non
