STATUT,INSEE_COM,NOM_COM,INSEE_ARR,NOM_DEP,INSEE_DEP,NOM_REG,INSEE_REG,CODE_EPCI,NOM_COM_M,Prixm2
Commune simple,35281,Saint-Jacques-de-la-Lande,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,SAINT-JACQUES-DE-LA-LANDE,2215
Commune simple,35088,Corps-Nuds,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,CORPS-NUDS,1568
Commune simple,35200,Moutiers,1,ILLE-ET-VILAINE,35,BRETAGNE,53,200039022,MOUTIERS,1060
Commune simple,35208,Orgères,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,ORGERES,1922
Commune simple,35136,Janzé,1,ILLE-ET-VILAINE,35,BRETAGNE,53,243500634,JANZE,1672
Commune simple,35066,Chartres-de-Bretagne,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,CHARTRES-DE-BRETAGNE,2211
Commune simple,35266,Saint-Erblon,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,SAINT-ERBLON,2017
Commune simple,35032,Bourgbarré,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,BOURGBARRE,1899
Commune simple,35206,Noyal-Châtillon-sur-Seiche,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,NOYAL-CHATILLON-SUR-SEICHE,2128
Commune simple,35352,Vern-sur-Seiche,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,VERN-SUR-SEICHE,2271
Commune simple,35204,Nouvoitou,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,NOUVOITOU,1758
Commune simple,35235,Rannée,1,ILLE-ET-VILAINE,35,BRETAGNE,53,200039022,RANNEE,1024
Commune simple,35315,Saint-Sulpice-la-Forêt,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,SAINT-SULPICE-LA-FORET,1721
Commune simple,35189,Montgermont,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,MONTGERMONT,2174
Commune simple,35334,Thorigné-Fouillard,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,THORIGNE-FOUILLARD,2300
Commune simple,35055,Chantepie,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,CHANTEPIE,2331
Commune simple,35278,Saint-Grégoire,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,SAINT-GREGOIRE,2853
Commune simple,35024,Betton,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,BETTON,2372
Commune simple,35051,Cesson-Sévigné,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,CESSON-SEVIGNE,2844
Commune simple,35001,Acigné,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,ACIGNE,2121
Commune simple,35079,Chevaigné,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,CHEVAIGNE,2166
Préfecture de région,35238,Rennes,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,RENNES,2698
