Rentrée scolaire,UAI,patronyme,adresse_condensee,code_postal,commune_d_implantation,commune_d_implantation_lib_l,commune_et_arrondissement,commune_et_arrondissement_lib_l,secteur_d_enseignement_lib_l,mef_bcp_11,mef_bcp_11_lib_l,mef_bcp_6,mef_bcp_6_lib_l,nombre_d_eleves_total,nombre_d_eleves_filles,nombre_d_eleves_garcons
2024,0350009V,ALPHONSE PELLE,ALPHONSE PELLE RUE A. PELLE,35120,35095,DOL-DE-BRETAGNE,35095,DOL-DE-BRETAGNE,SECTEUR PUBLIC,23810033605,2NDPRO MET.BEAUTE&BIEN-ETRE 2NDE COMMUNE,238100,BAC PRO 3 ANS : 2NDE PRO (OU 1ERE ANNEE),57,48,9
2024,0350009V,ALPHONSE PELLE,ALPHONSE PELLE RUE A. PELLE,35120,35095,DOL-DE-BRETAGNE,35095,DOL-DE-BRETAGNE,SECTEUR PUBLIC,23220023446,2CAP2  CHARPENTIER BOIS,232200,CAP EN 2 ANS : 2EME ANNEE,5,0,5
2024,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23830022105,TLEPRO BOULANGER-PÂTISSIER,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),23,15,8
2024,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23210033413,1CAP2  COMMER.SERV.HOTEL-CAFE-RESTAURANT,232100,CAP EN 2 ANS : 1ERE ANNEE,12,7,5
2024,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23820031213,1ERPRO MET.COM.VEN.OP.A ANI.GES.ESP.COM.,238200,BAC PRO 3 ANS : 1ERE PRO (OU 2EME ANNEE),32,13,19
2024,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,32211033422,1BTS2  MANAGEMENT HOTEL.-REST. 1E AN.COM,322110,BREVET  DE TECH.SUP.EN 2 ANS : 1E ANNEE,14,4,10
2024,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23810025222,2NDPRO MET.MAIN.MATER.VEHIC.2NDE COMMUNE,238100,BAC PRO 3 ANS : 2NDE PRO (OU 1ERE ANNEE),32,2,30
2024,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23210031117,1CAP2  CONDUCTEUR ROUTIER MARCHANDISES,232100,CAP EN 2 ANS : 1ERE ANNEE,12,1,11
2024,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23830031107,TLEPRO CONDUCT. TRANSP.ROUT.MARCHANDISES,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),23,4,19
2024,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23810030003,"2NDPRO MET.GEST.ADM.,TRA.&LOG.2NDE COMM.",238100,BAC PRO 3 ANS : 2NDE PRO (OU 1ERE ANNEE),21,2,19
