Rentrée scolaire,UAI,patronyme,adresse_condensee,code_postal,commune_d_implantation,commune_d_implantation_lib_l,commune_et_arrondissement,commune_et_arrondissement_lib_l,secteur_d_enseignement_lib_l,mef_bcp_11,mef_bcp_11_lib_l,mef_bcp_6,mef_bcp_6_lib_l,nombre_d_eleves_total,nombre_d_eleves_filles,nombre_d_eleves_garcons
2020,0352009U,VICTOR ET HELENE BASCH,V. ET H. BASCH AVENUE TILLON,35000,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,32211031212,1BTS2  NEGO. ET DIGITAL. RELATION CLIENT,322110,BREVET  DE TECH.SUP.EN 2 ANS : 1E ANNEE,65,34,31
2021,0350009V,ALPHONSE PELLE,ALPHONSE PELLE RUE A. PELLE,35120,35095,DOL-DE-BRETAGNE,35095,DOL-DE-BRETAGNE,SECTEUR PUBLIC,23210023446,1CAP2  CHARPENTIER BOIS,232100,CAP EN 2 ANS : 1ERE ANNEE,12,2,10
2021,0350009V,ALPHONSE PELLE,ALPHONSE PELLE RUE A. PELLE,35120,35095,DOL-DE-BRETAGNE,35095,DOL-DE-BRETAGNE,SECTEUR PUBLIC,23820023405,1ERPRO TECHNICIEN MENUISIER AGENCEUR,238200,BAC PRO 3 ANS : 1ERE PRO (OU 2EME ANNEE),14,2,12
2021,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23820031212,1ERPRO METIERS DE L'ACCUEIL,238200,BAC PRO 3 ANS : 1ERE PRO (OU 2EME ANNEE),31,22,9
2021,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23830022105,TLEPRO BOULANGER-PÂTISSIER,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),20,10,10
2021,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23910022105,MC  CUISINIER DESSERTS RESTAU. (MC3),239100,MENTION COMPLEMENTAIRE,9,5,4
2021,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23830031213,TLEPRO MET.COM.VEN.OP.A ANI.GES.ESP.COM.,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),31,18,13
2021,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23220022141,2CAP2  PATISSIER,232200,CAP EN 2 ANS : 2EME ANNEE,9,4,5
2021,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23830025214,TLEPRO MAINT.VEHIC.OPTA VOIT.PARTICUL.,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),8,0,8
2021,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23810031107,2NDPRO CONDUCT. TRANSP.ROUT.MARCHANDISES,238100,BAC PRO 3 ANS : 2NDE PRO (OU 1ERE ANNEE),24,2,22
2021,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23830031107,TLEPRO CONDUCT. TRANSP.ROUT.MARCHANDISES,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),24,2,22
2021,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23820025214,1ERPRO MAINT.VEHIC.OPTA VOIT.PARTICUL.,238200,BAC PRO 3 ANS : 1ERE PRO (OU 2EME ANNEE),9,0,9
2021,0352009U,VICTOR ET HELENE BASCH,V. ET H. BASCH AVENUE TILLON,35000,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,32211031212,1BTS2  NEGO. ET DIGITAL. RELATION CLIENT,322110,BREVET  DE TECH.SUP.EN 2 ANS : 1E ANNEE,70,35,35
2021,0352009U,VICTOR ET HELENE BASCH,V. ET H. BASCH AVENUE TILLON,35000,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,32221032614,2BTS2  SERV.INFORMATIQ.ORGAN.OPT.B.SLAM,322210,BREVET  DE TECH.SUP.EN 2 ANS : 2E ANNEE,15,3,12
2022,0350009V,ALPHONSE PELLE,ALPHONSE PELLE RUE A. PELLE,35120,35095,DOL-DE-BRETAGNE,35095,DOL-DE-BRETAGNE,SECTEUR PUBLIC,23210023447,1CAP2  MENUISIER FABRICANT,232100,CAP EN 2 ANS : 1ERE ANNEE,12,1,11
2022,0350009V,ALPHONSE PELLE,ALPHONSE PELLE RUE A. PELLE,35120,35095,DOL-DE-BRETAGNE,35095,DOL-DE-BRETAGNE,SECTEUR PUBLIC,23220023447,2CAP2  MENUISIER FABRICANT,232200,CAP EN 2 ANS : 2EME ANNEE,9,0,9
2022,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23830024203,TLEPRO METIERS DE LA MODE - VÊTEMENT,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),45,38,7
2022,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23810033404,2NDPRO MET.HOTEL.-RESTAUR. 2NDE COMMUNE,238100,BAC PRO 3 ANS : 2NDE PRO (OU 1ERE ANNEE),47,15,32
2022,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23910022105,MC  CUISINIER DESSERTS RESTAU. (MC3),239100,MENTION COMPLEMENTAIRE,10,1,9
2022,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23830025214,TLEPRO MAINT.VEHIC.OPTA VOIT.PARTICUL.,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),9,0,9
2022,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23820025214,1ERPRO MAINT.VEHIC.OPTA VOIT.PARTICUL.,238200,BAC PRO 3 ANS : 1ERE PRO (OU 2EME ANNEE),7,0,7
2022,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23220025434,2CAP2  REPARATION DES CARROSSERIES,232200,CAP EN 2 ANS : 2EME ANNEE,7,0,7
2022,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23210025434,1CAP2  REPARATION DES CARROSSERIES,232100,CAP EN 2 ANS : 1ERE ANNEE,10,0,10
2022,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23810025408,2NDPRO REPARATION DES CARROSSERIES,238100,BAC PRO 3 ANS : 2NDE PRO (OU 1ERE ANNEE),19,1,18
2022,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23810030003,"2NDPRO MET.GEST.ADM.,TRA.&LOG.2NDE COMM.",238100,BAC PRO 3 ANS : 2NDE PRO (OU 1ERE ANNEE),15,4,11
2022,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23110025433,1CAP1  PEINTURE EN CARROSSERIE,231100,CAP EN 1 AN,4,0,4
2022,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23820025215,1ERPRO MAINT.VEHIC.OPTB VEHIC.TRANS.ROUT,238200,BAC PRO 3 ANS : 1ERE PRO (OU 2EME ANNEE),9,1,8
2022,0352009U,VICTOR ET HELENE BASCH,V. ET H. BASCH AVENUE TILLON,35000,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,32221032613,2BTS2  SERV.INFORMATIQ.ORGAN.OPT.A.SISR,322210,BREVET  DE TECH.SUP.EN 2 ANS : 2E ANNEE,7,1,6
2019,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23830033403,TLEPRO COMMERC. SERVICES EN RESTAURATION,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),18,9,9
2019,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23220033411,2CAP2  ASS. TECH. MILIEUX FAMIL.COLLECT.,232200,CAP EN 2 ANS : 2EME ANNEE,12,12,0
2019,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23820022105,1ERPRO BOULANGER-PÂTISSIER,238200,BAC PRO 3 ANS : 1ERE PRO (OU 2EME ANNEE),23,11,12
2019,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23810024203,2NDPRO METIERS DE LA MODE - VÊTEMENT,238100,BAC PRO 3 ANS : 2NDE PRO (OU 1ERE ANNEE),48,45,3
2019,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23830025408,TLEPRO REPARATION DES CARROSSERIES,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),13,0,13
2019,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23220025434,2CAP2  REPARATION DES CARROSSERIES,232200,CAP EN 2 ANS : 2EME ANNEE,9,1,8
2019,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23820025408,1ERPRO REPARATION DES CARROSSERIES,238200,BAC PRO 3 ANS : 1ERE PRO (OU 2EME ANNEE),16,0,16
2019,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23220031117,2CAP2  CONDUCTEUR ROUTIER MARCHANDISES,232200,CAP EN 2 ANS : 2EME ANNEE,12,0,12
2023,0350009V,ALPHONSE PELLE,ALPHONSE PELLE RUE A. PELLE,35120,35095,DOL-DE-BRETAGNE,35095,DOL-DE-BRETAGNE,SECTEUR PUBLIC,23810033605,2NDPRO MET.BEAUTE&BIEN-ETRE 2NDE COMMUNE,238100,BAC PRO 3 ANS : 2NDE PRO (OU 1ERE ANNEE),55,53,2
2023,0350009V,ALPHONSE PELLE,ALPHONSE PELLE RUE A. PELLE,35120,35095,DOL-DE-BRETAGNE,35095,DOL-DE-BRETAGNE,SECTEUR PUBLIC,23820033604,1ERPRO METIERS DE LA COIFFURE,238200,BAC PRO 3 ANS : 1ERE PRO (OU 2EME ANNEE),15,15,0
2023,0350009V,ALPHONSE PELLE,ALPHONSE PELLE RUE A. PELLE,35120,35095,DOL-DE-BRETAGNE,35095,DOL-DE-BRETAGNE,SECTEUR PUBLIC,23220025524,2CAP2  ELECTRICIEN,232200,CAP EN 2 ANS : 2EME ANNEE,12,0,12
2023,0350009V,ALPHONSE PELLE,ALPHONSE PELLE RUE A. PELLE,35120,35095,DOL-DE-BRETAGNE,35095,DOL-DE-BRETAGNE,SECTEUR PUBLIC,23220023446,2CAP2  CHARPENTIER BOIS,232200,CAP EN 2 ANS : 2EME ANNEE,6,0,6
2023,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23830031213,TLEPRO MET.COM.VEN.OP.A ANI.GES.ESP.COM.,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),32,27,5
2023,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23820022105,1ERPRO BOULANGER-PÂTISSIER,238200,BAC PRO 3 ANS : 1ERE PRO (OU 2EME ANNEE),24,16,8
2023,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23210033002,1CAP2  AGENT ACCOMPAGNANT AU GRAND AGE,232100,CAP EN 2 ANS : 1ERE ANNEE,12,10,2
2023,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23210031122,1CAP2  OPERATEUR/OPERATRICE LOGISTIQUE,232100,CAP EN 2 ANS : 1ERE ANNEE,23,2,21
2023,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23810030003,"2NDPRO MET.GEST.ADM.,TRA.&LOG.2NDE COMM.",238100,BAC PRO 3 ANS : 2NDE PRO (OU 1ERE ANNEE),21,6,15
2024,0350009V,ALPHONSE PELLE,ALPHONSE PELLE RUE A. PELLE,35120,35095,DOL-DE-BRETAGNE,35095,DOL-DE-BRETAGNE,SECTEUR PUBLIC,23210025524,1CAP2  ELECTRICIEN,232100,CAP EN 2 ANS : 1ERE ANNEE,15,0,15
2024,0350009V,ALPHONSE PELLE,ALPHONSE PELLE RUE A. PELLE,35120,35095,DOL-DE-BRETAGNE,35095,DOL-DE-BRETAGNE,SECTEUR PUBLIC,23830033606,TLEPRO ESTHETIQUE COSMETIQUE PARFUMERIE,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),39,38,1
2024,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23810024204,2NDPRO METIERS DE COUTURE ET DE CONFECT.,238100,BAC PRO 3 ANS : 2NDE PRO (OU 1ERE ANNEE),47,41,6
2024,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23220022142,"2CAP2  PROD.SERV.REST. (RAPID,COLL,CAFE)",232200,CAP EN 2 ANS : 2EME ANNEE,11,2,9
2024,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23810031211,2NDPRO MET. RELATION CLIENT 2NDE COMMUNE,238100,BAC PRO 3 ANS : 2NDE PRO (OU 1ERE ANNEE),63,40,23
2024,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23810022107,2NDPRO MET. DE L'ALIMENTAT. 2NDE COMMUNE,238100,BAC PRO 3 ANS : 2NDE PRO (OU 1ERE ANNEE),24,12,12
2024,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23820022105,1ERPRO BOULANGER-PÂTISSIER,238200,BAC PRO 3 ANS : 1ERE PRO (OU 2EME ANNEE),24,11,13
2024,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23830031213,TLEPRO MET.COM.VEN.OP.A ANI.GES.ESP.COM.,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),32,16,16
2024,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23830031212,TLEPRO METIERS DE L'ACCUEIL,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),29,22,7
2024,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23830033403,TLEPRO COMMERC. SERVICES EN RESTAURATION,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),22,13,9
2024,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23820031106,1ERPRO LOGISTIQUE,238200,BAC PRO 3 ANS : 1ERE PRO (OU 2EME ANNEE),23,6,17
2024,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23830025215,TLEPRO MAINT.VEHIC.OPTB VEHIC.TRANS.ROUT,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),11,1,10
2024,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23220025440,2CAP2  CARROSSIER AUTOMOBILE,232200,CAP EN 2 ANS : 2EME ANNEE,6,1,5
2024,0352009U,VICTOR ET HELENE BASCH,V. ET H. BASCH AVENUE TILLON,35000,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,32221032613,2BTS2  SERV.INFORMATIQ.ORGAN.OPT.A.SISR,322210,BREVET  DE TECH.SUP.EN 2 ANS : 2E ANNEE,8,0,8
2025,0350009V,ALPHONSE PELLE,ALPHONSE PELLE RUE A. PELLE,35120,35095,DOL-DE-BRETAGNE,35095,DOL-DE-BRETAGNE,SECTEUR PUBLIC,23830033604,TLEPRO METIERS DE LA COIFFURE,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),12,12,0
2025,0350009V,ALPHONSE PELLE,ALPHONSE PELLE RUE A. PELLE,35120,35095,DOL-DE-BRETAGNE,35095,DOL-DE-BRETAGNE,SECTEUR PUBLIC,23820023405,1ERPRO TECHNICIEN MENUISIER AGENCEUR,238200,BAC PRO 3 ANS : 1ERE PRO (OU 2EME ANNEE),16,0,16
2025,0350009V,ALPHONSE PELLE,ALPHONSE PELLE RUE A. PELLE,35120,35095,DOL-DE-BRETAGNE,35095,DOL-DE-BRETAGNE,SECTEUR PUBLIC,23210023447,1CAP2  MENUISIER FABRICANT,232100,CAP EN 2 ANS : 1ERE ANNEE,12,0,12
2025,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23830031213,TLEPRO MET.COM.VEN.OP.A ANI.GES.ESP.COM.,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),27,12,15
2025,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23220033002,2CAP2  AGENT ACCOMPAGNANT AU GRAND AGE,232200,CAP EN 2 ANS : 2EME ANNEE,12,12,0
2025,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23830031212,TLEPRO METIERS DE L'ACCUEIL,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),27,21,6
2025,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23820022106,1ERPRO CUISINE,238200,BAC PRO 3 ANS : 1ERE PRO (OU 2EME ANNEE),24,16,8
2025,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23J00022110,CS-3   DESSERTS DE RESTAURANT,23J000,CERTIFICAT DE SPECIALISATION DE NIVEAU 3,8,5,3
2025,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23830033403,TLEPRO COMMERC. SERVICES EN RESTAURATION,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),24,12,12
2025,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23830031107,TLEPRO CONDUCT. TRANSP.ROUT.MARCHANDISES,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),17,2,15
2025,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23830025214,TLEPRO MAINT.VEHIC.OPTA VOIT.PARTICUL.,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),9,0,9
2025,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23210025440,1CAP2  CARROSSIER AUTOMOBILE,232100,CAP EN 2 ANS : 1ERE ANNEE,10,1,9
2025,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23820025215,1ERPRO MAINT.VEHIC.OPTB VEHIC.TRANS.ROUT,238200,BAC PRO 3 ANS : 1ERE PRO (OU 2EME ANNEE),17,2,15
2025,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23210031127,1CAP2  CRM OPT. LIVRAISONS DE PROXIMITE,232100,CAP EN 2 ANS : 1ERE ANNEE,12,1,11
2025,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23810031117,2NDPRO CONDUCTEUR ROUTIER MARCHANDISES,238100,BAC PRO 3 ANS : 2NDE PRO (OU 1ERE ANNEE),24,2,22
2025,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23220031122,2CAP2  OPERATEUR/OPERATRICE LOGISTIQUE,232200,CAP EN 2 ANS : 2EME ANNEE,16,4,12
2025,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23110025441,1CAP1  PEINTRE AUTOMOBILE,231100,CAP EN 1 AN,7,1,6
2025,0352009U,VICTOR ET HELENE BASCH,V. ET H. BASCH AVENUE TILLON,35000,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,32221031212,2BTS2  NEGO. ET DIGITAL. RELATION CLIENT,322210,BREVET  DE TECH.SUP.EN 2 ANS : 2E ANNEE,56,38,18
2025,0350009V,ALPHONSE PELLE,ALPHONSE PELLE RUE A. PELLE,35120,35095,DOL-DE-BRETAGNE,35095,DOL-DE-BRETAGNE,SECTEUR PUBLIC,23220023447,2CAP2  MENUISIER FABRICANT,232200,CAP EN 2 ANS : 2EME ANNEE,11,0,11
2025,0350009V,ALPHONSE PELLE,ALPHONSE PELLE RUE A. PELLE,35120,35095,DOL-DE-BRETAGNE,35095,DOL-DE-BRETAGNE,SECTEUR PUBLIC,23210033616,1CAP2  METIERS DE LA COIFFURE,232100,CAP EN 2 ANS : 1ERE ANNEE,12,8,4
2025,0350009V,ALPHONSE PELLE,ALPHONSE PELLE RUE A. PELLE,35120,35095,DOL-DE-BRETAGNE,35095,DOL-DE-BRETAGNE,SECTEUR PUBLIC,23820033604,1ERPRO METIERS DE LA COIFFURE,238200,BAC PRO 3 ANS : 1ERE PRO (OU 2EME ANNEE),23,18,5
2025,0350009V,ALPHONSE PELLE,ALPHONSE PELLE RUE A. PELLE,35120,35095,DOL-DE-BRETAGNE,35095,DOL-DE-BRETAGNE,SECTEUR PUBLIC,23810033605,2NDPRO MET.BEAUTE&BIEN-ETRE 2NDE COMMUNE,238100,BAC PRO 3 ANS : 2NDE PRO (OU 1ERE ANNEE),58,51,7
2025,0350009V,ALPHONSE PELLE,ALPHONSE PELLE RUE A. PELLE,35120,35095,DOL-DE-BRETAGNE,35095,DOL-DE-BRETAGNE,SECTEUR PUBLIC,23220023446,2CAP2  CHARPENTIER BOIS,232200,CAP EN 2 ANS : 2EME ANNEE,9,0,9
2025,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23830022106,TLEPRO CUISINE,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),21,7,14
2025,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23820022105,1ERPRO BOULANGER-PÂTISSIER,238200,BAC PRO 3 ANS : 1ERE PRO (OU 2EME ANNEE),24,11,13
2025,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,32211033422,1BTS2  MANAGEMENT HOTEL.-REST. 1E AN.COM,322110,BREVET  DE TECH.SUP.EN 2 ANS : 1E ANNEE,20,10,10
2025,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23820024204,1ERPRO METIERS DE COUTURE ET DE CONFECT.,238200,BAC PRO 3 ANS : 1ERE PRO (OU 2EME ANNEE),46,36,10
2025,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23810024204,2NDPRO METIERS DE COUTURE ET DE CONFECT.,238100,BAC PRO 3 ANS : 2NDE PRO (OU 1ERE ANNEE),48,37,11
2025,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23210033002,1CAP2  AGENT ACCOMPAGNANT AU GRAND AGE,232100,CAP EN 2 ANS : 1ERE ANNEE,12,11,1
2025,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23810022107,2NDPRO MET. DE L'ALIMENTAT. 2NDE COMMUNE,238100,BAC PRO 3 ANS : 2NDE PRO (OU 1ERE ANNEE),24,12,12
2025,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23820031213,1ERPRO MET.COM.VEN.OP.A ANI.GES.ESP.COM.,238200,BAC PRO 3 ANS : 1ERE PRO (OU 2EME ANNEE),32,19,13
2025,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23820031212,1ERPRO METIERS DE L'ACCUEIL,238200,BAC PRO 3 ANS : 1ERE PRO (OU 2EME ANNEE),32,23,9
2025,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23220022142,"2CAP2  PROD.SERV.REST. (RAPID,COLL,CAFE)",232200,CAP EN 2 ANS : 2EME ANNEE,11,2,9
2025,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23210031126,1CAP2  CRM OPT. LIVRAISON LONG. DISTANCE,232100,CAP EN 2 ANS : 1ERE ANNEE,12,4,8
2025,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23220031118,2CAP2  CONDUCTEUR LIVREUR MARCHANDISES,232200,CAP EN 2 ANS : 2EME ANNEE,11,0,11
