id_election,id_brut_miom,code_departement,libelle_departement,code_canton,libelle_canton,code_commune,libelle_commune,code_circonscription,libelle_circonscription,code_bv,inscrits,abstentions,votants,blancs,nuls,exprimes,ratio_abstentions_inscrits,ratio_votants_inscrits,ratio_blancs_inscrits,ratio_blancs_votants,ratio_nuls_inscrits,ratio_nuls_votants,ratio_exprimes_inscrits,ratio_exprimes_votants
1999_euro_t1,35238_0043,35,Ille-et-Vilaine,,,35238,Rennes,,,0043,1200,566,634,,19,615,47.16999816894531,52.83000183105469,,,1.5800000429153442,3.0,51.25,97.0
1999_euro_t1,35238_0051,35,Ille-et-Vilaine,,,35238,Rennes,,,0051,1089,581,508,,9,499,53.349998474121094,46.650001525878906,,,0.8299999833106995,1.7699999809265137,45.81999969482422,98.2300033569336
1999_euro_t1,35238_0052,35,Ille-et-Vilaine,,,35238,Rennes,,,0052,866,463,403,,13,390,53.459999084472656,46.540000915527344,,,1.5,3.2300000190734863,45.029998779296875,96.7699966430664
1999_euro_t1,35238_0053,35,Ille-et-Vilaine,,,35238,Rennes,,,0053,1297,670,627,,14,613,51.65999984741211,48.34000015258789,,,1.0800000429153442,2.2300000190734863,47.2599983215332,97.7699966430664
1999_euro_t1,35238_0061,35,Ille-et-Vilaine,,,35238,Rennes,,,0061,720,378,342,,17,325,52.5,47.5,,,2.359999895095825,4.96999979019165,45.13999938964844,95.02999877929688
1999_euro_t1,35238_0062,35,Ille-et-Vilaine,,,35238,Rennes,,,0062,943,522,421,,13,408,55.36000061035156,44.63999938964844,,,1.3799999952316284,3.0899999141693115,43.27000045776367,96.91000366210938
1999_euro_t1,35238_0071,35,Ille-et-Vilaine,,,35238,Rennes,,,0071,949,505,444,,20,424,53.209999084472656,46.790000915527344,,,2.109999895095825,4.5,44.68000030517578,95.5
1999_euro_t1,35238_0072,35,Ille-et-Vilaine,,,35238,Rennes,,,0072,1042,519,523,,14,509,49.810001373291016,50.189998626708984,,,1.340000033378601,2.680000066757202,48.849998474121094,97.31999969482422
1999_euro_t1,35238_0073,35,Ille-et-Vilaine,,,35238,Rennes,,,0073,1007,491,516,,29,487,48.7599983215332,51.2400016784668,,,2.880000114440918,5.619999885559082,48.36000061035156,94.37999725341797
1999_euro_t1,35238_0081,35,Ille-et-Vilaine,,,35238,Rennes,,,0081,1229,674,555,,20,535,54.84000015258789,45.15999984741211,,,1.6299999952316284,3.5999999046325684,43.529998779296875,96.4000015258789
1999_euro_t1,35238_0082,35,Ille-et-Vilaine,,,35238,Rennes,,,0082,1288,727,561,,31,530,56.439998626708984,43.560001373291016,,,2.4100000858306885,5.53000020980835,41.150001525878906,94.47000122070312
1999_euro_t1,35238_0083,35,Ille-et-Vilaine,,,35238,Rennes,,,0083,1252,756,496,,20,476,60.380001068115234,39.619998931884766,,,1.600000023841858,4.03000020980835,38.02000045776367,95.97000122070312
1999_euro_t1,35238_0084,35,Ille-et-Vilaine,,,35238,Rennes,,,0084,1279,791,488,,19,469,61.849998474121094,38.150001525878906,,,1.4900000095367432,3.890000104904175,36.66999816894531,96.11000061035156
1999_euro_t1,35238_0085,35,Ille-et-Vilaine,,,35238,Rennes,,,0085,1116,642,474,,21,453,57.529998779296875,42.470001220703125,,,1.8799999952316284,4.429999828338623,40.59000015258789,95.56999969482422
1999_euro_t1,35238_0086,35,Ille-et-Vilaine,,,35238,Rennes,,,0086,1321,803,518,,17,501,60.790000915527344,39.209999084472656,,,1.2899999618530273,3.2799999713897705,37.93000030517578,96.72000122070312
1999_euro_t1,35238_0101,35,Ille-et-Vilaine,,,35238,Rennes,,,0101,1203,612,591,,10,581,50.869998931884766,49.130001068115234,,,0.8299999833106995,1.690000057220459,48.29999923706055,98.30999755859375
1999_euro_t1,35238_0102,35,Ille-et-Vilaine,,,35238,Rennes,,,0102,1290,666,624,,18,606,51.630001068115234,48.369998931884766,,,1.399999976158142,2.880000114440918,46.97999954223633,97.12000274658203
1999_euro_t1,35238_0103,35,Ille-et-Vilaine,,,35238,Rennes,,,0103,1102,559,543,,27,516,50.72999954223633,49.27000045776367,,,2.450000047683716,4.96999979019165,46.81999969482422,95.02999877929688
1999_euro_t1,35238_0104,35,Ille-et-Vilaine,,,35238,Rennes,,,0104,1191,624,567,,16,551,52.38999938964844,47.61000061035156,,,1.340000033378601,2.819999933242798,46.2599983215332,97.18000030517578
1999_euro_t1,35238_0111,35,Ille-et-Vilaine,,,35238,Rennes,,,0111,1187,549,638,,25,613,46.25,53.75,,,2.109999895095825,3.9200000762939453,51.63999938964844,96.08000183105469
1999_euro_t1,35238_0112,35,Ille-et-Vilaine,,,35238,Rennes,,,0112,1363,680,683,,24,659,49.88999938964844,50.11000061035156,,,1.7599999904632568,3.509999990463257,48.349998474121094,96.48999786376953
1999_euro_t1,35238_0113,35,Ille-et-Vilaine,,,35238,Rennes,,,0113,1133,515,618,,22,596,45.45000076293945,54.54999923706055,,,1.940000057220459,3.559999942779541,52.599998474121094,96.44000244140625
1999_euro_t1,35238_0114,35,Ille-et-Vilaine,,,35238,Rennes,,,0114,1317,755,562,,21,541,57.33000183105469,42.66999816894531,,,1.590000033378601,3.740000009536743,41.08000183105469,96.26000213623047
