REG,DEP,LIBDEP,CODGEO,LIBGEO,ANNEE,Existence d'une convention de mutualisation,Nombre d'agents de police municipale,Nombre d'ASVP,Nombre de gardes champêtres,Nombre de brigades canines (2013),Nombre de maîtres-chiens de police municipale,Nombre de chiens de patrouille de police municipale,Communes partenaires (commande R),Forme A (voir Notes d'attribution),Communes partenaires (code INSEE),Communes partenaires (libellé),Population municipale au 1er janvier de l'année d'enquête,Population municipale au 1er janvier de l'année suivante,Population couverte au 1er janvier de l'année d'enquête,Population couverte au 1er janvier de l'année suivante
53,35,ILLE_ET_VILAINE,35051,CESSON_SEVIGNE,2017,NA,9,0,0,NA,0,0,NA,0,NA,NA,17526,17312,17526,17312
53,35,ILLE_ET_VILAINE,35051,CESSON_SEVIGNE,2018,NA,9,0,0,NA,0,0,NA,0,NA,NA,17312,17082,17312,17082
53,35,ILLE_ET_VILAINE,35051,CESSON_SEVIGNE,2019,NA,10,0,0,NA,0,0,NA,0,NA,NA,17082,17316,17082,17316
53,35,ILLE_ET_VILAINE,35051,CESSON_SEVIGNE,2020,NA,9,0,0,NA,0,0,NA,0,NA,NA,17316,17716,17316,17716
53,35,ILLE_ET_VILAINE,35051,CESSON_SEVIGNE,2021,0,8,0,0,NA,0,0,NA,0,NA,NA,17716,18076,17716,18076
53,35,ILLE_ET_VILAINE,35051,CESSON_SEVIGNE,2022,0,8,0,0,NA,0,0,NA,0,NA,NA,18076,18761,18076,18761
53,35,ILLE_ET_VILAINE,35051,CESSON_SEVIGNE,2023,0,8,0,0,NA,0,0,NA,0,NA,NA,18761,NA,18761,NA
53,35,ILLE_ET_VILAINE,35051,CESSON_SEVIGNE,2024,0,7,0,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
53,35,ILLE_ET_VILAINE,35238,RENNES,2013,NA,62,21,0,0,NA,NA,NA,0,NA,NA,211373,213454,211373,213454
53,35,ILLE_ET_VILAINE,35238,RENNES,2014,NA,56,18,0,NA,0,0,NA,0,NA,NA,213454,215366,213454,215366
53,35,ILLE_ET_VILAINE,35238,RENNES,2015,NA,62,24,0,NA,0,0,NA,0,NA,NA,215366,216268,215366,216268
53,35,ILLE_ET_VILAINE,35238,RENNES,2016,NA,62,20,0,NA,0,0,NA,0,NA,NA,216268,216815,216268,216815
53,35,ILLE_ET_VILAINE,35238,RENNES,2017,NA,73,20,0,NA,4,4,NA,0,NA,NA,216815,217728,216815,217728
53,35,ILLE_ET_VILAINE,35238,RENNES,2018,NA,73,20,0,NA,4,4,NA,0,NA,NA,217728,220488,217728,220488
53,35,ILLE_ET_VILAINE,35238,RENNES,2019,NA,77,1,0,NA,6,9,NA,0,NA,NA,220488,222485,220488,222485
53,35,ILLE_ET_VILAINE,35238,RENNES,2020,NA,74,20,0,NA,4,6,NA,0,NA,NA,222485,225081,222485,225081
53,35,ILLE_ET_VILAINE,35238,RENNES,2021,0,80,20,0,NA,3,6,NA,0,NA,NA,225081,227830,225081,227830
53,35,ILLE_ET_VILAINE,35238,RENNES,2022,0,96,16,0,NA,3,3,NA,0,NA,NA,227830,230890,227830,230890
53,35,ILLE_ET_VILAINE,35238,RENNES,2023,0,110,16,0,NA,3,3,NA,0,NA,NA,230890,NA,230890,NA
53,35,ILLE_ET_VILAINE,35238,RENNES,2024,0,115,25,0,NA,4,7,NA,0,NA,NA,NA,NA,NA,NA
