REG,DEP,LIBDEP,CODGEO,LIBGEO,ANNEE,Existence d'une convention de mutualisation,Nombre d'agents de police municipale,Nombre d'ASVP,Nombre de gardes champêtres,Nombre de brigades canines (2013),Nombre de maîtres-chiens de police municipale,Nombre de chiens de patrouille de police municipale,Communes partenaires (commande R),Communes partenaires (code INSEE),Communes partenaires (libellé),Population au 1er janvier de l'année d'enquête,Population au 1er janvier de l'année suivante
53,35,ILLE_ET_VILAINE,35240,LE_RHEU,2022,0,3,0,0,NA,0,0,NA,NA,NA,9823,9839
53,35,ILLE_ET_VILAINE,35240,LE_RHEU,2023,0,3,0,0,NA,0,0,NA,NA,NA,9839,NA
53,35,ILLE_ET_VILAINE,35240,LE_RHEU,2024,0,3,0,0,NA,0,0,NA,NA,NA,NA,NA
53,35,ILLE_ET_VILAINE,35131,L_HERMITAGE,2016,NA,1,0,0,NA,0,0,NA,NA,NA,4321,4437
53,35,ILLE_ET_VILAINE,35131,L_HERMITAGE,2017,NA,1,0,0,NA,0,0,NA,NA,NA,4437,4533
53,35,ILLE_ET_VILAINE,35131,L_HERMITAGE,2018,NA,1,0,0,NA,0,0,NA,NA,NA,4533,4629
53,35,ILLE_ET_VILAINE,35131,L_HERMITAGE,2019,NA,2,0,0,NA,0,0,NA,NA,NA,4629,4647
53,35,ILLE_ET_VILAINE,35131,L_HERMITAGE,2020,NA,1,0,0,NA,0,0,NA,NA,NA,4647,4692
53,35,ILLE_ET_VILAINE,35131,L_HERMITAGE,2022,0,1,0,0,NA,0,0,NA,NA,NA,4683,4730
53,35,ILLE_ET_VILAINE,35131,L_HERMITAGE,2023,0,1,0,0,NA,0,0,NA,NA,NA,4730,NA
53,35,ILLE_ET_VILAINE,35131,L_HERMITAGE,2024,0,1,0,0,NA,0,0,NA,NA,NA,NA,NA
53,35,ILLE_ET_VILAINE,35196,MORDELLES,2013,NA,2,0,0,0,NA,NA,NA,NA,NA,7168,7228
53,35,ILLE_ET_VILAINE,35196,MORDELLES,2014,NA,2,0,0,NA,0,0,NA,NA,NA,7228,7275
53,35,ILLE_ET_VILAINE,35196,MORDELLES,2015,NA,2,0,0,NA,0,0,NA,NA,NA,7275,7321
53,35,ILLE_ET_VILAINE,35196,MORDELLES,2016,NA,2,0,0,NA,0,0,NA,NA,NA,7321,7363
53,35,ILLE_ET_VILAINE,35196,MORDELLES,2017,NA,2,0,0,NA,0,0,NA,NA,NA,7363,7356
53,35,ILLE_ET_VILAINE,35196,MORDELLES,2018,NA,2,0,0,NA,0,0,NA,NA,NA,7356,7338
53,35,ILLE_ET_VILAINE,35196,MORDELLES,2019,NA,1,0,0,NA,0,0,NA,NA,NA,7338,7485
53,35,ILLE_ET_VILAINE,35196,MORDELLES,2020,NA,2,0,0,NA,0,0,NA,NA,NA,7485,7658
53,35,ILLE_ET_VILAINE,35196,MORDELLES,2021,0,1,0,0,NA,0,0,NA,NA,NA,7658,7831
53,35,ILLE_ET_VILAINE,35196,MORDELLES,2022,0,1,0,0,NA,0,0,NA,NA,NA,7831,7911
53,35,ILLE_ET_VILAINE,35196,MORDELLES,2023,0,2,0,0,NA,0,0,NA,NA,NA,7911,NA
53,35,ILLE_ET_VILAINE,35196,MORDELLES,2024,0,2,0,0,NA,0,0,NA,NA,NA,NA,NA
53,35,ILLE_ET_VILAINE,35206,NOYAL_CHATILLON_SUR_SEICHE,2013,NA,2,0,0,0,NA,NA,NA,NA,NA,6783,6910
53,35,ILLE_ET_VILAINE,35206,NOYAL_CHATILLON_SUR_SEICHE,2014,NA,2,0,0,NA,0,0,NA,NA,NA,6910,6911
53,35,ILLE_ET_VILAINE,35206,NOYAL_CHATILLON_SUR_SEICHE,2015,NA,2,0,0,NA,0,0,NA,NA,NA,6911,6915
53,35,ILLE_ET_VILAINE,35206,NOYAL_CHATILLON_SUR_SEICHE,2016,NA,2,0,0,NA,0,0,NA,NA,NA,6915,6919
53,35,ILLE_ET_VILAINE,35206,NOYAL_CHATILLON_SUR_SEICHE,2017,NA,2,0,0,NA,0,0,NA,NA,NA,6919,6885
53,35,ILLE_ET_VILAINE,35206,NOYAL_CHATILLON_SUR_SEICHE,2018,NA,2,0,0,NA,0,0,NA,NA,NA,6885,7003
