date_mesure,geocode_commune,libelle_commune,classe_distance,mode_transport,numerateur,denominateur,valeur
2022-01-01T00:00:00.000,35210,Pacé,10-20km,Marche,0.0,2990.38537783882,0.0
2022-01-01T00:00:00.000,35189,Montgermont,5-10km,Pas de transport,0.0,824.249280192971,0.0
2022-01-01T00:00:00.000,35363,Pont-Péan,10-20km,Vélo,0.0,980.572650358772,0.0
2022-01-01T00:00:00.000,35081,Clayes,Moins de 2km,Marche,5.17683388895338,15.850637425786758,32.66009908555097
2022-01-01T00:00:00.000,35076,Chavagne,5-10km,Transports en commun,13.785121617728429,517.1233808358184,2.6657316471453587
2022-01-01T00:00:00.000,35240,Le Rheu,5-10km,Vélo,74.9214248297538,679.3242535358827,11.028816421581858
2022-01-01T00:00:00.000,35024,Betton,Moins de 2km,Marche,127.00873647965787,409.2801086045773,31.032228004602672
2022-01-01T00:00:00.000,35059,La Chapelle-des-Fougeretz,5-10km,Voiture,261.35368754719013,406.7740725720744,64.25033087645528
2022-01-01T00:00:00.000,35120,Gévezé,50km et plus,Transports en commun,5.17342573121347,97.52448960405117,5.304745251390237
2022-01-01T00:00:00.000,35059,La Chapelle-des-Fougeretz,2-5km,Deux-roues motorisé,0.0,90.2230136342887,0.0
2022-01-01T00:00:00.000,35180,Miniac-sous-Bécherel,Moins de 2km,Marche,0.0,50.173276355721995,0.0
2022-01-01T00:00:00.000,35139,Laillé,5-10km,Transports en commun,10.30652017114748,309.4153881822534,3.330965609595564
2022-01-01T00:00:00.000,35144,Langan,50km et plus,Transports en commun,0.0,19.741784037582452,0.0
2022-01-01T00:00:00.000,35281,Saint-Jacques-de-la-Lande,2-5km,Transports en commun,198.31702868960397,1582.4966153385608,12.53190855306669
2022-01-01T00:00:00.000,35315,Saint-Sulpice-la-Forêt,50km et plus,Voiture,5.0064308681672,5.0064308681672,100.0
2022-01-01T00:00:00.000,35245,Romillé,5-10km,Voiture,142.9974954341137,152.7658585645333,93.60566344979947
2022-01-01T00:00:00.000,35039,Brécé,5-10km,Pas de transport,0.0,79.60622502316687,0.0
2022-01-01T00:00:00.000,35135,Irodouër,5-10km,Marche,0.0,154.20838098720196,0.0
2022-01-01T00:00:00.000,35032,Bourgbarré,2-5km,Vélo,13.944876042363,243.92466799298538,5.716878148119081
2022-01-01T00:00:00.000,35150,Lécousse,20-50km,Vélo,0.0,143.95343963804132,0.0
2022-01-01T00:00:00.000,35160,Loutehel,5-10km,Pas de transport,0.0,38.43203054849911,0.0
2022-01-01T00:00:00.000,35352,Vern-sur-Seiche,20-50km,Marche,0.0,299.766020037602,0.0
2022-01-01T00:00:00.000,35066,Chartres-de-Bretagne,10-20km,Marche,0.0,1935.9813098879492,0.0
2022-01-01T00:00:00.000,35245,Romillé,5-10km,Deux-roues motorisé,0.0,152.7658585645333,0.0
2022-01-01T00:00:00.000,35250,Saint-Armel,5-10km,Voiture,101.05530029734884,101.05530029734884,100.0
2022-01-01T00:00:00.000,35160,Loutehel,5-10km,Transports en commun,0.0,38.43203054849911,0.0
2022-01-01T00:00:00.000,35210,Pacé,50km et plus,Vélo,0.0,182.61126965355035,0.0
2022-01-01T00:00:00.000,35079,Chevaigné,50km et plus,Deux-roues motorisé,0.0,35.27559419338138,0.0
2022-01-01T00:00:00.000,35088,Corps-Nuds,5-10km,Pas de transport,0.0,207.32644025741254,0.0
2022-01-01T00:00:00.000,35189,Montgermont,50km et plus,Transports en commun,0.0,5.48432180135979,0.0
2022-01-01T00:00:00.000,35065,La Chapelle-Thouarault,10-20km,Marche,0.0,453.4575841750155,0.0
2022-01-01T00:00:00.000,35240,Le Rheu,50km et plus,Pas de transport,0.0,149.85332634887376,0.0
2022-01-01T00:00:00.000,35334,Thorigné-Fouillard,2-5km,Transports en commun,40.40403925871572,40.40403925871572,100.0
2022-01-01T00:00:00.000,35081,Clayes,20-50km,Voiture,73.54419675362827,73.54419675362827,100.0
2022-01-01T00:00:00.000,35170,Mecé,50km et plus,Vélo,0.0,9.86273801655364,0.0
2022-01-01T00:00:00.000,35196,Mordelles,5-10km,Pas de transport,0.0,386.20000000000005,0.0
2022-01-01T00:00:00.000,35131,L'Hermitage,5-10km,Voiture,264.4601005035996,284.51611559230906,92.95083336599173
2022-01-01T00:00:00.000,35170,Mecé,20-50km,Pas de transport,0.0,143.26943018870853,0.0
2022-01-01T00:00:00.000,35047,Bruz,2-5km,Voiture,1430.7367502285074,1875.6381034670885,76.28000026144768
2022-01-01T00:00:00.000,35196,Mordelles,50km et plus,Marche,0.0,120.37402597402607,0.0
2022-01-01T00:00:00.000,35208,Orgères,2-5km,Vélo,4.81857108498119,160.7506616836703,2.9975435463297253
2022-01-01T00:00:00.000,35081,Clayes,10-20km,Voiture,252.47882879904012,315.4660178250105,80.03360569222721
2022-01-01T00:00:00.000,35136,Janzé,Moins de 2km,Marche,115.20902612826612,340.63657957244675,33.821683588084355
2022-01-01T00:00:00.000,35039,Brécé,5-10km,Transports en commun,10.888907833528311,79.60622502316687,13.678462746298344
2022-01-01T00:00:00.000,35132,Hirel,50km et plus,Deux-roues motorisé,0.0,19.837133664493038,0.0
2022-01-01T00:00:00.000,35240,Le Rheu,Moins de 2km,Pas de transport,204.78522786799374,519.470927187009,39.42188429618724
2022-01-01T00:00:00.000,35150,Lécousse,2-5km,Marche,0.0,423.29198366899953,0.0
2022-01-01T00:00:00.000,35204,Nouvoitou,2-5km,Transports en commun,4.79230033375574,230.4540677807285,2.0795034689148983
2022-01-01T00:00:00.000,35190,Monthault,20-50km,Pas de transport,0.0,24.64326727970092,0.0
2022-01-01T00:00:00.000,35065,La Chapelle-Thouarault,5-10km,Deux-roues motorisé,0.0,156.44398495101382,0.0
2022-01-01T00:00:00.000,35204,Nouvoitou,10-20km,Pas de transport,0.0,1117.8924515192004,0.0
2022-01-01T00:00:00.000,35250,Saint-Armel,10-20km,Voiture,566.9268075350468,658.4949930622812,86.09432319273934
2022-01-01T00:00:00.000,35230,Poilley,5-10km,Pas de transport,0.0,9.23500590923406,0.0
2022-01-01T00:00:00.000,35196,Mordelles,50km et plus,Vélo,0.0,120.37402597402607,0.0
2022-01-01T00:00:00.000,35131,L'Hermitage,20-50km,Marche,0.0,204.8982993068857,0.0
2022-01-01T00:00:00.000,35363,Pont-Péan,Moins de 2km,Deux-roues motorisé,0.0,228.58638624728772,0.0
2022-01-01T00:00:00.000,35278,Saint-Grégoire,10-20km,Vélo,0.0,487.7158671143852,0.0
2022-01-01T00:00:00.000,35278,Saint-Grégoire,10-20km,Transports en commun,9.915507310146,487.7158671143852,2.0330499741195607
2022-01-01T00:00:00.000,35088,Corps-Nuds,2-5km,Transports en commun,0.0,132.59662689697691,0.0
2022-01-01T00:00:00.000,35206,Noyal-Châtillon-sur-Seiche,2-5km,Marche,0.0,544.1011759080635,0.0
2022-01-01T00:00:00.000,35088,Corps-Nuds,50km et plus,Pas de transport,0.0,24.140894826013337,0.0
2022-01-01T00:00:00.000,35235,Rannée,2-5km,Vélo,5.12916199738912,164.54484804248904,3.1171817643689814
